time,San Antonio,pts.away,score,pts.home,Toronto
3:40.0,Shooting foul by D. DeRozan (drawn by T. Duncan),,75-75,,
3:40.0,T. Duncan makes free throw 1 of 2,1,76-75,,
3:40.0,T. Duncan makes free throw 2 of 2,1,77-75,,
3:22.0,,,77-77,2,K. Lowry makes 2-pt shot from 19 ft
3:04.0,Turnover by M. Ginobili (bad pass; steal by D. DeRozan),,77-77,,
2:50.0,,,77-77,,K. Lowry misses 2-pt shot from 2 ft
2:48.0,Defensive rebound by T. Parker,,77-77,,
2:36.0,San Antonio full timeout,,77-77,,
2:36.0,,,77-77,,A. Johnson enters the game for J. Valanciunas
2:36.0,,,77-77,,P. Patterson enters the game for G. Vasquez
2:25.0,T. Parker misses 2-pt shot from 20 ft,,77-77,,
2:24.0,Offensive rebound by T. Duncan,,77-77,,
2:20.0,M. Belinelli makes 3-pt shot from 25 ft (assist by T. Duncan),3,80-77,,
2:07.0,Personal foul by K. Leonard (drawn by D. DeRozan),,80-77,,
2:00.0,,,80-79,2,J. Johnson makes 2-pt shot from 1 ft
1:49.0,T. Parker makes 2-pt shot from 4 ft,2,82-79,,
1:44.0,Personal block foul by M. Belinelli (drawn by D. DeRozan),,82-79,,
1:33.0,,,82-81,2,A. Johnson makes 2-pt shot at rim (assist by D. DeRozan)
1:09.0,K. Leonard misses 3-pt shot from 23 ft,,82-81,,
1:09.0,Offensive rebound by Team,,82-81,,
1:09.0,Turnover by Team (shot clock),,82-81,,
0:50.0,,,82-84,3,J. Johnson makes 3-pt shot from 23 ft (assist by K. Lowry)
0:41.0,M. Belinelli misses 3-pt shot from 26 ft,,82-84,,
0:40.0,Offensive rebound by T. Duncan,,82-84,,
0:32.0,M. Ginobili misses 3-pt shot from 25 ft,,82-84,,
0:31.0,,,82-84,,Defensive rebound by K. Lowry
0:06.0,,,82-84,,K. Lowry misses 2-pt shot from 21 ft
0:05.0,,,82-84,,Offensive rebound by J. Johnson
0:04.0,Personal foul by T. Parker (drawn by J. Johnson),,82-84,,
0:04.0,,,82-84,,J. Johnson misses free throw 1 of 2
0:04.0,,,82-84,,Offensive rebound by Team
0:04.0,T. Splitter enters the game for T. Parker,,82-84,,
0:04.0,,,82-85,1,J. Johnson makes free throw 2 of 2
0:04.0,San Antonio full timeout,,82-85,,
0:04.0,San Antonio full timeout,,82-85,,
0:04.0,T. Parker enters the game for T. Splitter,,82-85,,
0:04.0,,,82-85,,Personal foul by D. DeRozan (drawn by M. Ginobili)
0:04.0,,,82-85,,Toronto full timeout
0:04.0,San Antonio full timeout,,82-85,,
0:04.0,Turnover by T. Duncan (inbound),,82-85,,
0:04.0,,,82-85,,Toronto full timeout
0:04.0,,,82-85,,G. Vasquez enters the game for J. Johnson
0:04.0,Violation by M. Ginobili (kicked ball),,82-85,,
0:03.0,Personal foul by M. Belinelli (drawn by D. DeRozan),,82-85,,
0:03.0,,,82-86,1,D. DeRozan makes free throw 1 of 2
0:03.0,,,82-86,,J. Johnson enters the game for G. Vasquez
0:03.0,,,82-87,1,D. DeRozan makes free throw 2 of 2
0:00.0,End of 4th quarter,,,,End of 4th quarter
