time,Toronto,pts.away,score,pts.home,Phoenix
5:28.0,Defensive rebound by L. Nogueira,,91-111,,
5:23.0,K. Lowry misses 3-pt shot from 25 ft,,91-111,,
5:19.0,,,91-111,,Defensive rebound by G. Green
5:12.0,,,91-111,,M. Morris misses 3-pt shot from 23 ft
5:10.0,Defensive rebound by J. Valanciunas,,91-111,,
5:02.0,L. Williams misses 2-pt shot from 9 ft,,91-111,,
5:00.0,Offensive rebound by J. Valanciunas,,91-111,,
5:00.0,J. Valanciunas misses 2-pt shot at rim,,91-111,,
4:57.0,,,91-111,,Defensive rebound by A. Goodwin
4:53.0,,,91-113,2,I. Thomas makes 2-pt shot at rim (assist by A. Goodwin)
4:39.0,J. Valanciunas makes 2-pt shot from 16 ft (assist by K. Lowry),2,93-113,,
4:22.0,,,93-113,,G. Green misses 3-pt shot from 24 ft
4:20.0,Defensive rebound by L. Williams,,93-113,,
4:10.0,K. Lowry makes 3-pt shot from 27 ft (assist by L. Williams),3,96-113,,
4:10.0,,,96-113,,Phoenix full timeout
4:10.0,,,96-113,,T. Ennis enters the game for I. Thomas
4:10.0,,,96-113,,T. Warren enters the game for G. Green
3:54.0,,,96-113,,Shooting foul by L. Nogueira (drawn by A. Goodwin)
3:54.0,,,96-114,1,A. Goodwin makes free throw 1 of 2
3:54.0,,,96-115,1,A. Goodwin makes free throw 2 of 2
3:46.0,L. Williams makes 3-pt shot from 28 ft (assist by K. Lowry),3,99-115,,
3:36.0,Personal foul by L. Nogueira (drawn by A. Goodwin),,99-115,,
3:36.0,,,99-116,1,A. Goodwin makes free throw 1 of 2
3:36.0,,,99-116,,A. Goodwin misses free throw 2 of 2
3:35.0,Defensive rebound by L. Nogueira,,99-116,,
3:30.0,,,99-116,,Personal foul by T. Ennis (drawn by K. Lowry)
3:30.0,K. Lowry makes free throw 1 of 2,1,100-116,,
3:30.0,K. Lowry makes free throw 2 of 2,1,101-116,,
3:24.0,,,101-118,2,A. Goodwin makes 2-pt shot at rim (assist by T. Ennis)
3:08.0,J. Valanciunas misses 2-pt shot from 3 ft (block by A. Goodwin),,101-118,,
3:06.0,,,101-118,,Defensive rebound by T. Warren
3:05.0,Shooting block foul by J. Johnson (drawn by T. Warren),,101-118,,
3:05.0,,,101-119,1,T. Warren makes free throw 1 of 2
3:05.0,L. Fields enters the game for K. Lowry,,101-119,,
3:05.0,G. Vasquez enters the game for L. Williams,,101-119,,
3:05.0,,,101-120,1,T. Warren makes free throw 2 of 2
2:44.0,G. Vasquez misses 2-pt shot from 22 ft,,101-120,,
2:42.0,,,101-120,,Defensive rebound by S. Randolph
2:32.0,,,101-120,,A. Goodwin misses 3-pt shot from 25 ft
2:31.0,,,101-120,,Offensive rebound by Team
2:27.0,,,101-120,,M. Morris misses 3-pt shot from 22 ft
2:25.0,Defensive rebound by L. Nogueira,,101-120,,
2:14.0,J. Johnson misses 2-pt shot from 14 ft,,101-120,,
2:11.0,,,101-120,,Defensive rebound by S. Randolph
2:08.0,,,101-122,2,A. Goodwin makes 2-pt shot at rim
2:08.0,,,101-122,,Shooting foul by L. Nogueira (drawn by A. Goodwin)
2:08.0,,,101-123,1,A. Goodwin makes free throw 1 of 1
1:56.0,J. Valanciunas makes 2-pt shot at rim (assist by L. Nogueira),2,103-123,,
1:44.0,Personal foul by G. Vasquez (drawn by A. Goodwin),,103-123,,
1:44.0,,,103-124,1,A. Goodwin makes free throw 1 of 2
1:44.0,T. Hansbrough enters the game for J. Valanciunas,,103-124,,
1:44.0,,,103-125,1,A. Goodwin makes free throw 2 of 2
1:33.0,L. Nogueira makes 2-pt shot at rim (assist by T. Hansbrough),2,105-125,,
1:23.0,,,105-125,,T. Ennis misses 2-pt shot from 1 ft
1:21.0,Defensive rebound by J. Johnson,,105-125,,
1:15.0,Shooting foul by A. Goodwin (drawn by T. Hansbrough),,105-125,,
1:15.0,T. Hansbrough misses free throw 1 of 2,,105-125,,
1:15.0,Offensive rebound by Team,,105-125,,
1:15.0,T. Hansbrough makes free throw 2 of 2,1,106-125,,
1:02.0,,,106-125,,T. Warren misses 2-pt shot from 18 ft (block by J. Johnson)
1:00.0,Defensive rebound by L. Fields,,106-125,,
0:55.0,Shooting foul by M. Morris (drawn by L. Nogueira),,106-125,,
0:55.0,L. Nogueira makes free throw 1 of 2,1,107-125,,
0:55.0,L. Nogueira makes free throw 2 of 2,1,108-125,,
0:37.0,Jump ball: A. Goodwin vs. L. Nogueira (J. Johnson gains possession),,,,Jump ball: A. Goodwin vs. L. Nogueira (J. Johnson gains possession)
0:37.0,,,108-125,,Turnover by A. Goodwin (lost ball; steal by L. Nogueira)
0:33.0,Turnover by J. Johnson (bad pass),,108-125,,
0:10.0,,,108-125,,T. Ennis misses 2-pt shot from 12 ft
0:08.0,Defensive rebound by J. Johnson,,108-125,,
0:00.0,Shooting foul by M. Morris (drawn by T. Hansbrough),,108-125,,
0:00.0,T. Hansbrough makes free throw 1 of 2,1,109-125,,
0:00.0,T. Hansbrough misses free throw 2 of 2,,109-125,,
0:00.0,,,109-125,,Defensive rebound by S. Randolph
0:00.0,End of 4th quarter,,,,End of 4th quarter
