time,Detroit,pts.away,score,pts.home,Washington
2:58.0,,,98-97,,J. Wall misses 2-pt shot from 2 ft
2:57.0,Defensive rebound by J. Smith,,98-97,,
2:40.0,Detroit full timeout,,98-97,,
2:40.0,,,98-97,,M. Gortat enters the game for K. Humphries
2:37.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,98-97,,
2:36.0,,,98-97,,Defensive rebound by Team
2:18.0,,,98-97,,N. Hilario misses 2-pt shot from 14 ft
2:16.0,,,98-97,,Offensive rebound by M. Gortat
2:12.0,,,98-99,2,M. Gortat makes 2-pt shot from 10 ft (assist by P. Pierce)
1:50.0,B. Jennings misses 3-pt shot from 26 ft,,98-99,,
1:50.0,,,98-99,,Defensive rebound by M. Gortat
1:32.0,,,98-99,,Turnover by N. Hilario (lost ball; steal by K. Singler)
1:27.0,B. Jennings makes 2-pt shot from 2 ft (assist by J. Smith),2,100-99,,
1:11.0,,,100-101,2,J. Wall makes 2-pt shot from 10 ft
0:59.0,Turnover by G. Monroe (lost ball),,100-101,,
0:39.0,,,100-103,2,M. Gortat makes 2-pt shot at rim (assist by N. Hilario)
0:38.0,Detroit full timeout,,100-103,,
0:38.0,,,100-103,,G. Temple enters the game for R. Butler
0:25.0,J. Smith misses 2-pt shot from 4 ft,,100-103,,
0:24.0,Offensive rebound by K. Singler,,100-103,,
0:23.0,,,100-103,,Personal foul by J. Wall (drawn by K. Singler)
0:23.0,K. Singler makes free throw 1 of 2,1,101-103,,
0:23.0,K. Singler misses free throw 2 of 2,,101-103,,
0:22.0,,,101-103,,Defensive rebound by P. Pierce
0:21.0,,,101-103,,Washington full timeout
0:21.0,,,101-103,,A. Miller enters the game for M. Gortat
0:21.0,,,101-103,,R. Butler enters the game for G. Temple
0:20.0,Personal foul by B. Jennings (drawn by J. Wall),,101-103,,
0:14.0,Personal foul by J. Smith (drawn by A. Miller),,101-103,,
0:14.0,,,101-103,,A. Miller misses free throw 1 of 2
0:14.0,,,101-103,,Offensive rebound by Team
0:14.0,,,101-103,,G. Temple enters the game for R. Butler
0:14.0,,,101-104,1,A. Miller makes free throw 2 of 2
0:14.0,Detroit full timeout,,101-104,,
0:14.0,,,101-104,,R. Butler enters the game for A. Miller
0:08.0,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by B. Jennings),2,103-104,,
0:08.0,,,103-104,,Washington full timeout
0:08.0,,,103-104,,A. Miller enters the game for G. Temple
0:07.0,Personal foul by B. Jennings (drawn by J. Wall),,103-104,,
0:07.0,,,103-105,1,J. Wall makes free throw 1 of 2
0:07.0,,,103-105,,G. Temple enters the game for A. Miller
0:07.0,,,103-105,,J. Wall misses free throw 2 of 2
0:06.0,,,103-105,,Offensive rebound by P. Pierce
0:04.0,Personal foul by K. Caldwell-Pope (drawn by R. Butler),,103-105,,
0:04.0,,,103-106,1,R. Butler makes free throw 1 of 2
0:04.0,,,103-107,1,R. Butler makes free throw 2 of 2
0:04.0,Detroit full timeout,,103-107,,
0:01.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,103-107,,
0:00.0,,,103-107,,Defensive rebound by J. Wall
0:00.0,End of 4th quarter,,,,End of 4th quarter
