time,Miami,pts.away,score,pts.home,Minnesota
2:19.0,,,97-98,,K. Martin misses 2-pt shot from 14 ft
2:18.0,,,97-98,,Offensive rebound by G. Dieng
2:13.0,,,97-98,,K. Martin misses 3-pt shot from 23 ft
2:12.0,,,97-98,,Offensive rebound by G. Dieng
1:54.0,,,97-100,2,A. Wiggins makes 2-pt shot from 5 ft (assist by G. Dieng)
1:31.0,L. Deng makes 2-pt shot from 2 ft (assist by M. Chalmers),2,99-100,,
1:10.0,,,99-100,,Turnover by G. Dieng (lost ball; steal by H. Whiteside)
0:57.0,Miami full timeout,,99-100,,
0:50.0,C. Bosh makes 2-pt shot from 19 ft,2,101-100,,
0:50.0,,,101-100,,Minnesota full timeout
0:41.0,,,101-102,2,K. Martin makes 2-pt shot from 14 ft (assist by T. Young)
0:39.0,Turnover by H. Whiteside (inbound),,101-102,,
0:27.0,,,101-102,,K. Martin misses 3-pt shot from 25 ft
0:26.0,Defensive rebound by H. Whiteside,,101-102,,
0:07.0,M. Chalmers misses 2-pt shot from 2 ft,,101-102,,
0:04.0,Offensive rebound by L. Deng,,101-102,,
0:03.0,N. Cole misses 3-pt shot from 25 ft,,101-102,,
0:01.0,,,101-102,,Defensive rebound by G. Dieng
0:00.0,End of 4th quarter,,,,End of 4th quarter
