time,Boston,pts.away,score,pts.home,Minnesota
0:45.0,Personal foul by J. Young (drawn by L. Brown),,96-106,,
0:45.0,,,96-107,1,L. Brown makes free throw 1 of 2
0:45.0,,,96-108,1,L. Brown makes free throw 2 of 2
0:32.0,B. Bass makes 2-pt shot from 1 ft,2,98-108,,
0:24.0,Personal take foul by J. Sullinger (drawn by T. Young),,98-108,,
0:24.0,,,98-109,1,T. Young makes free throw 1 of 2
0:24.0,,,98-110,1,T. Young makes free throw 2 of 2
0:14.0,J. Young misses 3-pt shot from 23 ft,,98-110,,
0:13.0,,,98-110,,Defensive rebound by G. Dieng
0:00.0,End of 4th quarter,,,,End of 4th quarter
