time,Dallas,pts.away,score,pts.home,Orlando
2:43.0,,,100-91,2,T. Harris makes 2-pt shot from 2 ft
2:23.0,M. Ellis makes 2-pt shot from 2 ft (assist by D. Nowitzki),2,102-91,,
2:01.0,,,102-91,,Turnover by T. Harris (bad pass)
1:46.0,,,102-91,,Personal foul by C. Frye (drawn by D. Nowitzki)
1:46.0,D. Nowitzki makes free throw 1 of 2,1,103-91,,
1:46.0,,,103-91,,A. Gordon enters the game for E. Fournier
1:46.0,D. Nowitzki makes free throw 2 of 2,1,104-91,,
1:46.0,,,104-91,,Orlando full timeout
1:46.0,A. Aminu enters the game for D. Nowitzki,,104-91,,
1:46.0,,,104-91,,E. Fournier enters the game for A. Gordon
1:44.0,,,104-91,,Turnover by W. Green (bad pass; steal by M. Ellis)
1:25.0,M. Ellis makes 2-pt shot from 20 ft,2,106-91,,
1:18.0,,,106-91,,C. Frye misses 3-pt shot from 24 ft
1:16.0,Defensive rebound by R. Jefferson,,106-91,,
1:00.0,M. Ellis makes 2-pt shot from 21 ft,2,108-91,,
0:53.0,,,108-93,2,E. Fournier makes 2-pt shot from 2 ft (assist by W. Green)
0:53.0,Dallas full timeout,,108-93,,
0:53.0,,,108-93,,A. Gordon enters the game for C. Frye
0:53.0,C. Villanueva enters the game for T. Chandler,,108-93,,
0:33.0,M. Ellis misses 2-pt shot from 19 ft,,108-93,,
0:32.0,,,108-93,,Defensive rebound by E. Fournier
0:24.0,,,108-93,,Turnover by W. Green (lost ball; steal by M. Ellis)
0:00.0,End of 4th quarter,,,,End of 4th quarter
