time,Sacramento,pts.away,score,pts.home,Detroit
3:49.0,Defensive rebound by D. Collison,,91-100,,
3:42.0,Offensive charge foul by D. Cousins,,91-100,,
3:42.0,Turnover by D. Cousins (offensive foul),,91-100,,
3:30.0,,,91-102,2,B. Jennings makes 2-pt shot at rim
3:14.0,D. Collison misses 2-pt shot at rim (block by A. Drummond),,91-102,,
3:12.0,,,91-102,,Defensive rebound by J. Jerebko
2:57.0,,,91-105,3,B. Jennings makes 3-pt shot from 26 ft
2:55.0,Sacramento full timeout,,91-105,,
2:55.0,,,91-105,,Detroit full timeout
2:50.0,,,91-105,,Personal foul by K. Caldwell-Pope (drawn by B. McLemore)
2:29.0,R. Gay misses 2-pt shot from 2 ft,,91-105,,
2:28.0,,,91-105,,Defensive rebound by J. Meeks
2:27.0,Personal take foul by N. Stauskas (drawn by A. Drummond),,91-105,,
2:27.0,,,91-105,,A. Drummond misses free throw 1 of 2
2:27.0,,,91-105,,Offensive rebound by Team
2:27.0,,,91-106,1,A. Drummond makes free throw 2 of 2
2:00.0,R. Gay misses 2-pt shot from 2 ft,,91-106,,
1:59.0,,,91-106,,Defensive rebound by K. Caldwell-Pope
1:58.0,Away from play foul by N. Stauskas (drawn by A. Drummond),,91-106,,
1:58.0,,,91-107,1,J. Meeks makes free throw 1 of 1
1:39.0,,,91-110,3,B. Jennings makes 3-pt shot from 26 ft
1:32.0,Shooting foul by J. Jerebko (drawn by B. McLemore),,91-110,,
1:32.0,B. McLemore makes free throw 1 of 2,1,92-110,,
1:32.0,R. McCallum enters the game for D. Collison,,92-110,,
1:32.0,B. McLemore makes free throw 2 of 2,1,93-110,,
1:17.0,,,93-112,2,J. Meeks makes 2-pt shot from 17 ft (assist by B. Jennings)
1:03.0,Turnover by N. Stauskas (bad pass),,93-112,,
0:48.0,,,93-114,2,J. Meeks makes 2-pt shot from 19 ft (assist by B. Jennings)
0:39.0,,,93-114,,Personal foul by J. Meeks (drawn by B. McLemore)
0:39.0,B. McLemore makes free throw 1 of 2,1,94-114,,
0:39.0,B. McLemore makes free throw 2 of 2,1,95-114,,
0:26.0,,,95-114,,K. Caldwell-Pope misses 2-pt shot from 18 ft
0:25.0,Defensive rebound by R. Gay,,95-114,,
0:14.0,B. McLemore misses 3-pt shot from 27 ft,,95-114,,
0:13.0,,,95-114,,Defensive rebound by B. Jennings
0:00.0,End of 4th quarter,,,,End of 4th quarter
