time,Chicago,pts.away,score,pts.home,Atlanta
1:19.0,,,82-87,,Shooting foul by T. Gibson (drawn by P. Millsap)
1:19.0,,,82-87,,P. Millsap misses free throw 1 of 2
1:19.0,,,82-87,,Offensive rebound by Team
1:19.0,,,82-87,,P. Millsap misses free throw 2 of 2
1:18.0,Defensive rebound by T. Gibson,,82-87,,
1:18.0,Chicago full timeout,,82-87,,
1:13.0,T. Gibson makes 2-pt shot at rim (assist by D. Rose),2,84-87,,
0:58.0,,,84-89,2,A. Horford makes 2-pt shot from 18 ft (assist by K. Korver)
0:58.0,Chicago full timeout,,84-89,,
0:53.0,Turnover by T. Gibson (traveling),,84-89,,
0:34.0,,,84-89,,A. Horford misses 2-pt shot from 20 ft
0:33.0,Defensive rebound by P. Gasol,,84-89,,
0:24.0,P. Gasol misses 2-pt shot from 1 ft,,84-89,,
0:24.0,Offensive rebound by P. Gasol,,84-89,,
0:24.0,P. Gasol makes 2-pt shot from 1 ft,2,86-89,,
0:14.0,Jump ball: J. Butler vs. K. Korver (P. Millsap gains possession),,,,Jump ball: J. Butler vs. K. Korver (P. Millsap gains possession)
0:11.0,Personal take foul by K. Hinrich (drawn by J. Teague),,86-89,,
0:11.0,,,86-90,1,J. Teague makes free throw 1 of 2
0:11.0,,,86-90,,K. Bazemore enters the game for K. Korver
0:11.0,,,86-91,1,J. Teague makes free throw 2 of 2
0:11.0,Chicago full timeout,,86-91,,
0:11.0,M. Dunleavy enters the game for K. Hinrich,,86-91,,
0:08.0,D. Rose misses 3-pt shot from 23 ft,,86-91,,
0:07.0,,,86-91,,Defensive rebound by P. Millsap
0:06.0,Personal take foul by P. Gasol (drawn by P. Millsap),,86-91,,
0:06.0,,,86-92,1,P. Millsap makes free throw 1 of 2
0:06.0,,,86-92,,T. Sefolosha enters the game for A. Horford
0:06.0,,,86-92,,E. Brand enters the game for J. Teague
0:06.0,,,86-93,1,P. Millsap makes free throw 2 of 2
0:00.0,D. Rose misses 3-pt shot from 27 ft,,86-93,,
0:00.0,Offensive rebound by Team,,86-93,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
