time,San Antonio,pts.away,score,pts.home,Miami
1:12.0,San Antonio full timeout,,91-77,,
1:12.0,R. Williams enters the game for K. Leonard,,91-77,,
1:12.0,M. Bonner enters the game for D. Green,,91-77,,
1:12.0,P. Mills enters the game for B. Diaw,,91-77,,
1:12.0,,,91-77,,M. Chalmers enters the game for C. Andersen
1:12.0,,,91-77,,M. Beasley enters the game for D. Wade
1:02.0,,,91-77,,Z. Dragic enters the game for G. Dragic
0:58.0,R. Williams makes 3-pt shot from 24 ft (assist by M. Bonner),3,94-77,,
0:43.0,,,94-79,2,M. Beasley makes 2-pt shot from 2 ft
0:41.0,,,94-79,,Personal foul by T. Johnson (drawn by C. Joseph)
0:41.0,C. Joseph misses free throw 1 of 2,,94-79,,
0:41.0,Offensive rebound by Team,,94-79,,
0:41.0,C. Joseph makes free throw 2 of 2,1,95-79,,
0:20.0,,,95-81,2,J. Ennis makes 2-pt shot from 1 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
