time,Minnesota,pts.away,score,pts.home,Detroit
8:09.0,,,38-31,,Defensive rebound by A. Drummond
8:01.0,,,38-31,,Turnover by A. Drummond (traveling)
7:40.0,K. Martin makes 2-pt shot from 16 ft (assist by T. Young),2,40-31,,
7:18.0,,,40-31,,J. Lucas III misses 2-pt shot from 5 ft
7:17.0,,,40-31,,Offensive rebound by A. Drummond
7:16.0,,,40-33,2,A. Drummond makes 2-pt shot at rim
6:53.0,Shooting foul by J. Meeks (drawn by K. Martin),,40-33,,
6:53.0,K. Martin misses free throw 1 of 2,,40-33,,
6:53.0,Offensive rebound by Team,,40-33,,
6:53.0,A. Wiggins enters the game for A. Bennett,,40-33,,
6:53.0,K. Martin makes free throw 2 of 2,1,41-33,,
6:34.0,,,41-33,,J. Meeks misses 3-pt shot from 26 ft
6:32.0,Defensive rebound by Z. LaVine,,41-33,,
6:23.0,G. Dieng makes 2-pt shot at rim (assist by Z. LaVine),2,43-33,,
6:17.0,,,43-33,,Detroit full timeout
6:17.0,,,43-33,,K. Caldwell-Pope enters the game for J. Meeks
6:06.0,,,43-36,3,J. Lucas III makes 3-pt shot from 23 ft (assist by A. Drummond)
5:52.0,Turnover by K. Martin (bad pass; steal by A. Drummond),,43-36,,
5:49.0,,,43-36,,Turnover by A. Drummond (bad pass; steal by K. Martin)
5:46.0,Z. LaVine makes 2-pt shot at rim (assist by K. Martin),2,45-36,,
5:26.0,,,45-36,,K. Caldwell-Pope misses 2-pt shot from 6 ft
5:25.0,Defensive rebound by K. Martin,,45-36,,
5:13.0,Z. LaVine makes 2-pt shot from 16 ft (assist by G. Dieng),2,47-36,,
4:56.0,,,47-36,,C. Butler misses 3-pt shot from 26 ft
4:55.0,,,47-36,,Offensive rebound by A. Drummond
4:55.0,,,47-36,,Shooting foul by G. Dieng (drawn by A. Drummond)
4:55.0,,,47-37,1,A. Drummond makes free throw 1 of 2
4:55.0,,,47-37,,D. Augustin enters the game for J. Lucas III
4:55.0,,,47-37,,G. Monroe enters the game for A. Tolliver
4:55.0,,,47-37,,A. Drummond misses free throw 2 of 2
4:54.0,Defensive rebound by G. Dieng,,47-37,,
4:33.0,T. Young makes 3-pt shot from 27 ft (assist by Z. LaVine),3,50-37,,
4:15.0,,,50-37,,G. Monroe misses 2-pt shot from 1 ft
4:14.0,,,50-37,,Offensive rebound by A. Drummond
4:13.0,,,50-39,2,A. Drummond makes 2-pt shot at rim
3:58.0,Turnover by Z. LaVine (bad pass; steal by A. Drummond),,50-39,,
3:53.0,,,50-41,2,D. Augustin makes 2-pt shot at rim
3:52.0,Minnesota full timeout,,50-41,,
3:52.0,,,50-41,,K. Singler enters the game for C. Butler
3:52.0,M. Williams enters the game for Z. LaVine,,50-41,,
3:52.0,N. Pekovic enters the game for G. Dieng,,50-41,,
3:40.0,T. Young misses 2-pt shot from 15 ft,,50-41,,
3:38.0,,,50-41,,Defensive rebound by K. Singler
3:28.0,,,50-41,,Shooting foul by T. Young (drawn by G. Monroe)
3:28.0,,,50-42,1,G. Monroe makes free throw 1 of 2
3:28.0,,,50-42,,G. Monroe misses free throw 2 of 2
3:28.0,Defensive rebound by N. Pekovic,,50-42,,
3:13.0,Shooting foul by A. Drummond (drawn by A. Wiggins),,50-42,,
3:13.0,A. Wiggins makes free throw 1 of 2,1,51-42,,
