time,Utah,pts.away,score,pts.home,Dallas
2:05.0,E. Kanter makes free throw 1 of 2,1,97-115,,
2:05.0,E. Kanter misses free throw 2 of 2,,97-115,,
2:04.0,,,97-115,,Defensive rebound by C. Villanueva
1:47.0,,,97-115,,J. Crowder misses 2-pt shot from 2 ft
1:46.0,,,97-115,,Offensive rebound by G. Smith
1:44.0,,,97-115,,G. Smith misses 2-pt shot from 2 ft
1:42.0,Defensive rebound by R. Gobert,,97-115,,
1:34.0,E. Kanter makes 2-pt shot from 1 ft,2,99-115,,
1:34.0,Shooting foul by C. Villanueva (drawn by E. Kanter),,99-115,,
1:34.0,I. Clark enters the game for A. Burks,,99-115,,
1:34.0,E. Kanter makes free throw 1 of 1,1,100-115,,
1:23.0,,,100-115,,J. Crowder misses 2-pt shot from 20 ft
1:22.0,Defensive rebound by R. Hood,,100-115,,
1:09.0,R. Hood misses 2-pt shot from 19 ft,,100-115,,
1:07.0,,,100-115,,Defensive rebound by G. Smith
0:49.0,,,100-118,3,A. Aminu makes 3-pt shot from 23 ft (assist by J. Barea)
0:33.0,Turnover by R. Gobert (lost ball; steal by A. Aminu),,100-118,,
0:29.0,,,100-120,2,A. Aminu makes 2-pt shot at rim (assist by J. Barea)
0:10.0,R. Hood misses 2-pt shot from 21 ft,,100-120,,
0:07.0,Offensive rebound by R. Gobert,,100-120,,
0:07.0,R. Gobert misses 2-pt shot from 2 ft,,100-120,,
0:07.0,Offensive rebound by R. Gobert,,100-120,,
0:07.0,R. Gobert makes 2-pt shot from 2 ft,2,102-120,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
