time,Toronto,pts.away,score,pts.home,Charlotte
1:57.0,,,81-97,,Offensive rebound by L. Stephenson
1:52.0,,,81-97,,A. Jefferson misses 3-pt shot from 27 ft
1:52.0,,,81-97,,Offensive rebound by Team
1:52.0,,,81-97,,Turnover by Team (shot clock)
1:52.0,Toronto full timeout,,81-97,,
1:46.0,D. DeRozan misses 2-pt shot from 2 ft,,81-97,,
1:46.0,,,81-97,,Defensive rebound by Team
1:36.0,,,81-97,,G. Henderson misses 3-pt shot from 23 ft
1:34.0,,,81-97,,Offensive rebound by C. Zeller
1:22.0,,,81-99,2,M. Williams makes 2-pt shot from 20 ft
1:13.0,A. Johnson makes 2-pt shot from 2 ft (assist by K. Lowry),2,83-99,,
1:00.0,,,83-99,,Turnover by A. Jefferson (bad pass; steal by A. Johnson)
0:56.0,K. Lowry makes 3-pt shot from 27 ft,3,86-99,,
0:53.0,Violation by T. Ross (kicked ball),,86-99,,
0:53.0,,,86-99,,Charlotte full timeout
0:52.0,Personal foul by A. Johnson (drawn by C. Zeller),,86-99,,
0:52.0,,,86-100,1,C. Zeller makes free throw 1 of 2
0:52.0,,,86-101,1,C. Zeller makes free throw 2 of 2
0:41.0,A. Johnson makes 2-pt shot from 1 ft (assist by P. Patterson),2,88-101,,
0:19.0,,,88-101,,C. Zeller misses 2-pt shot from 2 ft
0:18.0,,,88-101,,Offensive rebound by C. Zeller
0:18.0,,,88-101,,C. Zeller misses 2-pt shot from 1 ft
0:16.0,Defensive rebound by K. Lowry,,88-101,,
0:13.0,K. Lowry makes 3-pt shot from 26 ft,3,91-101,,
0:12.0,Personal take foul by K. Lowry (drawn by M. Williams),,91-101,,
0:12.0,,,91-102,1,M. Williams makes free throw 1 of 2
0:12.0,,,91-103,1,M. Williams makes free throw 2 of 2
0:05.0,K. Lowry makes 3-pt shot from 25 ft,3,94-103,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
