time,Indiana,pts.away,score,pts.home,Milwaukee
0:28.0,,,91-85,,Milwaukee full timeout
0:19.0,,,91-85,,J. Dudley misses 3-pt shot from 24 ft
0:19.0,Defensive rebound by Team,,91-85,,
0:19.0,D. Sloan enters the game for R. Hibbert,,91-85,,
0:16.0,Turnover by R. Stuckey (bad pass; steal by B. Knight),,91-85,,
0:13.0,,,91-87,2,O. Mayo makes 2-pt shot at rim (assist by B. Knight)
0:13.0,Indiana full timeout,,91-87,,
0:13.0,,,91-87,,G. Antetokounmpo enters the game for Z. Pachulia
0:13.0,L. Scola enters the game for D. Sloan,,91-87,,
0:12.0,,,91-87,,Personal take foul by K. Middleton (drawn by S. Hill)
0:12.0,S. Hill misses free throw 1 of 2,,91-87,,
0:12.0,Offensive rebound by Team,,91-87,,
0:12.0,S. Hill makes free throw 2 of 2,1,92-87,,
0:12.0,,,92-87,,Milwaukee full timeout
0:12.0,R. Hibbert enters the game for L. Scola,,92-87,,
0:12.0,,,92-87,,Z. Pachulia enters the game for G. Antetokounmpo
0:06.0,,,92-89,2,B. Knight makes 2-pt shot at rim
0:05.0,,,92-89,,Personal foul by K. Middleton (drawn by S. Hill)
0:05.0,,,92-89,,J. Bayless enters the game for K. Middleton
0:05.0,S. Hill makes free throw 1 of 2,1,93-89,,
0:05.0,D. Sloan enters the game for R. Hibbert,,93-89,,
0:05.0,S. Hill makes free throw 2 of 2,1,94-89,,
0:02.0,,,94-91,2,Z. Pachulia makes 2-pt shot at rim (assist by B. Knight)
0:00.0,End of 4th quarter,,,,End of 4th quarter
