time,Utah,pts.away,score,pts.home,Washington
1:29.0,R. Gobert enters the game for E. Kanter,,81-89,,
1:29.0,T. Booker makes free throw 2 of 2,1,82-89,,
1:26.0,,,82-89,,Turnover by J. Wall (bad pass; steal by T. Booker)
1:24.0,Shooting foul by P. Pierce (drawn by T. Booker),,82-89,,
1:24.0,T. Booker makes free throw 1 of 2,1,83-89,,
1:24.0,T. Booker misses free throw 2 of 2,,83-89,,
1:22.0,,,83-89,,Defensive rebound by K. Humphries
1:03.0,,,83-91,2,B. Beal makes 2-pt shot from 12 ft
0:54.0,T. Burke misses 2-pt shot from 7 ft,,83-91,,
0:53.0,,,83-91,,Defensive rebound by K. Humphries
0:31.0,Violation by R. Gobert (def goaltending),,83-91,,
0:31.0,,,83-93,2,B. Beal makes 2-pt shot at rim
0:31.0,Utah full timeout,,83-93,,
0:31.0,,,83-93,,G. Temple enters the game for P. Pierce
0:31.0,,,83-93,,R. Butler enters the game for M. Gortat
0:31.0,E. Kanter enters the game for R. Gobert,,83-93,,
0:31.0,R. Hood enters the game for T. Booker,,83-93,,
0:23.0,T. Burke misses 2-pt shot from 6 ft,,83-93,,
0:22.0,,,83-93,,Defensive rebound by K. Humphries
0:22.0,Personal foul by E. Kanter (drawn by K. Humphries),,83-93,,
0:22.0,,,83-93,,Technical foul by K. Humphries
0:22.0,A. Burks makes technical free throw,1,84-93,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
