time,Charlotte,pts.away,score,pts.home,Sacramento
2:50.0,,,81-94,2,A. Miller makes 2-pt shot from 19 ft (assist by O. Casspi)
2:40.0,K. Walker makes 2-pt shot from 8 ft,2,83-94,,
2:40.0,Shooting foul by D. Williams (drawn by K. Walker),,83-94,,
2:40.0,Charlotte full timeout,,83-94,,
2:40.0,K. Walker makes free throw 1 of 1,1,84-94,,
2:17.0,,,84-94,,Turnover by A. Miller (bad pass; steal by M. Williams)
2:10.0,M. Williams makes 2-pt shot from 18 ft,2,86-94,,
1:52.0,,,86-94,,R. Gay misses 2-pt shot from 16 ft
1:51.0,,,86-94,,Offensive rebound by R. Gay
1:32.0,,,86-96,2,J. Thompson makes 2-pt shot from 5 ft (assist by A. Miller)
1:19.0,A. Jefferson misses 2-pt shot from 18 ft,,86-96,,
1:19.0,,,86-96,,Defensive rebound by Team
1:07.0,,,86-96,,J. Thompson misses 2-pt shot from 6 ft
1:06.0,Defensive rebound by M. Kidd-Gilchrist,,86-96,,
1:02.0,K. Walker makes 2-pt shot from 2 ft (assist by M. Williams),2,88-96,,
0:44.0,,,88-96,,R. Gay misses 2-pt shot from 18 ft
0:42.0,Defensive rebound by K. Walker,,88-96,,
0:38.0,Turnover by K. Walker (bad pass),,88-96,,
0:29.0,Personal take foul by M. Kidd-Gilchrist (drawn by O. Casspi),,88-96,,
0:29.0,,,88-96,,O. Casspi misses free throw 1 of 2
0:29.0,,,88-96,,Offensive rebound by Team
0:29.0,,,88-97,1,O. Casspi makes free throw 2 of 2
0:29.0,Charlotte full timeout,,88-97,,
0:29.0,G. Henderson enters the game for M. Kidd-Gilchrist,,88-97,,
0:26.0,M. Williams makes 3-pt shot from 25 ft (assist by M. Williams),3,91-97,,
0:25.0,,,91-97,,Sacramento full timeout
0:25.0,,,91-97,,R. McCallum enters the game for J. Thompson
0:25.0,M. Kidd-Gilchrist enters the game for A. Jefferson,,91-97,,
0:25.0,C. Zeller enters the game for M. Williams,,91-97,,
0:25.0,,,91-97,,Sacramento full timeout
0:21.0,,,91-97,,Turnover by O. Casspi (bad pass; steal by K. Walker)
0:13.0,G. Henderson misses 3-pt shot from 26 ft,,91-97,,
0:12.0,,,91-97,,Defensive rebound by D. Williams
0:12.0,Personal take foul by K. Walker (drawn by D. Williams),,91-97,,
0:12.0,,,91-98,1,D. Williams makes free throw 1 of 2
0:12.0,,,91-99,1,D. Williams makes free throw 2 of 2
0:12.0,Charlotte full timeout,,91-99,,
0:12.0,M. Williams enters the game for M. Kidd-Gilchrist,,91-99,,
0:12.0,A. Jefferson enters the game for C. Zeller,,91-99,,
0:09.0,K. Walker misses 3-pt shot from 23 ft,,91-99,,
0:08.0,,,91-99,,Defensive rebound by R. Gay
0:05.0,Personal take foul by M. Williams (drawn by R. Gay),,91-99,,
0:05.0,,,91-100,1,R. Gay makes free throw 1 of 2
0:05.0,,,91-101,1,R. Gay makes free throw 2 of 2
0:00.0,End of 4th quarter,,,,End of 4th quarter
