time,Chicago,pts.away,score,pts.home,Denver
4:50.0,Turnover by J. Butler (bad pass; steal by T. Lawson),,89-101,,
4:50.0,,,89-101,,Denver full timeout
4:50.0,,,89-101,,T. Mozgov enters the game for J. Hickson
4:36.0,,,89-103,2,D. Gallinari makes 2-pt shot from 4 ft (assist by T. Lawson)
4:20.0,J. Butler makes 2-pt shot from 1 ft,2,91-103,,
4:02.0,,,91-105,2,T. Lawson makes 2-pt shot from 12 ft
3:46.0,P. Gasol makes 2-pt shot from 9 ft (assist by K. Hinrich),2,93-105,,
3:17.0,,,93-105,,Turnover by T. Lawson (back court)
3:04.0,P. Gasol misses 2-pt shot from 3 ft,,93-105,,
3:01.0,Offensive rebound by P. Gasol,,93-105,,
3:01.0,P. Gasol makes 2-pt shot from 1 ft,2,95-105,,
2:40.0,,,95-105,,W. Chandler misses 3-pt shot from 25 ft
2:38.0,Defensive rebound by M. Dunleavy,,95-105,,
2:33.0,A. Brooks misses 3-pt shot from 26 ft,,95-105,,
2:31.0,,,95-105,,Defensive rebound by W. Chandler
2:14.0,,,95-105,,T. Mozgov misses 2-pt shot from 2 ft
2:12.0,,,95-105,,Offensive rebound by D. Gallinari
2:06.0,,,95-105,,Turnover by D. Gallinari (step out of bounds)
1:59.0,P. Gasol makes 2-pt shot from 5 ft (assist by A. Brooks),2,97-105,,
1:59.0,Shooting foul by T. Mozgov (drawn by P. Gasol),,97-105,,
1:59.0,,,97-105,,Denver full timeout
1:59.0,,,97-105,,A. Afflalo enters the game for W. Chandler
1:59.0,P. Gasol makes free throw 1 of 1,1,98-105,,
1:39.0,,,98-105,,T. Lawson misses 2-pt shot from 17 ft
1:36.0,,,98-105,,Offensive rebound by T. Mozgov
1:36.0,,,98-107,2,T. Mozgov makes 2-pt shot from 2 ft
1:21.0,A. Brooks makes 3-pt shot from 25 ft (assist by K. Hinrich),3,101-107,,
1:05.0,,,101-107,,Turnover by T. Mozgov (lost ball; steal by J. Butler)
1:02.0,J. Butler makes 2-pt shot at rim,2,103-107,,
0:40.0,,,103-109,2,A. Afflalo makes 2-pt shot from 23 ft
0:40.0,Chicago full timeout,,103-109,,
0:32.0,A. Brooks misses 3-pt shot from 22 ft,,103-109,,
0:31.0,Offensive rebound by J. Butler,,103-109,,
0:31.0,J. Butler makes 2-pt shot from 2 ft,2,105-109,,
0:31.0,Shooting foul by T. Mozgov (drawn by J. Butler),,105-109,,
0:31.0,,,105-109,,W. Chandler enters the game for T. Mozgov
0:31.0,J. Butler makes free throw 1 of 1,1,106-109,,
0:24.0,,,106-109,,Denver full timeout
0:24.0,T. Snell enters the game for A. Brooks,,106-109,,
0:08.0,,,106-111,2,T. Lawson makes 2-pt shot from 21 ft
0:08.0,Chicago full timeout,,106-111,,
0:08.0,A. Brooks enters the game for T. Snell,,106-111,,
0:08.0,Turnover by K. Hinrich (bad pass; steal by T. Lawson),,106-111,,
0:08.0,Personal take foul by P. Gasol (drawn by T. Lawson),,106-111,,
0:08.0,,,106-112,1,T. Lawson makes free throw 1 of 2
0:08.0,,,106-112,,T. Lawson misses free throw 2 of 2
0:07.0,Defensive rebound by J. Butler,,106-112,,
0:07.0,Chicago full timeout,,106-112,,
0:05.0,Shooting foul by T. Lawson (drawn by M. Dunleavy),,106-112,,
0:05.0,M. Dunleavy makes free throw 1 of 3,1,107-112,,
0:05.0,M. Dunleavy makes free throw 2 of 3,1,108-112,,
0:05.0,M. Dunleavy makes free throw 3 of 3,1,109-112,,
0:03.0,,,109-112,,Shooting foul by P. Gasol (drawn by D. Gallinari)
0:03.0,,,109-113,1,D. Gallinari makes free throw 1 of 2
0:03.0,,,109-114,1,D. Gallinari makes free throw 2 of 2
0:00.0,A. Brooks misses 2-pt shot from 20 ft,,109-114,,
0:00.0,Offensive rebound by Team,,109-114,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
