time,Philadelphia,pts.away,score,pts.home,Utah
6:26.0,Defensive rebound by H. Sims,,64-67,,
6:06.0,M. Carter-Williams misses 2-pt shot from 7 ft (block by T. Booker),,64-67,,
6:03.0,,,64-67,,Defensive rebound by T. Burke
6:02.0,,,64-67,,Shooting foul by R. Covington (drawn by T. Burke)
6:02.0,,,64-68,1,T. Burke makes free throw 1 of 2
6:02.0,,,64-69,1,T. Burke makes free throw 2 of 2
5:51.0,H. Sims makes 2-pt shot from 20 ft (assist by M. Carter-Williams),2,66-69,,
5:43.0,,,66-69,,Utah full timeout
5:43.0,,,66-69,,R. Hood enters the game for P. Christopher
5:28.0,,,66-69,,R. Hood misses 2-pt shot from 16 ft
5:26.0,,,66-69,,Offensive rebound by D. Favors
5:26.0,,,66-71,2,D. Favors makes 2-pt shot from 3 ft
5:26.0,,,66-71,,Shooting foul by M. Carter-Williams (drawn by D. Favors)
5:26.0,T. Wroten enters the game for K. McDaniels,,66-71,,
5:26.0,,,66-72,1,D. Favors makes free throw 1 of 1
5:05.0,M. Carter-Williams misses 2-pt shot from 4 ft,,66-72,,
5:04.0,,,66-72,,Defensive rebound by D. Favors
4:52.0,,,66-74,2,D. Favors makes 2-pt shot from 1 ft (assist by G. Hayward)
4:36.0,Shooting foul by G. Hayward (drawn by T. Wroten),,66-74,,
4:36.0,T. Wroten makes free throw 1 of 2,1,67-74,,
4:36.0,T. Wroten misses free throw 2 of 2,,67-74,,
4:34.0,,,67-74,,Defensive rebound by D. Favors
4:14.0,,,67-76,2,T. Booker makes 2-pt shot from 7 ft
4:05.0,Philadelphia full timeout,,67-76,,
3:59.0,H. Sims misses 2-pt shot from 19 ft,,67-76,,
3:56.0,,,67-76,,Defensive rebound by T. Booker
3:40.0,,,67-76,,G. Hayward misses 2-pt shot from 20 ft
3:39.0,Defensive rebound by R. Covington,,67-76,,
3:29.0,Turnover by M. Carter-Williams (bad pass),,67-76,,
3:29.0,K. McDaniels enters the game for N. Noel,,67-76,,
3:08.0,,,67-76,,T. Burke misses 2-pt shot from 4 ft (block by R. Covington)
3:07.0,,,67-76,,Offensive rebound by D. Favors
3:07.0,,,67-76,,D. Favors misses 2-pt shot from 2 ft (block by H. Sims)
3:07.0,Defensive rebound by R. Covington,,67-76,,
3:05.0,,,67-76,,Personal foul by D. Favors (drawn by R. Covington)
2:53.0,H. Sims misses 2-pt shot from 17 ft,,67-76,,
2:52.0,,,67-76,,Defensive rebound by Team
2:52.0,Personal foul by R. Covington (drawn by T. Booker),,67-76,,
2:52.0,,,67-77,1,T. Booker makes free throw 1 of 2
2:52.0,,,67-78,1,T. Booker makes free throw 2 of 2
2:47.0,,,67-78,,Personal foul by T. Booker (drawn by M. Carter-Williams)
2:47.0,M. Carter-Williams makes free throw 1 of 2,1,68-78,,
2:47.0,M. Carter-Williams makes free throw 2 of 2,1,69-78,,
2:27.0,,,69-80,2,D. Favors makes 2-pt shot from 3 ft (assist by G. Hayward)
2:18.0,R. Covington misses 3-pt shot from 24 ft,,69-80,,
2:16.0,,,69-80,,Defensive rebound by R. Hood
2:00.0,,,69-83,3,T. Burke makes 3-pt shot from 22 ft (assist by D. Favors)
2:00.0,Philadelphia full timeout,,69-83,,
1:41.0,M. Carter-Williams misses 3-pt shot from 26 ft,,69-83,,
1:37.0,Offensive rebound by M. Carter-Williams,,69-83,,
1:31.0,H. Sims misses 3-pt shot from 23 ft,,69-83,,
1:30.0,,,69-83,,Defensive rebound by G. Hayward
1:14.0,,,69-85,2,T. Booker makes 2-pt shot at rim (assist by D. Favors)
1:00.0,H. Sims misses 3-pt shot from 24 ft,,69-85,,
1:00.0,,,69-85,,Defensive rebound by G. Hayward
0:41.0,,,69-88,3,R. Hood makes 3-pt shot from 26 ft (assist by T. Booker)
0:26.0,T. Wroten makes 2-pt shot from 2 ft,2,71-88,,
0:02.0,,,71-88,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
