time,Oklahoma City,pts.away,score,pts.home,Brooklyn
2:40.0,Defensive rebound by N. Collison,,78-112,,
2:22.0,R. Jackson makes 2-pt shot from 19 ft,2,80-112,,
2:01.0,,,80-112,,B. Bogdanovic misses 3-pt shot from 22 ft
2:00.0,,,80-112,,Offensive rebound by J. Jordan
1:59.0,,,80-114,2,J. Jordan makes 2-pt shot from 1 ft
1:43.0,L. Thomas misses 2-pt shot from 16 ft,,80-114,,
1:42.0,,,80-114,,Defensive rebound by A. Kirilenko
1:29.0,,,80-114,,Turnover by J. Jordan (lost ball; steal by L. Thomas)
1:29.0,Jump ball: J. Jordan vs. L. Thomas (S. Adams gains possession),,,,Jump ball: J. Jordan vs. L. Thomas (S. Adams gains possession)
1:06.0,Shooting foul by J. Gutierrez (drawn by R. Jackson),,80-114,,
1:06.0,R. Jackson makes free throw 1 of 2,1,81-114,,
1:06.0,R. Jackson makes free throw 2 of 2,1,82-114,,
0:57.0,,,82-116,2,J. Gutierrez makes 2-pt shot from 7 ft
0:46.0,S. Adams misses 2-pt shot from 6 ft,,82-116,,
0:45.0,,,82-116,,Defensive rebound by A. Kirilenko
0:23.0,,,82-116,,Turnover by J. Jordan (traveling)
0:04.0,S. Telfair makes 3-pt shot from 24 ft (assist by R. Jackson),3,85-116,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
