time,Golden State,pts.away,score,pts.home,Milwaukee
5:22.0,Turnover by K. Thompson (bad pass; steal by J. Dudley),,92-76,,
5:06.0,,,92-76,,J. Henson misses 2-pt shot from 6 ft
5:04.0,Defensive rebound by S. Curry,,92-76,,
4:54.0,S. Curry misses 2-pt shot at rim,,92-76,,
4:52.0,Offensive rebound by J. McAdoo,,92-76,,
4:52.0,J. McAdoo makes 2-pt shot at rim,2,94-76,,
4:34.0,,,94-78,2,J. Bayless makes 2-pt shot at rim (assist by T. Ennis)
4:26.0,S. Curry makes 2-pt shot from 1 ft,2,96-78,,
4:08.0,,,96-78,,J. Bayless misses 2-pt shot from 14 ft
4:07.0,,,96-78,,Offensive rebound by J. Dudley
3:59.0,,,96-78,,O. Mayo misses 2-pt shot at rim
3:57.0,Defensive rebound by H. Barnes,,96-78,,
3:48.0,S. Curry makes 3-pt shot from 25 ft (assist by S. Livingston),3,99-78,,
3:37.0,,,99-81,3,J. Dudley makes 3-pt shot from 25 ft (assist by J. Bayless)
3:13.0,J. McAdoo misses 2-pt shot at rim,,99-81,,
3:11.0,,,99-81,,Defensive rebound by J. Dudley
3:05.0,,,99-83,2,T. Ennis makes 2-pt shot at rim (assist by J. Bayless)
2:53.0,Shooting foul by J. Dudley (drawn by J. McAdoo),,99-83,,
2:53.0,Official timeout,,99-83,,
2:53.0,J. McAdoo makes free throw 1 of 2,1,100-83,,
2:53.0,J. McAdoo makes free throw 2 of 2,1,101-83,,
2:30.0,,,101-85,2,T. Ennis makes 2-pt shot at rim
2:14.0,H. Barnes makes 3-pt shot from 22 ft (assist by S. Livingston),3,104-85,,
2:08.0,Personal take foul by K. Thompson (drawn by O. Mayo),,104-85,,
2:08.0,J. Holiday enters the game for K. Thompson,,104-85,,
2:08.0,B. Rush enters the game for S. Curry,,104-85,,
1:59.0,,,104-87,2,J. Henson makes 2-pt shot at rim (assist by O. Mayo)
1:38.0,B. Rush misses 2-pt shot from 18 ft,,104-87,,
1:37.0,,,104-87,,Defensive rebound by J. Bayless
1:34.0,,,104-89,2,O. Mayo makes 2-pt shot at rim (assist by J. Bayless)
1:34.0,,,104-89,,Shooting foul by B. Rush (drawn by O. Mayo)
1:34.0,,,104-90,1,O. Mayo makes free throw 1 of 1
1:17.0,H. Barnes misses 2-pt shot from 17 ft,,104-90,,
1:16.0,,,104-90,,Defensive rebound by O. Mayo
1:11.0,,,104-90,,O. Mayo misses 3-pt shot from 26 ft
1:09.0,Defensive rebound by J. McAdoo,,104-90,,
0:59.0,S. Livingston misses 2-pt shot from 13 ft,,104-90,,
0:58.0,,,104-90,,Defensive rebound by T. Ennis
0:47.0,,,104-92,2,J. Dudley makes 2-pt shot from 15 ft (assist by T. Ennis)
0:38.0,,,104-92,,Violation by J. Henson (def goaltending)
0:38.0,J. McAdoo makes 2-pt shot from 2 ft (assist by J. Holiday),2,106-92,,
0:31.0,Personal foul by S. Livingston (drawn by J. Henson),,106-92,,
0:31.0,,,106-92,,J. Henson misses free throw 1 of 2
0:31.0,,,106-92,,Offensive rebound by Team
0:31.0,,,106-93,1,J. Henson makes free throw 2 of 2
0:18.0,Shooting foul by J. Henson (drawn by H. Barnes),,106-93,,
0:18.0,H. Barnes makes 2-pt shot at rim (assist by J. Holiday),2,108-93,,
0:18.0,H. Barnes misses free throw 1 of 1,,108-93,,
0:17.0,,,108-93,,Defensive rebound by J. Henson
0:13.0,,,108-95,2,J. Bayless makes 2-pt shot at rim (assist by O. Mayo)
0:00.0,End of 4th quarter,,,,End of 4th quarter
