time,Boston,pts.away,score,pts.home,Oklahoma City
6:09.0,,,88-103,2,E. Kanter makes 2-pt shot at rim (assist by R. Westbrook)
5:57.0,Shooting foul by S. Adams (drawn by B. Bass),,88-103,,
5:57.0,B. Bass makes 2-pt shot at rim (assist by E. Turner),2,90-103,,
5:57.0,Official timeout,,90-103,,
5:57.0,J. Crowder enters the game for A. Bradley,,90-103,,
5:57.0,B. Bass makes free throw 1 of 1,1,91-103,,
5:36.0,,,91-105,2,A. Morrow makes 2-pt shot from 1 ft (assist by E. Kanter)
5:14.0,Shooting foul by A. Morrow (drawn by J. Jerebko),,91-105,,
5:14.0,J. Jerebko makes free throw 1 of 2,1,92-105,,
5:14.0,J. Jerebko makes free throw 2 of 2,1,93-105,,
4:56.0,,,93-105,,D. Augustin misses 3-pt shot from 23 ft
4:55.0,Defensive rebound by Team,,93-105,,
4:55.0,,,93-105,,D. Waiters enters the game for D. Augustin
4:55.0,K. Olynyk enters the game for J. Jerebko,,93-105,,
4:38.0,,,93-105,,Personal foul by E. Kanter (drawn by K. Olynyk)
4:38.0,K. Olynyk makes free throw 1 of 2,1,94-105,,
4:38.0,K. Olynyk misses free throw 2 of 2,,94-105,,
4:38.0,,,94-105,,Defensive rebound by S. Adams
4:26.0,Violation by M. Smart (kicked ball),,94-105,,
4:18.0,,,94-105,,S. Adams misses 2-pt shot from 12 ft
4:17.0,Defensive rebound by E. Turner,,94-105,,
4:12.0,M. Smart misses 3-pt shot from 24 ft,,94-105,,
4:09.0,Offensive rebound by B. Bass,,94-105,,
4:08.0,B. Bass makes 2-pt shot at rim,2,96-105,,
3:46.0,,,96-105,,D. Waiters misses 3-pt shot from 24 ft
3:45.0,,,96-105,,Offensive rebound by S. Adams
3:42.0,,,96-108,3,A. Morrow makes 3-pt shot from 24 ft (assist by S. Adams)
3:28.0,,,96-108,,Personal foul by D. Waiters (drawn by K. Olynyk)
3:28.0,K. Olynyk misses free throw 1 of 2,,96-108,,
3:28.0,Offensive rebound by Team,,96-108,,
3:28.0,K. Olynyk makes free throw 2 of 2,1,97-108,,
3:14.0,,,97-108,,R. Westbrook misses 3-pt shot from 24 ft
3:13.0,Defensive rebound by K. Olynyk,,97-108,,
3:03.0,M. Smart makes 3-pt shot from 24 ft (assist by K. Olynyk),3,100-108,,
2:55.0,,,100-108,,Oklahoma City full timeout
2:55.0,Boston full timeout,,100-108,,
2:42.0,Personal foul by J. Crowder (drawn by E. Kanter),,100-108,,
2:38.0,,,100-108,,Turnover by S. Adams (bad pass)
2:30.0,K. Olynyk makes 3-pt shot from 24 ft (assist by E. Turner),3,103-108,,
2:15.0,Personal foul by K. Olynyk (drawn by S. Adams),,103-108,,
2:11.0,,,103-108,,R. Westbrook misses 2-pt shot from 3 ft
2:11.0,,,103-108,,Offensive rebound by S. Adams
2:11.0,,,103-108,,Shooting foul by J. Crowder (drawn by S. Adams)
2:11.0,,,103-109,1,S. Adams makes free throw 1 of 2
2:11.0,,,103-109,,A. Roberson enters the game for E. Kanter
2:11.0,A. Bradley enters the game for B. Bass,,103-109,,
2:11.0,,,103-110,1,S. Adams makes free throw 2 of 2
1:59.0,Turnover by K. Olynyk (traveling),,103-110,,
1:59.0,B. Bass enters the game for K. Olynyk,,103-110,,
1:48.0,Personal foul by E. Turner (drawn by S. Adams),,103-110,,
1:48.0,,,103-110,,S. Adams misses free throw 1 of 2
1:48.0,,,103-110,,Offensive rebound by Team
1:48.0,T. Zeller enters the game for E. Turner,,103-110,,
1:48.0,,,103-110,,S. Adams misses free throw 2 of 2
1:47.0,Defensive rebound by Team,,103-110,,
1:47.0,Boston full timeout,,103-110,,
1:47.0,K. Olynyk enters the game for B. Bass,,103-110,,
1:47.0,E. Turner enters the game for T. Zeller,,103-110,,
1:34.0,M. Smart misses 3-pt shot from 24 ft,,103-110,,
1:33.0,,,103-110,,Defensive rebound by Team
1:33.0,B. Bass enters the game for K. Olynyk,,103-110,,
1:13.0,,,103-112,2,R. Westbrook makes 2-pt shot from 23 ft
1:01.0,B. Bass misses 3-pt shot from 24 ft,,103-112,,
1:01.0,Offensive rebound by Team,,103-112,,
1:01.0,,,103-112,,Loose ball foul by R. Westbrook (drawn by E. Turner)
1:01.0,E. Turner makes free throw 1 of 2,1,104-112,,
1:01.0,,,104-112,,N. Collison enters the game for A. Roberson
1:01.0,E. Turner misses free throw 2 of 2,,104-112,,
1:00.0,Offensive rebound by M. Smart,,104-112,,
0:57.0,Turnover by M. Smart (lost ball; steal by N. Collison),,104-112,,
0:56.0,Personal take foul by J. Crowder (drawn by R. Westbrook),,104-112,,
0:56.0,,,104-113,1,R. Westbrook makes free throw 1 of 2
0:56.0,,,104-113,,A. Roberson enters the game for N. Collison
0:56.0,,,104-114,1,R. Westbrook makes free throw 2 of 2
0:48.0,,,104-114,,Personal foul by R. Westbrook (drawn by M. Smart)
0:48.0,M. Smart misses free throw 1 of 2,,104-114,,
0:48.0,Offensive rebound by Team,,104-114,,
0:48.0,,,104-114,,D. Augustin enters the game for R. Westbrook
0:48.0,,,104-114,,N. Collison enters the game for A. Roberson
0:48.0,M. Smart makes free throw 2 of 2,1,105-114,,
0:47.0,Personal take foul by A. Bradley (drawn by D. Augustin),,105-114,,
0:47.0,,,105-115,1,D. Augustin makes free throw 1 of 2
0:47.0,,,105-116,1,D. Augustin makes free throw 2 of 2
0:36.0,E. Turner makes 2-pt shot from 1 ft,2,107-116,,
0:30.0,,,107-116,,Turnover by A. Morrow (lost ball; steal by M. Smart)
0:26.0,A. Bradley makes 3-pt shot from 23 ft (assist by J. Crowder),3,110-116,,
0:26.0,,,110-116,,Oklahoma City full timeout
0:26.0,,,110-116,,R. Westbrook enters the game for S. Adams
0:26.0,,,110-116,,A. Roberson enters the game for N. Collison
0:24.0,Personal foul by A. Bradley (drawn by R. Westbrook),,110-116,,
0:24.0,,,110-117,1,R. Westbrook makes free throw 1 of 2
0:24.0,,,110-118,1,R. Westbrook makes free throw 2 of 2
0:24.0,Boston full timeout,,110-118,,
0:24.0,,,110-118,,S. Adams enters the game for A. Morrow
0:22.0,B. Bass makes 3-pt shot from 22 ft (assist by M. Smart),3,113-118,,
0:17.0,Personal foul by E. Turner (drawn by R. Westbrook),,113-118,,
0:17.0,,,113-119,1,R. Westbrook makes free throw 1 of 2
0:17.0,,,113-120,1,R. Westbrook makes free throw 2 of 2
0:09.0,M. Smart makes 3-pt shot from 24 ft (assist by B. Bass),3,116-120,,
0:07.0,Personal foul by E. Turner (drawn by R. Westbrook),,116-120,,
0:07.0,K. Olynyk enters the game for E. Turner,,116-120,,
0:07.0,,,116-121,1,R. Westbrook makes free throw 1 of 2
0:07.0,,,116-122,1,R. Westbrook makes free throw 2 of 2
0:07.0,Boston full timeout,,116-122,,
0:05.0,A. Bradley misses 3-pt shot from 24 ft,,116-122,,
0:03.0,Offensive rebound by J. Crowder,,116-122,,
0:03.0,J. Crowder makes 2-pt shot at rim,2,118-122,,
0:03.0,,,118-122,,Oklahoma City full timeout
0:03.0,,,118-122,,A. Morrow enters the game for S. Adams
0:00.0,End of 4th quarter,,,,End of 4th quarter
