time,Philadelphia,pts.away,score,pts.home,LA Lakers
2:47.0,,,82-94,,Defensive rebound by C. Boozer
2:41.0,,,82-94,,J. Lin misses 2-pt shot from 1 ft
2:41.0,Defensive rebound by Team,,82-94,,
2:41.0,,,82-94,,Loose ball foul by E. Davis (drawn by R. Covington)
2:41.0,,,82-94,,LA Lakers full timeout
2:41.0,I. Canaan enters the game for L. Mbah a Moute,,82-94,,
2:26.0,H. Thompson makes 2-pt shot from 6 ft (assist by I. Smith),2,84-94,,
2:10.0,,,84-94,,Shooting foul by R. Covington (drawn by J. Brown)
2:10.0,,,84-95,1,J. Brown makes free throw 1 of 2
2:10.0,,,84-95,,W. Johnson enters the game for C. Boozer
2:10.0,,,84-96,1,J. Brown makes free throw 2 of 2
2:01.0,Turnover by I. Smith (bad pass),,84-96,,
1:39.0,,,84-96,,Turnover by R. Kelly (lost ball)
1:31.0,Turnover by H. Thompson (lost ball),,84-96,,
1:16.0,,,84-98,2,E. Davis makes 2-pt shot at rim (assist by J. Lin)
1:16.0,Philadelphia full timeout,,84-98,,
1:06.0,Turnover by I. Canaan (lost ball; steal by W. Johnson),,84-98,,
1:02.0,,,84-98,,Shooting foul by I. Canaan (drawn by J. Brown)
1:02.0,,,84-98,,J. Brown misses free throw 1 of 2
1:02.0,,,84-98,,Offensive rebound by Team
1:02.0,,,84-99,1,J. Brown makes free throw 2 of 2
1:02.0,Philadelphia full timeout,,84-99,,
0:50.0,N. Noel makes 2-pt shot at rim (assist by H. Thompson),2,86-99,,
0:32.0,,,86-99,,Shooting foul by N. Noel (drawn by J. Brown)
0:32.0,,,86-100,1,J. Brown makes free throw 1 of 2
0:32.0,,,86-101,1,J. Brown makes free throw 2 of 2
0:25.0,Shooting foul by E. Davis (drawn by N. Noel),,86-101,,
0:25.0,N. Noel makes free throw 1 of 2,1,87-101,,
0:25.0,N. Noel misses free throw 2 of 2,,87-101,,
0:24.0,Offensive rebound by Team,,87-101,,
0:12.0,I. Canaan misses 3-pt shot from 26 ft,,87-101,,
0:11.0,Offensive rebound by H. Thompson,,87-101,,
0:08.0,H. Thompson misses 2-pt shot from 5 ft,,87-101,,
0:06.0,Offensive rebound by H. Thompson,,87-101,,
0:03.0,R. Covington misses 3-pt shot from 23 ft,,87-101,,
0:03.0,,,87-101,,Defensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
