time,Phoenix,pts.away,score,pts.home,Oklahoma City
7:15.0,S. Randolph makes 2-pt shot from 1 ft (assist by T. Ennis),2,73-96,,
7:15.0,Shooting foul by N. Collison (drawn by S. Randolph),,73-96,,
7:15.0,,,73-96,,M. McGary enters the game for N. Collison
7:15.0,S. Randolph misses free throw 1 of 1,,73-96,,
7:14.0,Offensive rebound by A. Goodwin,,73-96,,
7:14.0,A. Goodwin misses 2-pt shot from 1 ft,,73-96,,
7:13.0,,,73-96,,Defensive rebound by K. Perkins
7:07.0,,,73-96,,A. Morrow misses 3-pt shot from 22 ft
7:05.0,Defensive rebound by A. Goodwin,,73-96,,
6:59.0,T. Ennis makes 2-pt shot from 3 ft (assist by A. Goodwin),2,75-96,,
6:35.0,,,75-98,2,K. Perkins makes 2-pt shot from 4 ft (assist by I. Smith)
6:12.0,T. Warren misses 2-pt shot from 22 ft,,75-98,,
6:11.0,,,75-98,,Defensive rebound by A. Morrow
6:06.0,,,75-100,2,P. Jones makes 2-pt shot at rim (assist by A. Morrow)
5:47.0,Shooting foul by P. Jones (drawn by S. Randolph),,75-100,,
5:47.0,Official timeout,,75-100,,
5:47.0,A. Tolliver enters the game for A. Len,,75-100,,
5:47.0,S. Randolph makes free throw 1 of 2,1,76-100,,
5:47.0,,,76-100,,Violation by K. Perkins (lane)
5:47.0,S. Randolph misses free throw 2 of 2,,76-100,,
5:46.0,,,76-100,,Defensive rebound by M. McGary
5:32.0,,,76-100,,Turnover by M. McGary (bad pass; steal by A. Tolliver)
5:23.0,S. Randolph misses 2-pt shot from 3 ft (block by K. Perkins),,76-100,,
5:23.0,Offensive rebound by Team,,76-100,,
5:07.0,T. Ennis misses 3-pt shot from 26 ft,,76-100,,
5:07.0,,,76-100,,Defensive rebound by M. McGary
4:59.0,,,76-102,2,I. Smith makes 2-pt shot from 1 ft
4:57.0,Phoenix full timeout,,76-102,,
4:44.0,T. Ennis makes 3-pt shot from 24 ft (assist by A. Goodwin),3,79-102,,
4:29.0,,,79-102,,Turnover by A. Morrow (bad pass; steal by S. Randolph)
4:24.0,T. Warren makes 2-pt shot from 1 ft (assist by A. Goodwin),2,81-102,,
4:03.0,,,81-104,2,M. McGary makes 2-pt shot from 1 ft (assist by K. Perkins)
3:40.0,T. Ennis makes 2-pt shot from 4 ft (assist by T. Warren),2,83-104,,
3:23.0,,,83-106,2,P. Jones makes 2-pt shot from 2 ft (assist by I. Smith)
3:05.0,T. Warren makes 2-pt shot from 5 ft (assist by T. Ennis),2,85-106,,
2:42.0,,,85-106,,K. Perkins misses 2-pt shot from 15 ft
2:42.0,Defensive rebound by T. Ennis,,85-106,,
2:21.0,T. Warren misses 2-pt shot from 5 ft,,85-106,,
2:21.0,Offensive rebound by S. Randolph,,85-106,,
2:18.0,S. Randolph misses 2-pt shot from 1 ft,,85-106,,
2:16.0,,,85-106,,Defensive rebound by I. Smith
2:11.0,,,85-106,,I. Smith misses 2-pt shot from 1 ft
2:10.0,,,85-106,,Offensive rebound by M. McGary
2:07.0,,,85-106,,Turnover by M. McGary (bad pass; steal by A. Goodwin)
2:03.0,A. Goodwin misses 2-pt shot from 2 ft,,85-106,,
2:02.0,,,85-106,,Defensive rebound by K. Perkins
1:48.0,,,85-106,,Shooting foul by T. Ennis (drawn by M. McGary)
1:48.0,,,85-106,,M. McGary misses free throw 1 of 2
1:48.0,,,85-106,,Offensive rebound by Team
1:48.0,,,85-107,1,M. McGary makes free throw 2 of 2
1:35.0,T. Ennis makes 2-pt shot from 1 ft,2,87-107,,
1:22.0,,,87-107,,Turnover by K. Perkins (lost ball; steal by S. Randolph)
1:16.0,A. Goodwin misses 2-pt shot from 5 ft (block by P. Jones),,87-107,,
1:14.0,,,87-107,,Defensive rebound by M. McGary
1:08.0,,,87-110,3,A. Morrow makes 3-pt shot from 23 ft (assist by P. Jones)
1:01.0,Shooting foul by K. Perkins (drawn by S. Randolph),,87-110,,
1:01.0,S. Randolph misses free throw 1 of 2,,87-110,,
1:01.0,Offensive rebound by Team,,87-110,,
1:01.0,S. Randolph makes free throw 2 of 2,1,88-110,,
0:45.0,,,88-112,2,A. Morrow makes 2-pt shot from 2 ft
0:36.0,A. Goodwin misses 3-pt shot from 25 ft,,88-112,,
0:35.0,,,88-112,,Defensive rebound by I. Smith
0:31.0,,,88-112,,I. Smith misses 2-pt shot from 1 ft (block by A. Goodwin)
0:28.0,Defensive rebound by S. Randolph,,88-112,,
0:22.0,A. Tolliver misses 3-pt shot from 23 ft,,88-112,,
0:21.0,,,88-112,,Defensive rebound by A. Morrow
0:00.0,End of 4th quarter,,,,End of 4th quarter
