time,Detroit,pts.away,score,pts.home,Houston
7:13.0,,,71-93,2,J. Smith makes 2-pt shot from 5 ft
7:01.0,Turnover by R. Jackson (bad pass; steal by J. Harden),,71-93,,
6:58.0,,,71-93,,Shooting foul by S. Williams (drawn by J. Harden)
6:58.0,,,71-94,1,J. Harden makes free throw 1 of 2
6:58.0,,,71-95,1,J. Harden makes free throw 2 of 2
6:45.0,S. Williams misses 2-pt shot from 2 ft,,71-95,,
6:44.0,Offensive rebound by A. Drummond,,71-95,,
6:44.0,,,71-95,,Personal foul by J. Smith (drawn by A. Drummond)
6:35.0,K. Caldwell-Pope misses 2-pt shot from 19 ft,,71-95,,
6:34.0,Offensive rebound by A. Drummond,,71-95,,
6:31.0,A. Drummond misses 2-pt shot from 1 ft,,71-95,,
6:29.0,Offensive rebound by A. Drummond,,71-95,,
6:28.0,A. Drummond makes 2-pt shot at rim,2,73-95,,
6:19.0,,,73-95,,J. Harden misses 3-pt shot from 25 ft
6:18.0,Defensive rebound by A. Drummond,,73-95,,
6:04.0,S. Williams makes 2-pt shot from 18 ft (assist by R. Jackson),2,75-95,,
5:44.0,,,75-97,2,C. Brewer makes 2-pt shot at rim (assist by J. Harden)
5:31.0,Turnover by S. Williams (offensive foul),,75-97,,
5:31.0,Offensive foul by S. Williams,,75-97,,
5:31.0,,,75-97,,Houston full timeout
5:31.0,,,75-97,,P. Beverley enters the game for J. Harden
5:31.0,,,75-97,,P. Prigioni enters the game for J. Smith
5:31.0,,,75-97,,D. Motiejunas enters the game for C. Brewer
5:31.0,,,75-97,,K. McDaniels enters the game for J. Terry
5:31.0,C. Martin enters the game for J. Meeks,,75-97,,
5:22.0,,,75-97,,Turnover by T. Jones (lost ball; steal by S. Williams)
5:03.0,C. Martin makes 3-pt shot from 26 ft,3,78-97,,
4:47.0,,,78-97,,P. Beverley misses 3-pt shot from 26 ft
4:46.0,Defensive rebound by A. Drummond,,78-97,,
4:31.0,S. Williams misses 2-pt shot from 16 ft,,78-97,,
4:30.0,Offensive rebound by A. Drummond,,78-97,,
4:30.0,A. Drummond makes 2-pt shot at rim,2,80-97,,
4:17.0,,,80-97,,Turnover by P. Prigioni (bad pass; steal by C. Martin)
4:10.0,,,80-97,,Personal foul by P. Beverley (drawn by A. Drummond)
4:01.0,R. Jackson makes 2-pt shot from 20 ft,2,82-97,,
3:45.0,,,82-99,2,K. McDaniels makes 2-pt shot from 13 ft
3:27.0,K. Caldwell-Pope makes 2-pt shot from 11 ft (assist by R. Jackson),2,84-99,,
3:12.0,,,84-99,,Turnover by P. Beverley (bad pass; steal by R. Jackson)
3:01.0,C. Martin makes 3-pt shot from 25 ft (assist by R. Jackson),3,87-99,,
2:43.0,,,87-99,,D. Motiejunas misses 2-pt shot from 22 ft
2:42.0,Defensive rebound by C. Martin,,87-99,,
2:28.0,A. Drummond misses 2-pt shot from 1 ft,,87-99,,
2:27.0,Offensive rebound by A. Drummond,,87-99,,
2:27.0,A. Drummond misses 2-pt shot from 1 ft,,87-99,,
2:27.0,Offensive rebound by A. Drummond,,87-99,,
2:27.0,A. Drummond makes 2-pt shot from 1 ft,2,89-99,,
2:27.0,Shooting foul by K. McDaniels (drawn by A. Drummond),,89-99,,
2:27.0,,,89-99,,Houston full timeout
2:27.0,,,89-99,,J. Harden enters the game for T. Jones
2:27.0,,,89-99,,J. Dorsey enters the game for K. McDaniels
2:27.0,A. Drummond misses free throw 1 of 1,,89-99,,
2:26.0,,,89-99,,Defensive rebound by D. Motiejunas
1:59.0,,,89-99,,J. Harden misses 3-pt shot from 25 ft
1:56.0,Defensive rebound by C. Martin,,89-99,,
1:48.0,R. Jackson misses 2-pt shot from 9 ft,,89-99,,
1:47.0,,,89-99,,Defensive rebound by J. Dorsey
1:23.0,,,89-99,,D. Motiejunas misses 2-pt shot from 15 ft
1:22.0,Defensive rebound by A. Drummond,,89-99,,
1:19.0,S. Williams makes 2-pt shot at rim (assist by R. Jackson),2,91-99,,
0:57.0,,,91-99,,P. Prigioni misses 3-pt shot from 26 ft
0:56.0,Defensive rebound by Team,,91-99,,
0:56.0,,,91-99,,Loose ball foul by P. Beverley (drawn by A. Drummond)
0:56.0,A. Drummond misses free throw 1 of 2,,91-99,,
0:56.0,Offensive rebound by Team,,91-99,,
0:56.0,A. Drummond misses free throw 2 of 2,,91-99,,
0:56.0,,,91-99,,Defensive rebound by Team
0:44.0,Personal take foul by S. Williams (drawn by P. Beverley),,91-99,,
0:44.0,Personal take foul by C. Martin (drawn by D. Motiejunas),,91-99,,
0:44.0,,,91-99,,D. Motiejunas misses free throw 1 of 2
0:44.0,,,91-99,,Offensive rebound by Team
0:44.0,G. Monroe enters the game for S. Williams,,91-99,,
0:44.0,,,91-99,,D. Motiejunas misses free throw 2 of 2
0:43.0,Defensive rebound by A. Drummond,,91-99,,
0:42.0,Detroit full timeout,,91-99,,
0:39.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,91-99,,
0:37.0,,,91-99,,Defensive rebound by D. Motiejunas
0:34.0,Personal take foul by C. Martin (drawn by J. Harden),,91-99,,
0:34.0,,,91-100,1,J. Harden makes free throw 1 of 2
0:34.0,,,91-101,1,J. Harden makes free throw 2 of 2
0:20.0,R. Jackson makes 2-pt shot at rim,2,93-101,,
0:20.0,Personal take foul by K. Caldwell-Pope (drawn by J. Harden),,93-101,,
0:20.0,,,93-102,1,J. Harden makes free throw 1 of 2
0:20.0,S. Williams enters the game for G. Monroe,,93-102,,
0:20.0,,,93-103,1,J. Harden makes free throw 2 of 2
0:10.0,S. Williams misses 3-pt shot from 25 ft,,93-103,,
0:09.0,,,93-103,,Defensive rebound by J. Harden
0:00.0,End of 4th quarter,,,,End of 4th quarter
