time,Houston,pts.away,score,pts.home,Chicago
3:19.0,,,100-95,,Offensive rebound by J. Noah
3:19.0,,,100-95,,J. Noah misses 2-pt shot from 1 ft
3:19.0,,,100-95,,Offensive rebound by J. Noah
3:19.0,,,100-97,2,P. Gasol makes 2-pt shot at rim (assist by D. Rose)
3:19.0,,,100-97,,Shooting foul by P. Beverley (drawn by P. Gasol)
3:19.0,,,100-98,1,P. Gasol makes free throw 1 of 1
3:02.0,D. Motiejunas misses 3-pt shot from 25 ft,,100-98,,
3:01.0,,,100-98,,Defensive rebound by N. Mirotic
2:56.0,,,100-100,2,J. Butler makes 2-pt shot from 20 ft (assist by N. Mirotic)
2:54.0,Houston full timeout,,100-100,,
2:34.0,P. Beverley misses 2-pt shot from 2 ft,,100-100,,
2:32.0,Offensive rebound by P. Beverley,,100-100,,
2:22.0,Offensive charge foul by J. Harden,,100-100,,
2:22.0,Turnover by J. Harden (offensive foul),,100-100,,
2:22.0,J. Smith enters the game for D. Motiejunas,,100-100,,
2:06.0,,,100-100,,Shooting foul by J. Harden (drawn by P. Gasol)
2:06.0,,,100-101,1,P. Gasol makes free throw 1 of 2
2:06.0,,,100-102,1,P. Gasol makes free throw 2 of 2
1:57.0,,,100-102,,Personal foul by J. Noah (drawn by D. Howard)
1:46.0,J. Smith makes 3-pt shot from 24 ft (assist by J. Harden),3,103-102,,
1:30.0,,,103-105,3,J. Butler makes 3-pt shot from 24 ft (assist by D. Rose)
1:20.0,J. Smith misses 3-pt shot from 26 ft,,103-105,,
1:19.0,,,103-105,,Defensive rebound by N. Mirotic
1:07.0,,,103-105,,Shooting foul by P. Beverley (drawn by D. Rose)
1:07.0,,,103-106,1,D. Rose makes free throw 1 of 2
1:07.0,,,103-107,1,D. Rose makes free throw 2 of 2
1:07.0,Houston full timeout,,103-107,,
0:56.0,J. Harden misses 3-pt shot from 25 ft,,103-107,,
0:56.0,,,103-107,,Defensive rebound by Team
0:40.0,,,103-110,3,N. Mirotic makes 3-pt shot from 23 ft (assist by P. Gasol)
0:34.0,Shooting foul by N. Mirotic (drawn by J. Harden),,103-110,,
0:34.0,J. Harden makes free throw 1 of 2,1,104-110,,
0:34.0,J. Harden makes free throw 2 of 2,1,105-110,,
0:26.0,,,105-112,2,J. Noah makes 2-pt shot from 1 ft (assist by D. Rose)
0:26.0,,,105-112,,Shooting foul by J. Smith (drawn by J. Noah)
0:26.0,,,105-112,,J. Noah misses free throw 1 of 1
0:25.0,Defensive rebound by J. Smith,,105-112,,
0:16.0,J. Smith misses 3-pt shot from 25 ft,,105-112,,
0:16.0,,,105-112,,Defensive rebound by N. Mirotic
0:16.0,Personal foul by T. Ariza (drawn by N. Mirotic),,105-112,,
0:16.0,,,105-113,1,N. Mirotic makes free throw 1 of 2
0:16.0,,,105-114,1,N. Mirotic makes free throw 2 of 2
0:02.0,P. Beverley misses 3-pt shot from 24 ft,,105-114,,
0:01.0,,,105-114,,Defensive rebound by P. Gasol
0:00.0,End of 4th quarter,,,,End of 4th quarter
