time,Orlando,pts.away,score,pts.home,Detroit
0:48.0,T. Harris makes 2-pt shot at rim (assist by E. Fournier),2,105-93,,
0:40.0,,,105-93,,C. Butler misses 3-pt shot from 26 ft
0:39.0,Defensive rebound by E. Fournier,,105-93,,
0:28.0,,,105-93,,Personal foul by K. Caldwell-Pope (drawn by N. Vucevic)
0:28.0,N. Vucevic makes free throw 1 of 2,1,106-93,,
0:28.0,A. Nicholson enters the game for T. Harris,,106-93,,
0:28.0,E. Payton enters the game for E. Fournier,,106-93,,
0:28.0,M. Harkless enters the game for C. Frye,,106-93,,
0:28.0,N. Vucevic makes free throw 2 of 2,1,107-93,,
0:14.0,,,107-93,,J. Jerebko misses 3-pt shot from 26 ft
0:13.0,Defensive rebound by N. Vucevic,,107-93,,
0:01.0,Turnover by V. Oladipo (bad pass),,107-93,,
0:01.0,,,107-93,,Turnover by B. Jennings (bad pass; steal by M. Harkless)
0:00.0,End of 4th quarter,,,,End of 4th quarter
