time,Chicago,pts.away,score,pts.home,Phoenix
3:44.0,,,84-89,,Offensive rebound by P. Tucker
3:41.0,,,84-91,2,P. Tucker makes 2-pt shot at rim
3:27.0,P. Gasol misses 2-pt shot from 18 ft,,84-91,,
3:26.0,,,84-91,,Defensive rebound by M. Morris
3:14.0,,,84-93,2,A. Len makes 2-pt shot from 1 ft (assist by G. Dragic)
2:51.0,D. Rose makes 2-pt shot from 4 ft,2,86-93,,
2:24.0,,,86-95,2,G. Dragic makes 2-pt shot from 1 ft (assist by M. Morris)
2:07.0,J. Butler misses 3-pt shot from 22 ft,,86-95,,
2:06.0,,,86-95,,Defensive rebound by M. Morris
1:46.0,,,86-95,,E. Bledsoe misses 3-pt shot from 26 ft
1:45.0,Defensive rebound by Team,,86-95,,
1:45.0,Official timeout,,86-95,,
1:45.0,J. Noah enters the game for T. Gibson,,86-95,,
1:35.0,J. Butler makes 2-pt shot from 1 ft (assist by J. Noah),2,88-95,,
1:25.0,,,88-95,,E. Bledsoe misses 2-pt shot from 17 ft
1:24.0,Defensive rebound by D. Rose,,88-95,,
1:19.0,A. Brooks makes 3-pt shot from 24 ft (assist by D. Rose),3,91-95,,
1:19.0,,,91-95,,Phoenix full timeout
1:03.0,,,91-95,,M. Morris misses 2-pt shot from 15 ft
1:02.0,Defensive rebound by P. Gasol,,91-95,,
0:52.0,D. Rose misses 2-pt shot from 2 ft,,91-95,,
0:51.0,Offensive rebound by P. Gasol,,91-95,,
0:50.0,P. Gasol misses 2-pt shot from 2 ft,,91-95,,
0:49.0,,,91-95,,Defensive rebound by P. Tucker
0:42.0,,,91-95,,G. Dragic misses 2-pt shot from 2 ft
0:41.0,Defensive rebound by Team,,91-95,,
0:40.0,,,91-95,,Personal foul by A. Len (drawn by J. Noah)
0:32.0,A. Brooks makes 2-pt shot from 1 ft (assist by P. Gasol),2,93-95,,
0:11.0,,,93-97,2,E. Bledsoe makes 2-pt shot from 5 ft
0:10.0,Chicago full timeout,,93-97,,
0:05.0,J. Butler misses 2-pt shot from 2 ft,,93-97,,
0:04.0,,,93-97,,Defensive rebound by M. Morris
0:04.0,Personal take foul by P. Gasol (drawn by M. Morris),,93-97,,
0:03.0,Personal take foul by D. Rose (drawn by E. Bledsoe),,93-97,,
0:03.0,,,93-98,1,E. Bledsoe makes free throw 1 of 2
0:03.0,,,93-99,1,E. Bledsoe makes free throw 2 of 2
0:00.0,D. Rose misses 3-pt shot from 56 ft,,93-99,,
0:00.0,Offensive rebound by Team,,93-99,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
