time,Miami,pts.away,score,pts.home,LA Lakers
2:21.0,L. Deng misses 3-pt shot from 22 ft,,72-68,,
2:20.0,,,72-68,,Defensive rebound by E. Davis
2:09.0,,,72-68,,K. Bryant misses 3-pt shot from 24 ft
2:08.0,,,72-68,,Offensive rebound by Team
2:05.0,,,72-70,2,W. Johnson makes 2-pt shot at rim (assist by K. Bryant)
1:44.0,C. Bosh makes 2-pt shot from 15 ft (assist by M. Chalmers),2,74-70,,
1:29.0,,,74-70,,K. Bryant misses 2-pt shot from 2 ft
1:29.0,,,74-70,,Offensive rebound by E. Davis
1:29.0,,,74-72,2,E. Davis makes 2-pt shot from 1 ft
1:14.0,M. Chalmers makes 2-pt shot at rim,2,76-72,,
0:59.0,,,76-72,,K. Bryant misses 2-pt shot from 14 ft
0:58.0,,,76-72,,Offensive rebound by E. Davis
0:53.0,,,76-72,,K. Bryant misses 3-pt shot from 24 ft
0:51.0,Defensive rebound by L. Deng,,76-72,,
0:34.0,M. Chalmers makes 2-pt shot from 1 ft,2,78-72,,
0:34.0,,,78-72,,LA Lakers full timeout
0:31.0,,,78-75,3,K. Bryant makes 3-pt shot from 22 ft (assist by R. Price)
0:09.0,L. Deng misses 2-pt shot from 3 ft (block by W. Johnson),,78-75,,
0:07.0,,,78-75,,Defensive rebound by R. Price
0:02.0,,,78-75,,K. Bryant misses 3-pt shot from 25 ft
0:01.0,Defensive rebound by C. Bosh,,78-75,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
