time,Phoenix,pts.away,score,pts.home,Dallas
1:24.0,,,102-103,,Offensive rebound by T. Chandler
1:19.0,Personal block foul by M. Morris (drawn by D. Nowitzki),,102-103,,
1:13.0,,,102-103,,D. Nowitzki misses 2-pt shot from 13 ft
1:12.0,,,102-103,,Offensive rebound by M. Ellis
0:57.0,,,102-103,,D. Nowitzki misses 3-pt shot from 25 ft
0:56.0,Defensive rebound by Team,,102-103,,
0:56.0,,,102-103,,A. Aminu enters the game for D. Nowitzki
0:39.0,G. Green misses 3-pt shot from 24 ft,,102-103,,
0:38.0,,,102-103,,Defensive rebound by R. Rondo
0:30.0,,,102-103,,Dallas full timeout
0:30.0,,,102-103,,D. Nowitzki enters the game for A. Aminu
0:23.0,,,102-106,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by M. Ellis)
0:23.0,Phoenix full timeout,,102-106,,
0:23.0,,,102-106,,A. Aminu enters the game for D. Nowitzki
0:17.0,B. Wright misses 2-pt shot from 11 ft,,102-106,,
0:16.0,Offensive rebound by P. Tucker,,102-106,,
0:16.0,P. Tucker makes 2-pt shot from 2 ft,2,104-106,,
0:16.0,,,104-106,,Dallas full timeout
0:16.0,,,104-106,,J. Barea enters the game for T. Chandler
0:16.0,,,104-106,,D. Harris enters the game for R. Rondo
0:16.0,,,104-106,,D. Nowitzki enters the game for A. Aminu
0:16.0,Inbound foul by M. Morris,,104-106,,
0:16.0,,,104-106,,T. Chandler enters the game for D. Harris
0:16.0,,,104-106,,R. Rondo enters the game for J. Barea
0:16.0,,,104-106,,D. Nowitzki misses free throw 1 of 2
0:16.0,,,104-106,,Offensive rebound by Team
0:16.0,,,104-107,1,D. Nowitzki makes free throw 2 of 2
0:16.0,Phoenix full timeout,,104-107,,
0:16.0,,,104-107,,A. Aminu enters the game for D. Nowitzki
0:12.0,M. Morris misses 3-pt shot from 24 ft,,104-107,,
0:11.0,Offensive rebound by P. Tucker,,104-107,,
0:08.0,E. Bledsoe misses 3-pt shot from 24 ft,,104-107,,
0:07.0,Offensive rebound by P. Tucker,,104-107,,
0:05.0,Turnover by P. Tucker (step out of bounds),,104-107,,
0:05.0,,,104-107,,D. Harris enters the game for T. Chandler
0:05.0,,,104-107,,D. Nowitzki enters the game for A. Aminu
0:04.0,,,104-107,,Turnover by R. Rondo (bad pass; steal by B. Wright)
0:01.0,M. Morris misses 3-pt shot from 24 ft,,104-107,,
0:00.0,,,104-107,,Defensive rebound by M. Ellis
0:00.0,End of 4th quarter,,,,End of 4th quarter
