time,Toronto,pts.away,score,pts.home,Sacramento
4:02.0,,,109-101,,Offensive rebound by Team
4:02.0,,,109-101,,R. Evans misses free throw 2 of 2
4:00.0,,,109-101,,Offensive rebound by R. Gay
4:00.0,,,109-101,,R. Gay misses 2-pt shot from 3 ft
3:59.0,,,109-101,,Offensive rebound by D. Williams
3:58.0,,,109-101,,D. Williams misses 2-pt shot from 2 ft (block by J. Johnson)
3:57.0,,,109-101,,Offensive rebound by Team
3:51.0,Personal foul by T. Ross (drawn by B. McLemore),,109-101,,
3:51.0,,,109-102,1,B. McLemore makes free throw 1 of 2
3:51.0,,,109-103,1,B. McLemore makes free throw 2 of 2
3:37.0,Turnover by A. Johnson (traveling),,109-103,,
3:23.0,,,109-103,,B. McLemore misses 2-pt shot from 1 ft (block by A. Johnson)
3:20.0,,,109-103,,Offensive rebound by R. Evans
3:16.0,,,109-103,,R. Sessions misses 2-pt shot from 4 ft
3:15.0,Defensive rebound by J. Valanciunas,,109-103,,
2:56.0,K. Lowry makes 2-pt shot from 3 ft,2,111-103,,
2:38.0,,,111-105,2,D. Williams makes 2-pt shot at rim (assist by R. Gay)
2:16.0,K. Lowry misses 2-pt shot from 18 ft,,111-105,,
2:14.0,Offensive rebound by T. Ross,,111-105,,
2:01.0,,,111-105,,Personal foul by D. Williams (drawn by A. Johnson)
2:01.0,,,111-105,,Sacramento full timeout
1:50.0,K. Lowry misses 2-pt shot from 5 ft,,111-105,,
1:49.0,,,111-105,,Defensive rebound by R. Sessions
1:39.0,,,111-107,2,R. Sessions makes 2-pt shot at rim (assist by R. Gay)
1:19.0,K. Lowry misses 2-pt shot from 6 ft,,111-107,,
1:17.0,Offensive rebound by Team,,111-107,,
1:17.0,Toronto full timeout,,111-107,,
0:57.0,K. Lowry makes 2-pt shot from 19 ft,2,113-107,,
0:44.0,,,113-107,,R. Sessions misses 2-pt shot from 9 ft
0:44.0,,,113-107,,Offensive rebound by R. Gay
0:43.0,,,113-107,,R. Gay misses 2-pt shot from 4 ft
0:41.0,Defensive rebound by T. Ross,,113-107,,
0:19.0,K. Lowry misses 2-pt shot from 6 ft,,113-107,,
0:18.0,Offensive rebound by J. Johnson,,113-107,,
0:18.0,J. Johnson makes 2-pt shot from 3 ft,2,115-107,,
0:18.0,,,115-107,,Sacramento full timeout
0:09.0,,,115-107,,D. Williams misses 3-pt shot from 25 ft
0:08.0,,,115-107,,Offensive rebound by R. Sessions
0:04.0,,,115-107,,B. McLemore misses 3-pt shot from 24 ft
0:03.0,,,115-107,,Offensive rebound by R. Gay
0:02.0,,,115-109,2,R. Gay makes 2-pt shot from 2 ft
0:01.0,,,115-109,,Personal foul by R. Gay (drawn by K. Lowry)
0:01.0,K. Lowry makes free throw 1 of 2,1,116-109,,
0:01.0,K. Lowry makes free throw 2 of 2,1,117-109,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
