time,Dallas,pts.away,score,pts.home,Chicago
5:24.0,C. Parsons misses 3-pt shot from 25 ft (block by N. Mirotic),,96-94,,
5:22.0,,,96-94,,Defensive rebound by M. Dunleavy
5:19.0,,,96-96,2,A. Brooks makes 2-pt shot from 2 ft (assist by N. Mirotic)
5:19.0,Dallas full timeout,,96-96,,
5:19.0,,,96-96,,D. Rose enters the game for K. Hinrich
5:19.0,,,96-96,,J. Butler enters the game for A. Brooks
4:59.0,Offensive foul by D. Harris,,96-96,,
4:59.0,Turnover by D. Harris (offensive foul),,96-96,,
4:59.0,D. Nowitzki enters the game for B. Wright,,96-96,,
4:48.0,,,96-96,,J. Butler misses 2-pt shot from 1 ft
4:47.0,,,96-96,,Offensive rebound by J. Butler
4:47.0,,,96-96,,J. Butler misses 2-pt shot from 1 ft
4:46.0,Defensive rebound by M. Ellis,,96-96,,
4:31.0,C. Parsons misses 3-pt shot from 23 ft,,96-96,,
4:30.0,Offensive rebound by D. Nowitzki,,96-96,,
4:27.0,Turnover by D. Nowitzki (traveling),,96-96,,
4:26.0,,,96-96,,J. Noah enters the game for N. Mirotic
4:09.0,,,96-96,,D. Rose misses 2-pt shot from 19 ft
4:08.0,Defensive rebound by C. Parsons,,96-96,,
3:51.0,M. Ellis misses 2-pt shot from 17 ft,,96-96,,
3:50.0,,,96-96,,Defensive rebound by J. Noah
3:39.0,,,96-98,2,P. Gasol makes 2-pt shot from 10 ft (assist by D. Rose)
3:18.0,D. Nowitzki misses 3-pt shot from 24 ft,,96-98,,
3:18.0,,,96-98,,Defensive rebound by Team
3:05.0,,,96-100,2,P. Gasol makes 2-pt shot from 16 ft (assist by D. Rose)
2:50.0,M. Ellis misses 2-pt shot from 12 ft,,96-100,,
2:49.0,,,96-100,,Defensive rebound by J. Butler
2:42.0,,,96-100,,Shooting foul by D. Harris (drawn by J. Butler)
2:42.0,,,96-100,,Chicago full timeout
2:42.0,,,96-101,1,J. Butler makes free throw 1 of 2
2:42.0,,,96-102,1,J. Butler makes free throw 2 of 2
2:28.0,M. Ellis makes 2-pt shot at rim (assist by D. Nowitzki),2,98-102,,
2:07.0,,,98-102,,Turnover by D. Rose (bad pass; steal by D. Harris)
2:07.0,Dallas full timeout,,98-102,,
1:59.0,D. Nowitzki makes 2-pt shot from 16 ft (assist by D. Harris),2,100-102,,
1:41.0,,,100-105,3,D. Rose makes 3-pt shot from 25 ft (assist by M. Dunleavy)
1:27.0,,,100-105,,Personal block foul by J. Butler (drawn by D. Nowitzki)
1:22.0,Turnover by M. Ellis (traveling),,100-105,,
1:04.0,,,100-105,,P. Gasol misses 3-pt shot from 23 ft
1:03.0,Defensive rebound by T. Chandler,,100-105,,
0:56.0,D. Nowitzki makes 3-pt shot from 26 ft (assist by D. Harris),3,103-105,,
0:37.0,,,103-105,,J. Noah misses 2-pt shot from 1 ft
0:36.0,Defensive rebound by D. Nowitzki,,103-105,,
0:23.0,M. Ellis misses 2-pt shot from 5 ft,,103-105,,
0:23.0,,,103-105,,Defensive rebound by J. Noah
0:22.0,Personal take foul by T. Chandler (drawn by J. Noah),,103-105,,
0:16.0,,,103-105,,Chicago full timeout
0:16.0,,,103-105,,K. Hinrich enters the game for P. Gasol
0:15.0,Personal take foul by D. Harris (drawn by J. Butler),,103-105,,
0:15.0,,,103-106,1,J. Butler makes free throw 1 of 2
0:15.0,,,103-106,,P. Gasol enters the game for K. Hinrich
0:15.0,,,103-106,,J. Butler misses free throw 2 of 2
0:13.0,Defensive rebound by D. Nowitzki,,103-106,,
0:05.0,M. Ellis makes 2-pt shot from 1 ft,2,105-106,,
0:05.0,,,105-106,,Chicago full timeout
0:05.0,,,105-106,,K. Hinrich enters the game for J. Noah
0:05.0,R. Jefferson enters the game for T. Chandler,,105-106,,
0:04.0,Personal take foul by C. Parsons (drawn by P. Gasol),,105-106,,
0:04.0,,,105-107,1,P. Gasol makes free throw 1 of 2
0:04.0,,,105-108,1,P. Gasol makes free throw 2 of 2
0:01.0,Shooting foul by K. Hinrich (drawn by M. Ellis),,105-108,,
0:01.0,M. Ellis makes free throw 1 of 3,1,106-108,,
0:01.0,M. Ellis makes free throw 2 of 3,1,107-108,,
0:01.0,,,107-108,,J. Noah enters the game for M. Dunleavy
0:01.0,M. Ellis makes free throw 3 of 3,1,108-108,,
0:01.0,,,108-108,,Chicago full timeout
0:01.0,,,108-108,,M. Dunleavy enters the game for K. Hinrich
0:01.0,B. Wright enters the game for C. Parsons,,108-108,,
0:01.0,A. Aminu enters the game for D. Nowitzki,,108-108,,
0:00.0,,,108-108,,D. Rose misses 3-pt shot from 28 ft
0:00.0,,,108-108,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: T. Chandler vs. P. Gasol (D. Rose gains possession),,,,Jump ball: T. Chandler vs. P. Gasol (D. Rose gains possession)
4:40.0,,,108-110,2,J. Butler makes 2-pt shot from 21 ft (assist by D. Rose)
4:18.0,Shooting foul by D. Rose (drawn by D. Nowitzki),,108-110,,
4:18.0,D. Nowitzki makes free throw 1 of 2,1,109-110,,
4:18.0,D. Nowitzki makes free throw 2 of 2,1,110-110,,
4:06.0,,,110-110,,Offensive foul by P. Gasol
4:06.0,,,110-110,,Turnover by P. Gasol (offensive foul)
3:55.0,D. Nowitzki misses 2-pt shot from 18 ft,,110-110,,
3:55.0,,,110-110,,Defensive rebound by Team
3:55.0,Loose ball foul by C. Parsons (drawn by M. Dunleavy),,110-110,,
3:46.0,,,110-110,,D. Rose misses 2-pt shot from 4 ft
3:45.0,,,110-110,,Offensive rebound by J. Butler
3:45.0,,,110-112,2,J. Butler makes 2-pt shot from 3 ft
3:32.0,M. Ellis misses 2-pt shot from 2 ft,,110-112,,
3:31.0,,,110-112,,Defensive rebound by J. Noah
3:20.0,,,110-112,,P. Gasol misses 2-pt shot from 2 ft
3:19.0,,,110-112,,Offensive rebound by J. Butler
3:10.0,,,110-112,,P. Gasol misses 2-pt shot from 16 ft
3:09.0,Defensive rebound by C. Parsons,,110-112,,
2:54.0,D. Nowitzki makes 2-pt shot from 3 ft,2,112-112,,
2:39.0,,,112-112,,D. Rose misses 3-pt shot from 25 ft
2:38.0,Defensive rebound by D. Harris,,112-112,,
2:28.0,D. Nowitzki misses 2-pt shot from 13 ft,,112-112,,
2:27.0,,,112-112,,Defensive rebound by J. Noah
2:20.0,,,112-112,,J. Noah misses 2-pt shot from 3 ft
2:19.0,Defensive rebound by T. Chandler,,112-112,,
2:12.0,D. Harris makes 2-pt shot from 2 ft (assist by D. Nowitzki),2,114-112,,
2:11.0,,,114-112,,Chicago full timeout
1:56.0,,,114-112,,Shooting foul by D. Nowitzki (drawn by J. Butler)
1:56.0,,,114-113,1,J. Butler makes free throw 1 of 2
1:56.0,,,114-114,1,J. Butler makes free throw 2 of 2
1:45.0,D. Nowitzki makes 2-pt shot from 16 ft (assist by D. Harris),2,116-114,,
1:35.0,,,116-116,2,P. Gasol makes 2-pt shot from 13 ft (assist by D. Rose)
1:20.0,C. Parsons makes 3-pt shot from 25 ft (assist by D. Nowitzki),3,119-116,,
1:05.0,,,119-118,2,J. Noah makes 2-pt shot at rim (assist by P. Gasol)
0:42.0,M. Ellis misses 2-pt shot from 2 ft (block by P. Gasol),,119-118,,
0:41.0,Offensive rebound by M. Ellis,,119-118,,
0:41.0,M. Ellis makes 2-pt shot from 1 ft,2,121-118,,
0:31.0,,,121-118,,P. Gasol misses 2-pt shot from 3 ft (block by T. Chandler)
0:29.0,Defensive rebound by D. Nowitzki,,121-118,,
0:08.0,M. Ellis misses 2-pt shot from 13 ft,,121-118,,
0:07.0,,,121-118,,Defensive rebound by J. Noah
0:07.0,,,121-118,,Chicago full timeout
0:07.0,R. Jefferson enters the game for D. Nowitzki,,121-118,,
0:07.0,B. Wright enters the game for T. Chandler,,121-118,,
0:00.0,,,121-121,3,D. Rose makes 3-pt shot from 25 ft (assist by J. Butler)
0:00.0,End of 1st overtime,,,,End of 1st overtime
5:00.0,Start of 2nd overtime,,,,Start of 2nd overtime
5:00.0,Jump ball: T. Chandler vs. P. Gasol (D. Nowitzki gains possession),,,,Jump ball: T. Chandler vs. P. Gasol (D. Nowitzki gains possession)
4:44.0,M. Ellis makes 2-pt shot from 20 ft (assist by D. Harris),2,123-121,,
4:24.0,Personal foul by D. Nowitzki (drawn by P. Gasol),,123-121,,
4:17.0,,,123-121,,Turnover by D. Rose (bad pass)
4:05.0,D. Harris misses 2-pt shot from 20 ft,,123-121,,
4:04.0,,,123-121,,Defensive rebound by J. Noah
3:47.0,,,123-121,,Turnover by D. Rose (bad pass; steal by C. Parsons)
3:39.0,D. Nowitzki misses 3-pt shot from 23 ft,,123-121,,
3:38.0,,,123-121,,Defensive rebound by P. Gasol
3:18.0,,,123-121,,P. Gasol misses 2-pt shot from 14 ft
3:18.0,,,123-121,,Offensive rebound by Team
3:18.0,Loose ball foul by M. Ellis (drawn by J. Butler),,123-121,,
3:11.0,,,123-121,,Turnover by J. Noah (bad pass; steal by C. Parsons)
3:05.0,M. Ellis makes 2-pt shot from 21 ft,2,125-121,,
2:44.0,,,125-123,2,P. Gasol makes 2-pt shot from 15 ft (assist by J. Noah)
2:23.0,D. Nowitzki makes 2-pt shot from 19 ft,2,127-123,,
1:58.0,,,127-125,2,P. Gasol makes 2-pt shot from 8 ft
1:41.0,C. Parsons misses 3-pt shot from 23 ft,,127-125,,
1:40.0,,,127-125,,Defensive rebound by D. Rose
1:31.0,,,127-127,2,P. Gasol makes 2-pt shot from 16 ft (assist by D. Rose)
1:31.0,Dallas full timeout,,127-127,,
1:16.0,Turnover by C. Parsons (bad pass),,127-127,,
1:00.0,,,127-129,2,J. Noah makes 2-pt shot at rim (assist by D. Rose)
0:40.0,M. Ellis makes 3-pt shot from 27 ft (assist by D. Harris),3,130-129,,
0:25.0,,,130-129,,D. Rose misses 2-pt shot from 7 ft
0:24.0,Defensive rebound by D. Nowitzki,,130-129,,
0:13.0,,,130-129,,Personal take foul by J. Noah (drawn by M. Ellis)
0:13.0,,,130-129,,Chicago full timeout
0:13.0,J. Barea enters the game for T. Chandler,,130-129,,
0:09.0,,,130-129,,Personal take foul by P. Gasol (drawn by C. Parsons)
0:09.0,C. Parsons makes free throw 1 of 2,1,131-129,,
0:09.0,C. Parsons makes free throw 2 of 2,1,132-129,,
0:09.0,,,132-129,,Chicago full timeout
0:09.0,R. Jefferson enters the game for D. Nowitzki,,132-129,,
0:09.0,J. Crowder enters the game for J. Barea,,132-129,,
0:00.0,,,132-129,,D. Rose misses 3-pt shot from 26 ft
0:00.0,Defensive rebound by Team,,132-129,,
0:00.0,End of 2nd overtime,,,,End of 2nd overtime
