time,New York,pts.away,score,pts.home,Atlanta
4:20.0,Personal foul by C. Anthony (drawn by J. Teague),,88-92,,
4:17.0,Personal foul by I. Shumpert (drawn by J. Teague),,88-92,,
4:08.0,,,88-94,2,J. Teague makes 2-pt shot from 1 ft
3:56.0,J. Smith misses 3-pt shot from 25 ft,,88-94,,
3:55.0,,,88-94,,Defensive rebound by P. Millsap
3:40.0,,,88-94,,P. Millsap misses 2-pt shot from 18 ft
3:38.0,Defensive rebound by I. Shumpert,,88-94,,
3:15.0,T. Hardaway misses 3-pt shot from 25 ft (block by K. Korver),,88-94,,
3:13.0,,,88-94,,Defensive rebound by P. Millsap
2:56.0,,,88-94,,P. Antic misses 3-pt shot from 25 ft
2:54.0,Defensive rebound by I. Shumpert,,88-94,,
2:49.0,Turnover by I. Shumpert (bad pass; steal by D. Carroll),,88-94,,
2:27.0,,,88-94,,Turnover by P. Antic (3 sec)
2:27.0,New York full timeout,,88-94,,
2:27.0,,,88-94,,A. Horford enters the game for P. Antic
2:27.0,A. Stoudemire enters the game for S. Dalembert,,88-94,,
2:17.0,I. Shumpert makes 2-pt shot from 1 ft,2,90-94,,
1:54.0,,,90-94,,Turnover by P. Millsap (bad pass)
1:45.0,I. Shumpert misses 2-pt shot from 19 ft,,90-94,,
1:44.0,,,90-94,,Defensive rebound by D. Carroll
1:25.0,,,90-97,3,D. Carroll makes 3-pt shot from 23 ft (assist by A. Horford)
1:25.0,New York full timeout,,90-97,,
1:24.0,,,90-97,,Personal foul by J. Teague (drawn by I. Shumpert)
1:15.0,C. Anthony misses 3-pt shot from 26 ft,,90-97,,
1:15.0,Offensive rebound by I. Shumpert,,90-97,,
1:15.0,Shooting foul by D. Carroll (drawn by I. Shumpert),,90-97,,
1:15.0,I. Shumpert makes free throw 1 of 2,1,91-97,,
1:15.0,I. Shumpert misses free throw 2 of 2,,91-97,,
1:12.0,,,91-97,,Defensive rebound by P. Millsap
0:55.0,,,91-97,,A. Horford misses 2-pt shot from 18 ft
0:52.0,,,91-97,,Offensive rebound by Team
0:43.0,Personal foul by I. Shumpert (drawn by J. Teague),,91-97,,
0:43.0,S. Larkin enters the game for I. Shumpert,,91-97,,
0:37.0,,,91-97,,Atlanta full timeout
0:37.0,,,91-97,,P. Antic enters the game for A. Horford
0:31.0,,,91-99,2,J. Teague makes 2-pt shot from 1 ft
0:23.0,C. Anthony makes 3-pt shot from 26 ft (assist by S. Larkin),3,94-99,,
0:21.0,Personal take foul by J. Smith (drawn by K. Korver),,94-99,,
0:21.0,,,94-100,1,K. Korver makes free throw 1 of 2
0:21.0,,,94-100,,A. Horford enters the game for P. Antic
0:21.0,Q. Acy enters the game for T. Hardaway,,94-100,,
0:21.0,,,94-101,1,K. Korver makes free throw 2 of 2
0:21.0,New York full timeout,,94-101,,
0:21.0,T. Hardaway enters the game for Q. Acy,,94-101,,
0:17.0,C. Anthony misses 3-pt shot from 25 ft,,94-101,,
0:16.0,,,94-101,,Defensive rebound by A. Horford
0:14.0,Personal take foul by T. Hardaway (drawn by K. Korver),,94-101,,
0:14.0,,,94-102,1,K. Korver makes free throw 1 of 2
0:14.0,,,94-103,1,K. Korver makes free throw 2 of 2
0:08.0,T. Hardaway misses 3-pt shot from 25 ft,,94-103,,
0:06.0,Offensive rebound by A. Stoudemire,,94-103,,
0:06.0,A. Stoudemire makes 2-pt shot at rim,2,96-103,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
