time,Sacramento,pts.away,score,pts.home,Washington
1:32.0,,,95-109,,Personal foul by D. Blair (drawn by R. McCallum)
1:32.0,R. McCallum makes free throw 1 of 2,1,96-109,,
1:32.0,R. McCallum makes free throw 2 of 2,1,97-109,,
1:10.0,,,97-111,2,J. Wall makes 2-pt shot from 21 ft
1:00.0,J. Thompson misses 2-pt shot from 2 ft,,97-111,,
0:59.0,,,97-111,,Defensive rebound by D. Blair
0:56.0,Violation by J. Thompson (kicked ball),,97-111,,
0:56.0,,,97-111,,R. Sessions enters the game for J. Wall
0:33.0,,,97-113,2,M. Gortat makes 2-pt shot from 9 ft (assist by R. Sessions)
0:22.0,J. Thompson misses 2-pt shot from 21 ft,,97-113,,
0:21.0,,,97-113,,Defensive rebound by B. Beal
0:00.0,End of 4th quarter,,,,End of 4th quarter
