time,Detroit,pts.away,score,pts.home,San Antonio
6:59.0,,,91-92,,Defensive rebound by T. Splitter
6:40.0,Personal foul by J. Meeks (drawn by M. Ginobili),,91-92,,
6:26.0,,,91-92,,B. Diaw misses 2-pt shot from 5 ft
6:25.0,Defensive rebound by A. Drummond,,91-92,,
6:16.0,Turnover by D. Augustin (lost ball; steal by D. Green),,91-92,,
6:00.0,,,91-92,,Shooting foul by A. Tolliver (drawn by T. Splitter)
6:00.0,,,91-93,1,T. Splitter makes free throw 1 of 2
6:00.0,,,91-93,,P. Mills enters the game for D. Green
6:00.0,,,91-94,1,T. Splitter makes free throw 2 of 2
5:45.0,D. Augustin makes 2-pt shot from 3 ft,2,93-94,,
5:45.0,,,93-94,,San Antonio full timeout
5:45.0,K. Caldwell-Pope enters the game for C. Butler,,93-94,,
5:31.0,,,93-94,,P. Mills misses 3-pt shot from 25 ft
5:30.0,Defensive rebound by J. Meeks,,93-94,,
5:19.0,A. Drummond makes 2-pt shot at rim (assist by D. Augustin),2,95-94,,
5:08.0,Personal foul by J. Meeks (drawn by M. Ginobili),,95-94,,
5:07.0,Personal foul by K. Caldwell-Pope (drawn by M. Ginobili),,95-94,,
5:01.0,,,95-97,3,P. Mills makes 3-pt shot from 25 ft (assist by M. Ginobili)
4:39.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,95-97,,
4:38.0,,,95-97,,Defensive rebound by C. Joseph
4:30.0,,,95-97,,Turnover by P. Mills (traveling)
4:17.0,D. Augustin misses 2-pt shot from 2 ft,,95-97,,
4:15.0,Offensive rebound by A. Drummond,,95-97,,
4:15.0,A. Drummond makes 2-pt shot at rim,2,97-97,,
4:02.0,,,97-100,3,M. Ginobili makes 3-pt shot from 25 ft (assist by C. Joseph)
3:45.0,D. Augustin misses 2-pt shot from 6 ft,,97-100,,
3:44.0,Offensive rebound by Team,,97-100,,
3:44.0,,,97-100,,Loose ball foul by P. Mills (drawn by A. Drummond)
3:33.0,D. Augustin makes 2-pt shot from 5 ft,2,99-100,,
3:25.0,,,99-100,,Turnover by M. Ginobili (bad pass; steal by A. Drummond)
3:24.0,,,99-100,,Personal foul by M. Ginobili (drawn by A. Drummond)
3:24.0,A. Drummond misses free throw 1 of 2,,99-100,,
3:24.0,Offensive rebound by Team,,99-100,,
3:24.0,,,99-100,,D. Green enters the game for P. Mills
3:24.0,A. Drummond misses free throw 2 of 2,,99-100,,
3:22.0,,,99-100,,Defensive rebound by C. Joseph
3:14.0,Personal foul by J. Meeks (drawn by T. Splitter),,99-100,,
3:14.0,,,99-100,,T. Splitter misses free throw 1 of 2
3:14.0,,,99-100,,Offensive rebound by Team
3:14.0,B. Jennings enters the game for D. Augustin,,99-100,,
3:14.0,,,99-100,,T. Splitter misses free throw 2 of 2
3:13.0,Defensive rebound by J. Meeks,,99-100,,
2:50.0,A. Tolliver misses 3-pt shot from 22 ft,,99-100,,
2:48.0,,,99-100,,Defensive rebound by B. Diaw
2:29.0,,,99-100,,D. Green misses 2-pt shot from 11 ft
2:28.0,Defensive rebound by A. Drummond,,99-100,,
2:20.0,Official timeout,,99-100,,
2:12.0,K. Caldwell-Pope makes 2-pt shot from 3 ft (assist by B. Jennings),2,101-100,,
1:52.0,Personal foul by A. Tolliver (drawn by B. Diaw),,101-100,,
1:52.0,,,101-100,,B. Diaw misses free throw 1 of 2
1:52.0,,,101-100,,Offensive rebound by Team
1:52.0,,,101-100,,B. Diaw misses free throw 2 of 2
1:51.0,Defensive rebound by A. Drummond,,101-100,,
1:38.0,B. Jennings misses 2-pt shot from 1 ft,,101-100,,
1:37.0,,,101-100,,Defensive rebound by C. Joseph
1:30.0,Personal block foul by K. Caldwell-Pope (drawn by M. Ginobili),,101-100,,
1:30.0,,,101-101,1,M. Ginobili makes free throw 1 of 2
1:30.0,,,101-102,1,M. Ginobili makes free throw 2 of 2
1:12.0,A. Tolliver misses 3-pt shot from 25 ft,,101-102,,
1:11.0,Offensive rebound by Team,,101-102,,
1:04.0,Offensive foul by A. Drummond,,101-102,,
1:04.0,Turnover by A. Drummond (offensive foul),,101-102,,
0:49.0,,,101-102,,Shooting foul by A. Drummond (drawn by C. Joseph)
0:49.0,,,101-102,,C. Joseph misses free throw 1 of 2
0:49.0,,,101-102,,Offensive rebound by Team
0:49.0,,,101-103,1,C. Joseph makes free throw 2 of 2
0:36.0,B. Jennings misses 2-pt shot at rim,,101-103,,
0:35.0,,,101-103,,Defensive rebound by D. Green
0:28.0,,,101-103,,San Antonio full timeout
0:28.0,,,101-103,,P. Mills enters the game for C. Joseph
0:15.0,,,101-103,,P. Mills misses 2-pt shot from 7 ft
0:13.0,,,101-103,,Offensive rebound by T. Splitter
0:11.0,Personal foul by K. Caldwell-Pope (drawn by P. Mills),,101-103,,
0:11.0,,,101-103,,P. Mills misses free throw 1 of 2
0:11.0,,,101-103,,Offensive rebound by Team
0:11.0,G. Monroe enters the game for A. Tolliver,,101-103,,
0:11.0,C. Butler enters the game for J. Meeks,,101-103,,
0:11.0,,,101-104,1,P. Mills makes free throw 2 of 2
0:11.0,Detroit full timeout,,101-104,,
0:11.0,,,101-104,,C. Joseph enters the game for P. Mills
0:11.0,A. Tolliver enters the game for G. Monroe,,101-104,,
0:11.0,J. Meeks enters the game for C. Butler,,101-104,,
0:08.0,,,101-104,,Personal foul by D. Green (drawn by J. Meeks)
0:08.0,J. Meeks makes free throw 1 of 2,1,102-104,,
0:08.0,G. Monroe enters the game for A. Tolliver,,102-104,,
0:08.0,,,102-104,,T. Duncan enters the game for B. Diaw
0:08.0,,,102-104,,J. Ayres enters the game for D. Green
0:08.0,J. Meeks makes free throw 2 of 2,1,103-104,,
0:08.0,,,103-104,,San Antonio full timeout
0:08.0,A. Tolliver enters the game for G. Monroe,,103-104,,
0:08.0,,,103-104,,B. Diaw enters the game for T. Splitter
0:08.0,,,103-104,,P. Mills enters the game for C. Joseph
0:08.0,,,103-104,,D. Green enters the game for J. Ayres
0:08.0,,,103-104,,Turnover by T. Duncan (bad pass; steal by A. Drummond)
0:00.0,B. Jennings makes 2-pt shot from 11 ft,2,105-104,,
0:00.0,,,105-104,,San Antonio full timeout
0:00.0,,,105-104,,J. Ayres enters the game for B. Diaw
0:00.0,B. Jennings enters the game for,,105-104,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
