time,Orlando,pts.away,score,pts.home,Charlotte
0:59.0,Offensive rebound by Team,,97-97,,
0:59.0,E. Payton misses free throw 2 of 2,,97-97,,
0:57.0,Offensive rebound by W. Green,,97-97,,
0:57.0,W. Green makes 2-pt shot at rim,2,99-97,,
0:38.0,,,99-97,,L. Stephenson misses 3-pt shot from 23 ft
0:36.0,Defensive rebound by Team,,99-97,,
0:36.0,Orlando full timeout,,99-97,,
0:36.0,,,99-97,,C. Zeller enters the game for M. Williams
0:36.0,,,99-97,,G. Henderson enters the game for G. Neal
0:35.0,,,99-97,,Personal foul by C. Zeller (drawn by N. Vucevic)
0:35.0,N. Vucevic makes free throw 1 of 2,1,100-97,,
0:35.0,,,100-97,,G. Neal enters the game for G. Henderson
0:35.0,,,100-97,,M. Williams enters the game for C. Zeller
0:35.0,N. Vucevic makes free throw 2 of 2,1,101-97,,
0:18.0,,,101-97,,A. Jefferson misses 2-pt shot from 3 ft (block by T. Harris)
0:17.0,Defensive rebound by T. Harris,,101-97,,
0:17.0,,,101-97,,Personal take foul by M. Williams (drawn by T. Harris)
0:17.0,T. Harris makes free throw 1 of 2,1,102-97,,
0:17.0,T. Harris makes free throw 2 of 2,1,103-97,,
0:17.0,,,103-97,,Charlotte full timeout
0:14.0,,,103-97,,K. Walker misses 3-pt shot from 23 ft
0:13.0,Defensive rebound by Team,,103-97,,
0:13.0,,,103-97,,Loose ball foul by K. Walker (drawn by T. Harris)
0:13.0,T. Harris makes free throw 1 of 2,1,104-97,,
0:13.0,T. Harris misses free throw 2 of 2,,104-97,,
0:12.0,,,104-97,,Defensive rebound by A. Jefferson
0:06.0,,,104-100,3,G. Neal makes 3-pt shot from 26 ft (assist by K. Walker)
0:06.0,Orlando full timeout,,104-100,,
0:06.0,,,104-100,,C. Zeller enters the game for A. Jefferson
0:06.0,,,104-100,,G. Henderson enters the game for G. Neal
0:05.0,,,104-100,,Personal take foul by K. Walker (drawn by B. Gordon)
0:05.0,B. Gordon misses free throw 1 of 2,,104-100,,
0:05.0,Offensive rebound by Team,,104-100,,
0:05.0,B. Gordon makes free throw 2 of 2,1,105-100,,
0:00.0,,,105-100,,K. Walker misses 3-pt shot from 26 ft
0:00.0,,,105-100,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
