time,LA Lakers,pts.away,score,pts.home,Detroit
3:33.0,Defensive rebound by C. Boozer,,96-88,,
3:20.0,Turnover by K. Bryant (lost ball),,96-88,,
3:07.0,,,96-88,,G. Monroe misses 2-pt shot from 5 ft
3:06.0,Defensive rebound by J. Hill,,96-88,,
2:53.0,C. Boozer makes 2-pt shot at rim (assist by J. Lin),2,98-88,,
2:36.0,,,98-88,,L. Datome misses 2-pt shot at rim
2:35.0,,,98-88,,Offensive rebound by J. Jerebko
2:27.0,Personal foul by W. Johnson (drawn by D. Augustin),,98-88,,
2:27.0,LA Lakers full timeout,,98-88,,
2:27.0,,,98-88,,D. Augustin misses free throw 1 of 2
2:27.0,,,98-88,,Offensive rebound by Team
2:27.0,,,98-89,1,D. Augustin makes free throw 2 of 2
2:04.0,J. Hill misses 2-pt shot from 21 ft,,98-89,,
2:03.0,,,98-89,,Defensive rebound by G. Monroe
1:54.0,,,98-89,,J. Jerebko misses 3-pt shot from 26 ft
1:53.0,Defensive rebound by K. Bryant,,98-89,,
1:35.0,W. Johnson makes 3-pt shot from 25 ft (assist by K. Bryant),3,101-89,,
1:18.0,,,101-92,3,L. Datome makes 3-pt shot from 26 ft (assist by G. Monroe)
1:07.0,Turnover by K. Bryant (bad pass; steal by J. Jerebko),,101-92,,
1:05.0,,,101-94,2,J. Jerebko makes 2-pt shot at rim (assist by L. Datome)
1:00.0,,,101-94,,Personal foul by J. Jerebko (drawn by K. Bryant)
0:46.0,Shooting foul by G. Monroe (drawn by J. Hill),,101-94,,
0:46.0,J. Hill makes free throw 1 of 2,1,102-94,,
0:46.0,J. Hill makes free throw 2 of 2,1,103-94,,
0:35.0,,,103-94,,L. Datome misses 3-pt shot from 23 ft
0:32.0,,,103-94,,Offensive rebound by G. Monroe
0:28.0,,,103-94,,C. Butler misses 3-pt shot from 25 ft
0:27.0,Defensive rebound by J. Hill,,103-94,,
0:25.0,Turnover by J. Hill (bad pass; steal by L. Datome),,103-94,,
0:24.0,,,103-96,2,L. Datome makes 2-pt shot at rim
0:20.0,,,103-96,,Personal foul by D. Augustin (drawn by J. Lin)
0:20.0,J. Lin makes free throw 1 of 2,1,104-96,,
0:20.0,J. Lin misses free throw 2 of 2,,104-96,,
0:19.0,,,104-96,,Defensive rebound by J. Jerebko
0:11.0,,,104-96,,J. Jerebko misses 3-pt shot from 26 ft
0:10.0,Defensive rebound by J. Lin,,104-96,,
0:10.0,,,104-96,,Personal foul by G. Monroe (drawn by J. Lin)
0:10.0,J. Lin makes free throw 1 of 2,1,105-96,,
0:10.0,J. Lin makes free throw 2 of 2,1,106-96,,
0:02.0,,,106-96,,D. Augustin misses 3-pt shot from 26 ft
0:01.0,Defensive rebound by J. Hill,,106-96,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
