time,Charlotte,pts.away,score,pts.home,Chicago
2:50.0,,,109-110,3,D. Valentine makes 3-pt shot from 26 ft (assist by K. Dunn)
2:41.0,,,109-110,,Personal foul by D. Valentine (drawn by D. Howard)
2:41.0,D. Howard makes free throw 1 of 2,1,110-110,,
2:41.0,D. Howard misses free throw 2 of 2,,110-110,,
2:35.0,Offensive rebound by D. Howard,,110-110,,
2:33.0,M. Williams misses 3-pt shot from 24 ft,,110-110,,
2:30.0,,,110-110,,Defensive rebound by K. Dunn
2:24.0,,,110-112,2,K. Dunn makes 2-pt shot at rim
2:17.0,,,110-112,,Personal foul by J. Holiday (drawn by D. Howard)
2:17.0,D. Howard misses free throw 1 of 2,,110-112,,
2:17.0,Offensive rebound by Team,,110-112,,
2:17.0,D. Howard makes free throw 2 of 2,1,111-112,,
2:03.0,,,111-115,3,J. Holiday makes 3-pt shot from 25 ft (assist by K. Dunn)
2:02.0,Charlotte full timeout,,111-115,,
1:51.0,Turnover by M. Williams (lost ball; steal by L. Markkanen),,111-115,,
1:51.0,,,111-117,2,J. Holiday makes 2-pt shot from 1 ft (assist by L. Markkanen)
1:38.0,M. Kidd-Gilchrist makes 2-pt shot from 14 ft (assist by K. Walker),2,113-117,,
1:29.0,,,113-117,,L. Markkanen misses 3-pt shot from 25 ft
1:23.0,Defensive rebound by D. Howard,,113-117,,
1:19.0,N. Batum makes 2-pt shot at rim,2,115-117,,
1:03.0,,,115-119,2,D. Valentine makes 2-pt shot from 6 ft
0:57.0,K. Walker makes 3-pt shot from 25 ft,3,118-119,,
0:43.0,,,118-121,2,K. Dunn makes 2-pt shot from 3 ft
0:32.0,K. Walker makes 2-pt shot from 2 ft,2,120-121,,
0:13.0,,,120-121,,R. Lopez misses 2-pt shot from 18 ft
0:10.0,Defensive rebound by M. Kidd-Gilchrist,,120-121,,
0:10.0,Charlotte full timeout,,120-121,,
0:10.0,,,120-121,,C. Felicio enters the game for R. Lopez
0:10.0,,,120-121,,Q. Pondexter enters the game for D. Valentine
0:10.0,J. Lamb enters the game for M. Kidd-Gilchrist,,120-121,,
0:10.0,F. Kaminsky enters the game for M. Williams,,120-121,,
0:03.0,K. Walker misses 2-pt shot from 2 ft,,120-121,,
0:02.0,,,120-121,,Defensive rebound by L. Markkanen
0:02.0,Personal foul by D. Howard (drawn by L. Markkanen),,120-121,,
0:02.0,,,120-122,1,L. Markkanen makes free throw 1 of 2
0:02.0,,,120-122,,B. Portis enters the game for C. Felicio
0:02.0,,,120-123,1,L. Markkanen makes free throw 2 of 2
0:00.0,K. Walker misses 3-pt shot from 42 ft,,120-123,,
0:00.0,Offensive rebound by Team,,120-123,,
