time,Portland,pts.away,score,pts.home,Philadelphia
7:22.0,,,64-77,,Defensive rebound by B. Simmons
7:17.0,,,64-79,2,B. Simmons makes 2-pt shot from 2 ft
7:16.0,Portland full timeout,,64-79,,
7:16.0,J. Nurkic enters the game for E. Davis,,64-79,,
6:59.0,C. McCollum misses 2-pt shot from 7 ft (block by B. Simmons),,64-79,,
6:57.0,,,64-79,,Defensive rebound by J. Redick
6:52.0,,,64-82,3,R. Covington makes 3-pt shot from 27 ft (assist by B. Simmons)
6:34.0,D. Lillard makes 3-pt shot from 25 ft (assist by J. Nurkic),3,67-82,,
6:20.0,,,67-82,,B. Simmons misses 2-pt shot from 9 ft
6:18.0,Defensive rebound by Team,,67-82,,
6:09.0,S. Napier misses 3-pt shot from 25 ft,,67-82,,
6:07.0,,,67-82,,Defensive rebound by A. Johnson
5:59.0,,,67-84,2,T. McConnell makes 2-pt shot from 3 ft
5:43.0,C. McCollum misses 2-pt shot from 4 ft,,67-84,,
5:43.0,Offensive rebound by E. Turner,,67-84,,
5:38.0,Turnover by J. Nurkic (bad pass; steal by T. McConnell),,67-84,,
5:34.0,,,67-84,,B. Simmons misses 2-pt shot from 2 ft
5:33.0,Defensive rebound by J. Nurkic,,67-84,,
5:33.0,,,67-84,,Personal foul by R. Covington (drawn by J. Nurkic)
5:33.0,J. Nurkic misses free throw 1 of 2,,67-84,,
5:33.0,Offensive rebound by Team,,67-84,,
5:33.0,,,67-84,,J. Embiid enters the game for A. Johnson
5:33.0,J. Nurkic makes free throw 2 of 2,1,68-84,,
5:22.0,,,68-84,,R. Covington misses 2-pt shot from 3 ft
5:18.0,,,68-84,,Offensive rebound by J. Embiid
5:18.0,,,68-86,2,J. Embiid makes 2-pt shot at rim
5:11.0,,,68-86,,Personal foul by T. McConnell (drawn by D. Lillard)
5:11.0,D. Lillard makes free throw 1 of 2,1,69-86,,
5:11.0,P. Connaughton enters the game for S. Napier,,69-86,,
5:11.0,D. Lillard misses free throw 2 of 2,,69-86,,
5:09.0,,,69-86,,Defensive rebound by J. Embiid
4:52.0,,,69-88,2,J. Embiid makes 2-pt shot from 10 ft
4:40.0,Shooting foul by B. Simmons (drawn by J. Nurkic),,69-88,,
4:40.0,J. Nurkic misses free throw 1 of 2,,69-88,,
4:40.0,Offensive rebound by Team,,69-88,,
4:40.0,J. Nurkic misses free throw 2 of 2,,69-88,,
4:38.0,,,69-88,,Defensive rebound by J. Embiid
4:23.0,,,69-88,,Turnover by B. Simmons (traveling)
4:17.0,D. Lillard misses 2-pt shot from 1 ft (block by B. Simmons),,69-88,,
4:13.0,Offensive rebound by J. Nurkic,,69-88,,
4:11.0,J. Nurkic makes 2-pt shot from 1 ft,2,71-88,,
3:48.0,,,71-88,,J. Embiid misses 2-pt shot from 13 ft
3:46.0,Defensive rebound by E. Turner,,71-88,,
3:37.0,E. Turner makes 2-pt shot from 11 ft (assist by P. Connaughton),2,73-88,,
3:24.0,,,73-90,2,T. McConnell makes 2-pt shot from 2 ft (assist by B. Simmons)
3:12.0,D. Lillard misses 2-pt shot from 1 ft,,73-90,,
3:10.0,Offensive rebound by J. Nurkic,,73-90,,
3:10.0,J. Nurkic misses 2-pt shot at rim,,73-90,,
3:10.0,,,73-90,,Defensive rebound by Team
3:10.0,,,73-90,,A. Johnson enters the game for J. Embiid
2:59.0,,,73-93,3,J. Redick makes 3-pt shot from 23 ft (assist by B. Simmons)
2:57.0,Portland full timeout,,73-93,,
2:57.0,J. Layman enters the game for D. Lillard,,73-93,,
2:57.0,Z. Collins enters the game for E. Turner,,73-93,,
2:57.0,C. Swanigan enters the game for C. McCollum,,73-93,,
2:57.0,S. Napier enters the game for J. Nurkic,,73-93,,
2:48.0,C. Swanigan misses 2-pt shot from 22 ft,,73-93,,
2:44.0,,,73-93,,Defensive rebound by B. Simmons
2:27.0,,,73-93,,B. Simmons misses 2-pt shot from 2 ft
2:23.0,Defensive rebound by Z. Collins,,73-93,,
2:14.0,J. Layman misses 3-pt shot from 22 ft,,73-93,,
2:10.0,,,73-93,,Defensive rebound by T. McConnell
2:09.0,Personal foul by S. Napier (drawn by B. Simmons),,73-93,,
2:09.0,,,73-93,,Philadelphia full timeout
2:09.0,,,73-93,,J. Bayless enters the game for J. Redick
2:09.0,,,73-93,,T. Luwawu-Cabarrot enters the game for B. Simmons
2:09.0,,,73-93,,F. Korkmaz enters the game for R. Covington
2:05.0,,,73-95,2,T. Luwawu-Cabarrot makes 2-pt shot from 3 ft (assist by T. McConnell)
2:05.0,,,73-95,,Shooting foul by C. Swanigan (drawn by T. Luwawu-Cabarrot)
2:05.0,,,73-95,,T. Luwawu-Cabarrot misses free throw 1 of 1
1:58.0,Defensive rebound by Z. Collins,,73-95,,
1:46.0,P. Connaughton makes 2-pt shot from 9 ft (assist by Z. Collins),2,75-95,,
1:35.0,,,75-97,2,T. Luwawu-Cabarrot makes 2-pt shot from 2 ft (assist by T. McConnell)
1:24.0,J. Layman makes 2-pt shot from 17 ft (assist by S. Napier),2,77-97,,
1:13.0,,,77-99,2,A. Johnson makes 2-pt shot from 1 ft (assist by T. McConnell)
0:59.0,Offensive foul by Z. Collins (drawn by T. Luwawu-Cabarrot),,77-99,,
0:59.0,Turnover by Z. Collins (offensive foul),,77-99,,
0:59.0,,,77-99,,D. Saric enters the game for T. Luwawu-Cabarrot
0:52.0,Personal foul by J. Layman (drawn by F. Korkmaz),,77-99,,
0:52.0,,,77-100,1,F. Korkmaz makes free throw 1 of 2
0:52.0,,,77-101,1,F. Korkmaz makes free throw 2 of 2
0:40.0,C. Swanigan makes 2-pt shot from 1 ft (assist by P. Connaughton),2,79-101,,
0:40.0,Shooting foul by A. Johnson (drawn by C. Swanigan),,79-101,,
0:40.0,C. Swanigan misses free throw 1 of 1,,79-101,,
0:38.0,,,79-101,,Defensive rebound by A. Johnson
0:26.0,,,79-101,,D. Saric misses 3-pt shot from 26 ft
0:22.0,Defensive rebound by S. Napier,,79-101,,
0:18.0,J. Layman makes 2-pt shot at rim (assist by S. Napier),2,81-101,,
