time,LA Clippers,pts.away,score,pts.home,Philadelphia
4:16.0,LA Clippers full timeout,,93-102,,
3:56.0,D. Gallinari misses 2-pt shot from 18 ft,,93-102,,
3:54.0,,,93-102,,Defensive rebound by B. Simmons
3:42.0,,,93-102,,J. Redick misses 3-pt shot from 27 ft
3:38.0,Defensive rebound by L. Williams,,93-102,,
3:29.0,L. Williams misses 3-pt shot from 25 ft,,93-102,,
3:24.0,Offensive rebound by D. Jordan,,93-102,,
3:14.0,A. Rivers misses 3-pt shot from 25 ft,,93-102,,
3:11.0,Offensive rebound by D. Jordan,,93-102,,
3:02.0,D. Gallinari misses 2-pt shot from 2 ft (block by D. Saric),,93-102,,
2:59.0,,,93-102,,Defensive rebound by D. Saric
2:40.0,,,93-102,,D. Saric misses 3-pt shot from 25 ft
2:37.0,Defensive rebound by D. Jordan,,93-102,,
2:31.0,L. Williams misses 2-pt shot from 5 ft (block by J. Redick),,93-102,,
2:26.0,Offensive rebound by L. Williams,,93-102,,
2:19.0,L. Williams misses 3-pt shot from 26 ft,,93-102,,
2:15.0,,,93-102,,Defensive rebound by D. Saric
2:03.0,,,93-102,,Shooting foul by D. Jordan (drawn by J. Embiid)
2:03.0,,,93-103,1,J. Embiid makes free throw 1 of 2
2:03.0,A. Bradley enters the game for A. Rivers,,93-103,,
2:03.0,,,93-103,,J. Embiid misses free throw 2 of 2
2:01.0,Defensive rebound by D. Jordan,,93-103,,
1:52.0,D. Gallinari makes 3-pt shot from 26 ft (assist by L. Williams),3,96-103,,
1:35.0,,,96-103,,J. Redick misses 2-pt shot from 4 ft (block by A. Bradley)
1:32.0,Defensive rebound by T. Harris,,96-103,,
1:30.0,Turnover by T. Harris (bad pass; steal by R. Covington),,96-103,,
1:27.0,,,96-103,,R. Covington misses 2-pt shot from 1 ft
1:23.0,Defensive rebound by Team,,96-103,,
1:23.0,L. Williams misses 3-pt shot from 27 ft,,96-103,,
1:18.0,,,96-103,,Defensive rebound by D. Saric
1:00.0,,,96-103,,Shooting foul by D. Jordan (drawn by J. Embiid)
1:00.0,,,96-104,1,J. Embiid makes free throw 1 of 2
1:00.0,,,96-105,1,J. Embiid makes free throw 2 of 2
1:00.0,LA Clippers full timeout,,96-105,,
0:52.0,L. Williams misses 2-pt shot from 20 ft,,96-105,,
0:50.0,,,96-105,,Defensive rebound by J. Embiid
0:31.0,,,96-108,3,J. Redick makes 3-pt shot from 28 ft (assist by J. Embiid)
0:21.0,D. Gallinari makes 2-pt shot from 1 ft (assist by L. Williams),2,98-108,,
0:21.0,,,98-108,,Philadelphia full timeout
0:21.0,,,98-108,,T. McConnell enters the game for J. Embiid
0:19.0,Personal foul by D. Gallinari (drawn by T. McConnell),,98-108,,
0:19.0,,,98-109,1,T. McConnell makes free throw 1 of 2
0:19.0,,,98-110,1,T. McConnell makes free throw 2 of 2
0:10.0,Turnover by L. Williams (bad pass; steal by T. McConnell),,98-110,,
0:06.0,,,98-112,2,B. Simmons makes 2-pt shot from 1 ft (assist by D. Saric)
