time,Denver,pts.away,score,pts.home,Boston
2:46.0,,,105-116,2,K. Irving makes 2-pt shot from 2 ft
2:23.0,G. Harris makes 2-pt shot at rim,2,107-116,,
2:23.0,Shooting foul by J. Brown (drawn by G. Harris),,107-116,,
2:23.0,G. Harris makes free throw 1 of 1,1,108-116,,
2:09.0,,,108-118,2,A. Baynes makes 2-pt shot at rim (assist by K. Irving)
2:09.0,,,108-118,,Shooting foul by M. Plumlee (drawn by A. Baynes)
2:09.0,,,108-118,,A. Baynes misses free throw 1 of 1
2:06.0,Defensive rebound by J. Murray,,108-118,,
1:52.0,G. Harris makes 2-pt shot from 5 ft (assist by T. Lyles),2,110-118,,
1:33.0,,,110-118,,A. Baynes misses 2-pt shot from 5 ft (block by M. Plumlee)
1:29.0,,,110-118,,Offensive rebound by J. Brown
1:28.0,,,110-118,,J. Brown misses 2-pt shot from 20 ft
1:28.0,,,110-118,,Offensive rebound by Team
1:28.0,,,110-118,,Turnover by Team (shot clock)
1:28.0,,,110-118,,M. Smart enters the game for A. Baynes
1:22.0,Offensive charge foul by M. Plumlee (drawn by S. Ojeleye),,110-118,,
1:22.0,Turnover by M. Plumlee (offensive foul),,110-118,,
1:05.0,,,110-118,,K. Irving misses 3-pt shot from 31 ft
1:01.0,Defensive rebound by W. Chandler,,110-118,,
0:56.0,G. Harris makes 2-pt shot from 1 ft,2,112-118,,
0:41.0,,,112-121,3,J. Brown makes 3-pt shot from 22 ft (assist by M. Smart)
0:41.0,Denver full timeout,,112-121,,
0:38.0,G. Harris misses 3-pt shot from 24 ft,,112-121,,
0:35.0,Offensive rebound by J. Murray,,112-121,,
0:33.0,J. Murray makes 3-pt shot from 24 ft,3,115-121,,
0:32.0,Personal take foul by W. Chandler (drawn by K. Irving),,115-121,,
0:27.0,Personal take foul by T. Lyles (drawn by K. Irving),,115-121,,
0:27.0,,,115-122,1,K. Irving makes free throw 1 of 2
0:27.0,,,115-122,,K. Irving misses free throw 2 of 2
0:26.0,Defensive rebound by J. Murray,,115-122,,
0:17.0,J. Murray makes 3-pt shot from 26 ft,3,118-122,,
0:16.0,Personal take foul by J. Murray (drawn by K. Irving),,118-122,,
0:16.0,,,118-123,1,K. Irving makes free throw 1 of 2
0:16.0,,,118-123,,S. Larkin enters the game for J. Brown
0:16.0,,,118-124,1,K. Irving makes free throw 2 of 2
0:12.0,J. Murray misses 3-pt shot from 26 ft,,118-124,,
0:07.0,,,118-124,,Defensive rebound by S. Ojeleye
