time,New Orleans,pts.away,score,pts.home,Phoenix
6:22.0,Defensive rebound by A. Davis,,100-83,,
6:08.0,D. Miller misses 3-pt shot from 23 ft,,100-83,,
6:06.0,,,100-83,,Defensive rebound by M. Chriss
6:03.0,,,100-83,,Turnover by J. Jackson (lost ball; steal by J. Holiday)
5:57.0,E. Moore makes 2-pt shot from 2 ft (assist by J. Holiday),2,102-83,,
5:45.0,,,102-83,,T. Ulis misses 2-pt shot from 16 ft
5:42.0,Defensive rebound by N. Mirotic,,102-83,,
5:35.0,J. Holiday misses 3-pt shot from 25 ft,,102-83,,
5:30.0,,,102-83,,Defensive rebound by A. Len
5:27.0,,,102-83,,M. Chriss misses 2-pt shot from 2 ft (block by J. Holiday)
5:26.0,Defensive rebound by J. Holiday,,102-83,,
5:21.0,Shooting foul by T. Ulis (drawn by N. Mirotic),,102-83,,
5:21.0,N. Mirotic makes free throw 1 of 2,1,103-83,,
5:21.0,J. Crawford enters the game for E. Moore,,103-83,,
5:21.0,N. Mirotic makes free throw 2 of 2,1,104-83,,
5:12.0,Personal foul by J. Crawford (drawn by M. Chriss),,104-83,,
5:12.0,,,104-84,1,M. Chriss makes free throw 1 of 2
5:12.0,,,104-85,1,M. Chriss makes free throw 2 of 2
5:04.0,J. Holiday makes 2-pt shot from 1 ft,2,106-85,,
4:46.0,,,106-85,,D. House misses 3-pt shot from 23 ft
4:41.0,Defensive rebound by D. Miller,,106-85,,
4:35.0,A. Davis makes 2-pt shot at rim (assist by J. Crawford),2,108-85,,
4:35.0,Shooting foul by T. Ulis (drawn by A. Davis),,108-85,,
4:35.0,A. Davis misses free throw 1 of 1,,108-85,,
4:35.0,,,108-85,,Defensive rebound by M. Chriss
4:25.0,,,108-87,2,T. Ulis makes 2-pt shot from 12 ft
4:14.0,J. Crawford makes 3-pt shot from 27 ft,3,111-87,,
4:14.0,,,111-87,,Phoenix full timeout
4:14.0,C. Diallo enters the game for J. Holiday,,111-87,,
4:14.0,D. Liggins enters the game for A. Davis,,111-87,,
4:04.0,,,111-90,3,M. Chriss makes 3-pt shot from 25 ft (assist by T. Ulis)
3:51.0,N. Mirotic misses 3-pt shot from 25 ft,,111-90,,
3:46.0,Offensive rebound by C. Diallo,,111-90,,
3:44.0,J. Crawford makes 3-pt shot from 29 ft (assist by N. Mirotic),3,114-90,,
3:34.0,,,114-90,,Turnover by T. Ulis (lost ball; steal by J. Crawford)
3:30.0,J. Crawford misses 3-pt shot from 24 ft (block by D. House),,114-90,,
3:30.0,Offensive rebound by Team,,114-90,,
3:30.0,,,114-90,,S. Harrison enters the game for T. Ulis
3:30.0,E. Okafor enters the game for N. Mirotic,,114-90,,
3:30.0,C. Cooke enters the game for D. Miller,,114-90,,
3:26.0,J. Crawford makes 3-pt shot from 25 ft (assist by E. Okafor),3,117-90,,
3:06.0,,,117-92,2,J. Jackson makes 2-pt shot from 1 ft
2:54.0,Turnover by C. Diallo (lost ball; steal by J. Jackson),,117-92,,
2:50.0,Personal foul by C. Diallo (drawn by M. Chriss),,117-92,,
2:50.0,,,117-93,1,M. Chriss makes free throw 1 of 2
2:50.0,,,117-93,,A. Peters enters the game for A. Len
2:50.0,,,117-94,1,M. Chriss makes free throw 2 of 2
2:39.0,Offensive charge foul by C. Diallo (drawn by M. Chriss),,117-94,,
2:39.0,Turnover by C. Diallo (offensive foul),,117-94,,
2:28.0,,,117-94,,Shooting foul by E. Okafor (drawn by M. Chriss)
2:28.0,,,117-94,,M. Chriss misses free throw 1 of 2
2:28.0,,,117-94,,Offensive rebound by Team
2:28.0,,,117-95,1,M. Chriss makes free throw 2 of 2
2:17.0,J. Crawford misses 3-pt shot from 25 ft,,117-95,,
2:16.0,,,117-95,,Defensive rebound by J. Jackson
2:10.0,,,117-95,,J. Jackson misses 2-pt shot from 16 ft
2:07.0,Defensive rebound by Team,,117-95,,
1:58.0,Offensive foul by C. Diallo (drawn by J. Jackson),,117-95,,
1:58.0,Turnover by C. Diallo (offensive foul),,117-95,,
1:58.0,,,117-95,,D. Reed enters the game for J. Jackson
1:47.0,,,117-97,2,D. House makes 2-pt shot at rim
1:40.0,C. Cooke misses 2-pt shot from 18 ft,,117-97,,
1:36.0,,,117-97,,Defensive rebound by D. Reed
1:21.0,,,117-97,,Shooting foul by C. Diallo (drawn by M. Chriss)
1:21.0,,,117-98,1,M. Chriss makes free throw 1 of 2
1:21.0,,,117-98,,M. Chriss misses free throw 2 of 2
1:18.0,Defensive rebound by C. Diallo,,117-98,,
1:11.0,D. Liggins misses 2-pt shot at rim,,117-98,,
1:11.0,,,117-98,,Defensive rebound by Team
1:04.0,,,117-98,,A. Peters misses 3-pt shot from 25 ft
1:01.0,Defensive rebound by C. Diallo,,117-98,,
0:52.0,J. Crawford makes 3-pt shot from 27 ft (assist by D. Liggins),3,120-98,,
0:34.0,,,120-101,2,S. Harrison makes 3-pt shot from 25 ft (assist by D. Reed)
0:14.0,C. Diallo makes 2-pt shot at rim (assist by D. Liggins),2,122-101,,
0:11.0,,,122-103,2,S. Harrison makes 2-pt shot from 1 ft
