time,Phoenix,pts.away,score,pts.home,Orlando
6:46.0,,,87-88,,Turnover by D. Augustin (offensive foul)
6:33.0,Turnover by D. Reed (bad pass; steal by A. Gordon),,87-88,,
6:27.0,,,87-88,,Offensive charge foul by A. Gordon (drawn by D. Reed)
6:27.0,,,87-88,,Turnover by A. Gordon (offensive foul)
6:27.0,,,87-88,,S. Mack enters the game for A. Afflalo
6:09.0,J. Jackson misses 2-pt shot from 18 ft,,87-88,,
6:06.0,,,87-88,,Defensive rebound by A. Gordon
5:55.0,,,87-90,2,N. Vucevic makes 2-pt shot at rim (assist by A. Gordon)
5:42.0,E. Payton misses 3-pt shot from 24 ft,,87-90,,
5:38.0,,,87-90,,Defensive rebound by M. Hezonja
5:30.0,,,87-93,3,A. Gordon makes 3-pt shot from 25 ft (assist by S. Mack)
5:14.0,D. Reed makes 3-pt shot from 25 ft (assist by E. Payton),3,90-93,,
4:47.0,,,90-96,3,D. Augustin makes 3-pt shot from 24 ft (assist by A. Gordon)
4:30.0,J. Jackson misses 2-pt shot from 7 ft,,90-96,,
4:28.0,,,90-96,,Defensive rebound by M. Hezonja
4:22.0,,,90-96,,N. Vucevic misses 3-pt shot from 25 ft
4:17.0,Defensive rebound by D. Reed,,90-96,,
4:11.0,D. Bender misses 3-pt shot from 23 ft,,90-96,,
4:07.0,,,90-96,,Defensive rebound by D. Augustin
4:00.0,Personal foul by J. Jackson (drawn by A. Gordon),,90-96,,
4:00.0,T. Daniels enters the game for D. Reed,,90-96,,
3:48.0,,,90-96,,S. Mack misses 2-pt shot from 22 ft
3:44.0,Defensive rebound by T. Daniels,,90-96,,
3:31.0,E. Payton makes 2-pt shot from 1 ft,2,92-96,,
3:24.0,,,92-96,,Orlando full timeout
3:19.0,,,92-96,,N. Vucevic misses 2-pt shot from 8 ft (block by A. Len)
3:15.0,,,92-96,,Offensive rebound by N. Vucevic
3:14.0,,,92-96,,N. Vucevic misses 2-pt shot from 3 ft
3:14.0,,,92-96,,Offensive rebound by N. Vucevic
3:09.0,,,92-96,,N. Vucevic misses 2-pt shot at rim
3:07.0,,,92-96,,Offensive rebound by D. Augustin
3:03.0,,,92-99,3,A. Gordon makes 3-pt shot from 23 ft (assist by D. Augustin)
2:45.0,J. Jackson misses 2-pt shot from 3 ft,,92-99,,
2:43.0,,,92-99,,Defensive rebound by A. Gordon
2:32.0,Personal foul by E. Payton (drawn by N. Vucevic),,92-99,,
2:32.0,M. Chriss enters the game for D. Bender,,92-99,,
2:24.0,,,92-99,,A. Gordon misses 2-pt shot from 12 ft
2:20.0,Defensive rebound by M. Chriss,,92-99,,
2:17.0,Shooting foul by M. Hezonja (drawn by J. Jackson),,92-99,,
2:17.0,J. Jackson makes free throw 1 of 2,1,93-99,,
2:17.0,J. Jackson makes free throw 2 of 2,1,94-99,,
2:01.0,,,94-101,2,A. Gordon makes 2-pt shot at rim (assist by D. Augustin)
1:50.0,Shooting foul by M. Hezonja (drawn by J. Jackson),,94-101,,
1:50.0,J. Jackson misses free throw 1 of 2,,94-101,,
1:50.0,Offensive rebound by Team,,94-101,,
1:50.0,J. Jackson makes free throw 2 of 2,1,95-101,,
1:25.0,,,95-101,,Turnover by D. Augustin (bad pass; steal by M. Chriss)
1:16.0,J. Jackson makes 2-pt shot from 2 ft (assist by M. Chriss),2,97-101,,
1:00.0,,,97-103,2,M. Hezonja makes 2-pt shot from 2 ft (assist by A. Gordon)
0:53.0,E. Payton misses 2-pt shot from 14 ft,,97-103,,
0:50.0,,,97-103,,Defensive rebound by D. Augustin
0:27.0,,,97-103,,Turnover by Team (shot clock)
0:27.0,Phoenix full timeout,,97-103,,
0:24.0,T. Daniels misses 3-pt shot from 25 ft,,97-103,,
0:22.0,Offensive rebound by A. Len,,97-103,,
0:22.0,A. Len makes 2-pt shot at rim,2,99-103,,
0:17.0,Personal foul by J. Jackson (drawn by M. Hezonja),,99-103,,
0:17.0,S. Harrison enters the game for A. Len,,99-103,,
0:16.0,Personal take foul by M. Chriss (drawn by N. Vucevic),,99-103,,
0:16.0,,,99-104,1,N. Vucevic makes free throw 1 of 2
0:16.0,A. Len enters the game for S. Harrison,,99-104,,
0:16.0,,,99-105,1,N. Vucevic makes free throw 2 of 2
0:09.0,J. Jackson misses 3-pt shot from 25 ft,,99-105,,
0:06.0,,,99-105,,Defensive rebound by D. Augustin
