time,Memphis,pts.away,score,pts.home,Atlanta
4:01.0,,,69-102,3,L. Babbitt makes 3-pt shot from 22 ft (assist by T. Dorsey)
3:53.0,W. Selden makes 2-pt shot from 2 ft (assist by A. Harrison),2,71-102,,
3:41.0,,,71-102,,Shooting foul by W. Selden (drawn by M. Plumlee)
3:41.0,,,71-102,,M. Plumlee misses free throw 1 of 2
3:41.0,,,71-102,,Offensive rebound by Team
3:41.0,,,71-103,1,M. Plumlee makes free throw 2 of 2
3:28.0,A. Harrison makes 2-pt shot from 16 ft,2,73-103,,
3:18.0,Personal foul by A. Harrison (drawn by T. Dorsey),,73-103,,
3:18.0,,,73-104,1,T. Dorsey makes free throw 1 of 2
3:18.0,B. Wright enters the game for W. Selden,,73-104,,
3:18.0,,,73-104,,T. Dorsey misses free throw 2 of 2
3:15.0,Defensive rebound by I. Rabb,,73-104,,
3:05.0,A. Harrison misses 2-pt shot from 18 ft,,73-104,,
3:03.0,,,73-104,,Defensive rebound by M. Plumlee
3:03.0,,,73-104,,Turnover by M. Plumlee (step out of bounds)
2:53.0,J. Ennis misses 3-pt shot from 25 ft,,73-104,,
2:50.0,,,73-104,,Defensive rebound by M. Plumlee
2:35.0,,,73-104,,M. Plumlee misses 2-pt shot from 12 ft
2:32.0,Defensive rebound by I. Rabb,,73-104,,
2:21.0,B. McLemore misses 3-pt shot from 26 ft,,73-104,,
2:19.0,Offensive rebound by Team,,73-104,,
2:19.0,,,73-104,,Loose ball foul by T. Dorsey (drawn by B. Wright)
2:19.0,Memphis full timeout,,73-104,,
2:08.0,I. Rabb makes 2-pt shot from 1 ft (assist by B. McLemore),2,75-104,,
1:53.0,,,75-106,2,M. Plumlee makes 2-pt shot from 8 ft
1:33.0,A. Harrison makes 3-pt shot from 25 ft (assist by B. Wright),3,78-106,,
1:17.0,,,78-106,,T. Dorsey misses 2-pt shot from 23 ft
1:17.0,Defensive rebound by Team,,78-106,,
1:07.0,,,78-106,,Personal foul by J. Collins (drawn by I. Rabb)
1:00.0,A. Harrison makes 2-pt shot from 1 ft,2,80-106,,
0:47.0,,,80-106,,Turnover by M. Plumlee (traveling)
0:33.0,B. Wright makes 2-pt shot from 11 ft (assist by A. Harrison),2,82-106,,
0:11.0,,,82-108,2,I. Taylor makes 2-pt shot from 15 ft (assist by T. Dorsey)
