time,LA Lakers,pts.away,score,pts.home,Oklahoma City
8:06.0,,,60-55,2,R. Westbrook makes 2-pt shot from 2 ft
8:06.0,,,60-55,,Shooting foul by B. Ingram (drawn by R. Westbrook)
8:06.0,,,60-56,1,R. Westbrook makes free throw 1 of 1
7:55.0,B. Lopez makes 2-pt shot at rim (assist by K. Caldwell-Pope),2,62-56,,
7:34.0,,,62-58,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
7:16.0,J. Hart makes 2-pt shot at rim,2,64-58,,
7:07.0,,,64-58,,C. Anthony misses 2-pt shot from 1 ft
7:07.0,,,64-58,,Offensive rebound by S. Adams
7:03.0,,,64-58,,Turnover by R. Westbrook (bad pass; steal by K. Caldwell-Pope)
6:48.0,J. Randle misses 2-pt shot from 13 ft (block by C. Anthony),,64-58,,
6:48.0,Offensive rebound by Team,,64-58,,
6:45.0,B. Lopez misses 3-pt shot from 22 ft,,64-58,,
6:42.0,,,64-58,,Defensive rebound by R. Westbrook
6:37.0,,,64-61,3,C. Anthony makes 3-pt shot from 24 ft (assist by R. Westbrook)
6:36.0,LA Lakers full timeout,,64-61,,
6:24.0,Turnover by B. Lopez (bad pass; steal by S. Adams),,64-61,,
6:19.0,,,64-61,,T. Ferguson misses 3-pt shot from 25 ft
6:14.0,Defensive rebound by B. Lopez,,64-61,,
6:07.0,J. Hart misses 3-pt shot from 22 ft,,64-61,,
6:05.0,,,64-61,,Defensive rebound by S. Adams
5:53.0,,,64-61,,R. Westbrook misses 2-pt shot from 9 ft
5:50.0,Defensive rebound by B. Ingram,,64-61,,
5:40.0,,,64-61,,Def 3 sec tech foul by T. Ferguson
5:40.0,K. Caldwell-Pope makes technical free throw,1,65-61,,
5:40.0,,,65-61,,A. Abrines enters the game for T. Ferguson
5:33.0,K. Caldwell-Pope misses 2-pt shot from 17 ft,,65-61,,
5:31.0,,,65-61,,Defensive rebound by P. George
5:25.0,,,65-61,,P. George misses 2-pt shot from 12 ft
5:21.0,Defensive rebound by K. Caldwell-Pope,,65-61,,
5:08.0,K. Caldwell-Pope misses 3-pt shot from 23 ft,,65-61,,
5:05.0,,,65-61,,Defensive rebound by S. Adams
5:00.0,,,65-61,,R. Westbrook misses 3-pt shot from 24 ft
4:57.0,Defensive rebound by B. Lopez,,65-61,,
4:50.0,K. Caldwell-Pope makes 2-pt shot from 10 ft,2,67-61,,
4:49.0,,,67-61,,Oklahoma City full timeout
4:35.0,Personal foul by K. Caldwell-Pope (drawn by P. George),,67-61,,
4:27.0,,,67-64,3,P. George makes 3-pt shot from 25 ft (assist by R. Westbrook)
4:03.0,B. Lopez misses 2-pt shot from 7 ft (block by S. Adams),,67-64,,
4:02.0,,,67-64,,Defensive rebound by C. Anthony
3:54.0,,,67-66,2,R. Westbrook makes 2-pt shot from 16 ft
3:34.0,J. Randle makes 2-pt shot at rim,2,69-66,,
3:19.0,,,69-68,2,P. George makes 2-pt shot from 6 ft
3:08.0,Turnover by B. Ingram (lost ball; steal by A. Abrines),,69-68,,
3:04.0,,,69-71,3,P. George makes 3-pt shot from 24 ft (assist by R. Westbrook)
3:01.0,LA Lakers full timeout,,69-71,,
3:01.0,,,69-71,,Technical foul by C. Anthony
