time,Boston,pts.away,score,pts.home,Golden State
1:18.0,,,95-98,,Defensive rebound by K. Thompson
1:08.0,,,95-100,2,S. Curry makes 2-pt shot from 1 ft
1:08.0,Boston full timeout,,95-100,,
1:02.0,A. Horford makes 2-pt shot from 5 ft (assist by T. Rozier),2,97-100,,
0:43.0,,,97-100,,Shooting foul by M. Morris (drawn by S. Curry)
0:43.0,,,97-101,1,S. Curry makes free throw 1 of 2
0:43.0,,,97-102,1,S. Curry makes free throw 2 of 2
0:26.0,,,97-102,,Personal foul by K. Durant (drawn by J. Brown)
0:22.0,K. Irving makes 2-pt shot from 10 ft,2,99-102,,
0:20.0,,,99-102,,Shooting foul by M. Morris (drawn by K. Durant)
0:20.0,,,99-102,,K. Durant misses free throw 1 of 2
0:20.0,,,99-102,,Offensive rebound by Team
0:20.0,,,99-103,1,K. Durant makes free throw 2 of 2
0:11.0,K. Irving makes 2-pt shot from 1 ft,2,101-103,,
0:10.0,Personal foul by T. Rozier (drawn by S. Curry),,101-103,,
0:10.0,,,101-104,1,S. Curry makes free throw 1 of 2
0:10.0,,,101-105,1,S. Curry makes free throw 2 of 2
0:10.0,Boston full timeout,,101-105,,
0:08.0,T. Rozier makes 3-pt shot from 26 ft (assist by M. Morris),3,104-105,,
0:07.0,,,104-105,,Golden State full timeout
0:07.0,,,104-105,,S. Livingston enters the game for A. Iguodala
0:07.0,J. Tatum enters the game for M. Morris,,104-105,,
0:06.0,Personal foul by A. Horford (drawn by S. Curry),,104-105,,
0:06.0,,,104-106,1,S. Curry makes free throw 1 of 2
0:06.0,,,104-106,,A. Iguodala enters the game for S. Livingston
0:06.0,M. Morris enters the game for J. Brown,,104-106,,
0:06.0,,,104-107,1,S. Curry makes free throw 2 of 2
0:02.0,,,104-107,,Personal foul by D. Green (drawn by K. Irving)
0:02.0,K. Irving makes free throw 1 of 2,1,105-107,,
0:02.0,,,105-107,,Z. Pachulia enters the game for A. Iguodala
0:02.0,A. Baynes enters the game for T. Rozier,,105-107,,
0:02.0,J. Brown enters the game for M. Morris,,105-107,,
0:02.0,K. Irving misses free throw 2 of 2,,105-107,,
0:02.0,,,105-107,,Defensive rebound by Team
0:02.0,Violation by K. Irving (lane),,105-107,,
0:02.0,,,105-107,,S. Livingston enters the game for Z. Pachulia
0:02.0,T. Rozier enters the game for A. Baynes,,105-107,,
0:01.0,Personal foul by T. Rozier (drawn by S. Curry),,105-107,,
0:01.0,,,105-108,1,S. Curry makes free throw 1 of 2
0:01.0,D. Theis enters the game for J. Brown,,105-108,,
0:01.0,,,105-109,1,S. Curry makes free throw 2 of 2
0:00.0,K. Irving misses 3-pt shot from 48 ft,,105-109,,
0:00.0,Offensive rebound by Team,,105-109,,
