time,Cleveland,pts.away,score,pts.home,Houston
3:26.0,,,105-112,,E. Gordon misses 3-pt shot from 27 ft
3:24.0,Defensive rebound by K. Love,,105-112,,
3:18.0,Turnover by J. Smith (bad pass; steal by E. Gordon),,105-112,,
3:12.0,,,105-112,,Offensive foul by C. Capela (drawn by J. Smith)
3:12.0,,,105-112,,Turnover by C. Capela (offensive foul)
3:12.0,,,105-112,,R. Anderson enters the game for C. Capela
2:52.0,L. James makes 2-pt shot from 2 ft,2,107-112,,
2:33.0,,,107-112,,J. Harden misses 3-pt shot from 26 ft
2:30.0,Defensive rebound by L. James,,107-112,,
2:16.0,L. James misses 3-pt shot from 26 ft,,107-112,,
2:15.0,Offensive rebound by Team,,107-112,,
2:15.0,,,107-112,,Loose ball foul by E. Gordon (drawn by K. Love)
2:15.0,K. Love makes free throw 1 of 2,1,108-112,,
2:15.0,,,108-112,,C. Capela enters the game for R. Anderson
2:15.0,K. Love makes free throw 2 of 2,1,109-112,,
2:01.0,,,109-112,,Shooting foul by K. Love (drawn by C. Capela)
2:01.0,J. Crowder enters the game for K. Love,,109-112,,
2:01.0,,,109-112,,C. Capela misses free throw 1 of 2
2:01.0,,,109-112,,Offensive rebound by Team
2:01.0,,,109-112,,C. Capela misses free throw 2 of 2
1:57.0,Defensive rebound by J. Green,,109-112,,
1:39.0,J. Green makes 2-pt shot from 23 ft,2,111-112,,
1:15.0,,,111-112,,J. Harden misses 2-pt shot from 5 ft
1:11.0,,,111-112,,Offensive rebound by P. Tucker
1:10.0,,,111-114,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
1:10.0,,,111-114,,Shooting foul by J. Green (drawn by C. Capela)
1:10.0,,,111-115,1,C. Capela makes free throw 1 of 1
0:57.0,L. James makes 2-pt shot from 1 ft,2,113-115,,
0:35.0,,,113-115,,J. Harden misses 3-pt shot from 26 ft
0:30.0,,,113-115,,Offensive rebound by P. Tucker
0:12.0,,,113-115,,J. Harden misses 2-pt shot from 17 ft
0:10.0,,,113-115,,Offensive rebound by C. Capela
0:10.0,,,113-117,2,C. Capela makes 2-pt shot from 1 ft
0:10.0,Cleveland full timeout,,113-117,,
0:10.0,K. Korver enters the game for J. Crowder,,113-117,,
0:05.0,L. James misses 2-pt shot from 9 ft (block by C. Capela),,113-117,,
0:01.0,Offensive rebound by J. Green,,113-117,,
0:00.0,J. Green misses 3-pt shot from 22 ft,,113-117,,
0:00.0,,,113-117,,Defensive rebound by P. Tucker
