time,Charlotte,pts.away,score,pts.home,Boston
6:43.0,F. Kaminsky makes 2-pt shot from 1 ft (assist by K. Walker),2,38-28,,
6:23.0,,,38-28,,J. Tatum misses 3-pt shot from 23 ft
6:20.0,Defensive rebound by K. Walker,,38-28,,
6:08.0,F. Kaminsky makes 3-pt shot from 28 ft (assist by K. Walker),3,41-28,,
5:49.0,,,41-28,,M. Smart misses 3-pt shot from 25 ft
5:45.0,Defensive rebound by K. Walker,,41-28,,
5:40.0,F. Kaminsky makes 3-pt shot from 28 ft (assist by K. Walker),3,44-28,,
5:39.0,,,44-28,,Boston full timeout
5:39.0,,,44-28,,T. Rozier enters the game for J. Tatum
5:39.0,,,44-28,,D. Theis enters the game for S. Larkin
5:39.0,,,44-28,,J. Brown enters the game for A. Nader
5:39.0,,,44-28,,M. Morris enters the game for A. Baynes
5:39.0,M. Kidd-Gilchrist enters the game for D. Bacon,,44-28,,
5:24.0,,,44-28,,D. Theis misses 3-pt shot from 24 ft
5:20.0,Defensive rebound by M. Kidd-Gilchrist,,44-28,,
5:07.0,K. Walker makes 2-pt shot from 17 ft,2,46-28,,
4:48.0,,,46-28,,J. Brown misses 2-pt shot from 2 ft
4:44.0,Defensive rebound by M. Kidd-Gilchrist,,46-28,,
4:37.0,K. Walker misses 2-pt shot from 14 ft,,46-28,,
4:34.0,,,46-28,,Defensive rebound by T. Rozier
4:31.0,,,46-28,,T. Rozier misses 2-pt shot from 2 ft (block by M. Kidd-Gilchrist)
4:27.0,,,46-28,,Offensive rebound by M. Morris
4:25.0,,,46-28,,Shooting foul by M. Monk (drawn by J. Brown)
4:25.0,,,46-28,,J. Brown misses free throw 1 of 2
4:25.0,,,46-28,,Offensive rebound by Team
4:25.0,,,46-29,1,J. Brown makes free throw 2 of 2
4:11.0,M. Monk misses 2-pt shot from 7 ft,,46-29,,
4:09.0,,,46-29,,Defensive rebound by M. Morris
4:00.0,,,46-32,3,T. Rozier makes 3-pt shot from 24 ft (assist by M. Smart)
3:36.0,K. Walker misses 2-pt shot from 17 ft,,46-32,,
3:33.0,,,46-32,,Defensive rebound by M. Morris
3:22.0,,,46-32,,M. Morris misses 2-pt shot from 6 ft
3:20.0,Defensive rebound by M. Williams,,46-32,,
3:18.0,J. Lamb enters the game for M. Monk,,46-32,,
3:18.0,D. Howard enters the game for F. Kaminsky,,46-32,,
3:16.0,,,46-32,,Personal take foul by D. Theis (drawn by D. Howard)
3:16.0,D. Howard makes free throw 1 of 2,1,47-32,,
3:16.0,D. Howard misses free throw 2 of 2,,47-32,,
3:13.0,,,47-32,,Defensive rebound by M. Morris
3:04.0,,,47-34,2,M. Smart makes 2-pt shot from 11 ft
2:57.0,,,47-34,,Personal take foul by D. Theis (drawn by D. Howard)
2:57.0,Charlotte full timeout,,47-34,,
2:57.0,,,47-34,,G. Yabusele enters the game for D. Theis
2:57.0,D. Howard misses free throw 1 of 2,,47-34,,
2:57.0,Offensive rebound by Team,,47-34,,
2:57.0,D. Howard misses free throw 2 of 2,,47-34,,
2:55.0,,,47-34,,Defensive rebound by J. Brown
2:43.0,,,47-34,,M. Morris misses 2-pt shot from 15 ft
2:39.0,Defensive rebound by M. Williams,,47-34,,
2:38.0,,,47-34,,Personal take foul by M. Morris (drawn by D. Howard)
2:38.0,D. Howard misses free throw 1 of 2,,47-34,,
2:38.0,Offensive rebound by Team,,47-34,,
2:38.0,D. Howard misses free throw 2 of 2,,47-34,,
2:37.0,,,47-34,,Defensive rebound by M. Morris
2:23.0,,,47-37,3,T. Rozier makes 3-pt shot from 26 ft
2:06.0,J. Lamb makes 3-pt shot from 28 ft (assist by K. Walker),3,50-37,,
1:51.0,,,50-37,,M. Smart misses 2-pt shot from 5 ft
1:48.0,Defensive rebound by D. Howard,,50-37,,
1:48.0,,,50-37,,Away from play foul by G. Yabusele (drawn by D. Howard)
1:48.0,D. Howard misses free throw 1 of 1,,50-37,,
1:48.0,Offensive rebound by Team,,50-37,,
1:48.0,,,50-37,,A. Baynes enters the game for G. Yabusele
1:39.0,M. Kidd-Gilchrist makes 2-pt shot from 2 ft (assist by K. Walker),2,52-37,,
1:22.0,,,52-37,,J. Brown misses 3-pt shot from 27 ft
1:16.0,Defensive rebound by D. Howard,,52-37,,
1:06.0,M. Williams makes 2-pt shot from 5 ft (assist by K. Walker),2,54-37,,
0:46.0,,,54-37,,T. Rozier misses 2-pt shot from 5 ft (block by D. Howard)
0:45.0,,,54-37,,Offensive rebound by A. Baynes
0:45.0,,,54-39,2,A. Baynes makes 2-pt shot from 2 ft
0:34.0,K. Walker misses 3-pt shot from 26 ft,,54-39,,
0:31.0,,,54-39,,Defensive rebound by T. Rozier
0:23.0,,,54-39,,J. Brown misses 3-pt shot from 25 ft
0:19.0,,,54-39,,Offensive rebound by A. Baynes
0:19.0,,,54-39,,Shooting foul by M. Williams (drawn by M. Morris)
0:19.0,,,54-40,1,M. Morris makes free throw 1 of 2
0:19.0,M. Monk enters the game for M. Kidd-Gilchrist,,54-40,,
0:19.0,,,54-41,1,M. Morris makes free throw 2 of 2
0:03.0,Shooting foul by T. Rozier (drawn by K. Walker),,54-41,,
0:03.0,K. Walker makes free throw 1 of 3,1,55-41,,
0:03.0,K. Walker makes free throw 2 of 3,1,56-41,,
0:03.0,M. Kidd-Gilchrist enters the game for M. Monk,,56-41,,
0:03.0,K. Walker makes free throw 3 of 3,1,57-41,,
0:00.0,,,57-41,,T. Rozier misses 3-pt shot from 37 ft
0:00.0,,,57-41,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,Turnover by K. Walker (bad pass; steal by A. Baynes),,57-41,,
11:40.0,,,57-41,,J. Brown misses 2-pt shot from 3 ft
11:39.0,,,57-41,,Offensive rebound by A. Baynes
11:38.0,,,57-43,2,A. Baynes makes 2-pt shot at rim
11:19.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by J. Lamb),2,59-43,,
11:04.0,,,59-43,,A. Baynes misses 2-pt shot from 19 ft
11:02.0,Defensive rebound by J. Lamb,,59-43,,
10:49.0,J. Lamb makes 2-pt shot from 19 ft (assist by D. Howard),2,61-43,,
10:27.0,,,61-43,,M. Smart misses 3-pt shot from 27 ft
10:25.0,,,61-43,,Offensive rebound by Team
10:23.0,,,61-43,,A. Baynes misses 2-pt shot from 17 ft
10:20.0,Defensive rebound by M. Williams,,61-43,,
10:08.0,Turnover by J. Lamb (traveling),,61-43,,
9:58.0,Personal foul by M. Kidd-Gilchrist (drawn by J. Tatum),,61-43,,
9:46.0,,,61-45,2,M. Morris makes 2-pt shot from 14 ft
9:30.0,K. Walker misses 3-pt shot from 26 ft,,61-45,,
9:26.0,,,61-45,,Defensive rebound by J. Brown
9:19.0,,,61-48,3,M. Morris makes 3-pt shot from 27 ft (assist by J. Tatum)
9:16.0,Charlotte full timeout,,61-48,,
9:06.0,J. Lamb misses 3-pt shot from 27 ft,,61-48,,
9:00.0,,,61-48,,Defensive rebound by J. Tatum
8:50.0,,,61-48,,M. Smart misses 3-pt shot from 26 ft
8:45.0,Defensive rebound by D. Howard,,61-48,,
8:37.0,M. Williams makes 3-pt shot from 26 ft (assist by J. Lamb),3,64-48,,
8:37.0,,,64-48,,Boston full timeout
8:23.0,,,64-48,,J. Brown misses 2-pt shot from 7 ft (block by J. Lamb)
8:18.0,Defensive rebound by J. Lamb,,64-48,,
8:13.0,J. Lamb misses 2-pt shot from 10 ft,,64-48,,
8:12.0,,,64-48,,Defensive rebound by J. Brown
8:02.0,,,64-48,,J. Brown misses 2-pt shot from 1 ft (block by M. Williams)
8:02.0,,,64-48,,Offensive rebound by J. Brown
8:02.0,Violation by D. Howard (kicked ball),,64-48,,
7:54.0,,,64-51,3,M. Morris makes 3-pt shot from 25 ft (assist by A. Baynes)
7:34.0,M. Williams makes 2-pt shot from 9 ft,2,66-51,,
7:22.0,,,66-51,,Turnover by J. Tatum (discontinued dribble)
7:02.0,D. Howard misses 2-pt shot from 9 ft (block by A. Baynes),,66-51,,
6:58.0,,,66-51,,Defensive rebound by J. Brown
6:51.0,,,66-53,2,J. Tatum makes 2-pt shot at rim (assist by M. Smart)
6:28.0,Turnover by D. Howard (step out of bounds),,66-53,,
6:14.0,,,66-53,,J. Brown misses 2-pt shot from 14 ft
6:10.0,Defensive rebound by J. Lamb,,66-53,,
6:08.0,Shooting foul by J. Brown (drawn by K. Walker),,66-53,,
6:08.0,K. Walker makes free throw 1 of 2,1,67-53,,
6:08.0,K. Walker makes free throw 2 of 2,1,68-53,,
6:01.0,Personal foul by D. Howard (drawn by A. Baynes),,68-53,,
5:53.0,,,68-55,2,M. Smart makes 2-pt shot from 3 ft
5:41.0,Turnover by D. Howard (step out of bounds),,68-55,,
5:26.0,,,68-55,,M. Morris misses 2-pt shot from 6 ft (block by D. Howard)
5:26.0,,,68-55,,Offensive rebound by Team
5:26.0,,,68-55,,T. Rozier enters the game for J. Brown
5:22.0,,,68-55,,M. Smart misses 2-pt shot from 8 ft
5:19.0,Defensive rebound by M. Williams,,68-55,,
5:05.0,M. Williams misses 3-pt shot from 24 ft,,68-55,,
5:02.0,,,68-55,,Defensive rebound by A. Baynes
4:56.0,Personal foul by M. Williams (drawn by M. Morris),,68-55,,
4:56.0,,,68-55,,S. Ojeleye enters the game for M. Morris
4:56.0,F. Kaminsky enters the game for M. Williams,,68-55,,
4:48.0,,,68-55,,T. Rozier misses 2-pt shot from 19 ft
4:45.0,Defensive rebound by K. Walker,,68-55,,
4:40.0,,,68-55,,Personal foul by S. Ojeleye (drawn by K. Walker)
4:40.0,C. Zeller enters the game for D. Howard,,68-55,,
4:33.0,K. Walker misses 2-pt shot from 13 ft,,68-55,,
4:32.0,Offensive rebound by Team,,68-55,,
4:32.0,,,68-55,,Loose ball foul by A. Baynes (drawn by C. Zeller)
4:32.0,,,68-55,,D. Theis enters the game for A. Baynes
4:23.0,Turnover by M. Kidd-Gilchrist (lost ball; steal by D. Theis),,68-55,,
4:15.0,,,68-55,,M. Smart misses 3-pt shot from 28 ft
4:11.0,Defensive rebound by J. Lamb,,68-55,,
3:58.0,F. Kaminsky misses 3-pt shot from 28 ft,,68-55,,
3:55.0,,,68-55,,Defensive rebound by D. Theis
3:47.0,,,68-57,2,J. Tatum makes 2-pt shot from 5 ft
3:25.0,C. Zeller makes 2-pt shot from 2 ft (assist by K. Walker),2,70-57,,
3:13.0,,,70-57,,Turnover by D. Theis (bad pass)
3:13.0,D. Bacon enters the game for M. Kidd-Gilchrist,,70-57,,
2:53.0,K. Walker misses 3-pt shot from 25 ft,,70-57,,
2:50.0,,,70-57,,Defensive rebound by D. Theis
2:46.0,Personal foul by C. Zeller (drawn by J. Tatum),,70-57,,
2:46.0,,,70-57,,S. Larkin enters the game for M. Smart
2:38.0,Personal foul by D. Bacon (drawn by J. Tatum),,70-57,,
2:38.0,,,70-57,,J. Tatum misses free throw 1 of 2
2:38.0,,,70-57,,Offensive rebound by Team
2:38.0,,,70-58,1,J. Tatum makes free throw 2 of 2
2:28.0,K. Walker misses 2-pt shot from 14 ft,,70-58,,
2:27.0,Offensive rebound by Team,,70-58,,
2:27.0,,,70-58,,Loose ball foul by S. Larkin (drawn by C. Zeller)
2:27.0,M. Monk enters the game for J. Lamb,,70-58,,
2:22.0,D. Bacon makes 2-pt shot from 18 ft (assist by F. Kaminsky),2,72-58,,
2:01.0,,,72-58,,Shooting foul by K. Walker (drawn by S. Larkin)
2:01.0,,,72-59,1,S. Larkin makes free throw 1 of 2
2:01.0,,,72-60,1,S. Larkin makes free throw 2 of 2
1:46.0,D. Bacon makes 2-pt shot from 18 ft,2,74-60,,
1:27.0,Personal foul by C. Zeller (drawn by S. Larkin),,74-60,,
1:27.0,,,74-61,1,S. Larkin makes free throw 1 of 2
1:27.0,,,74-61,,J. Brown enters the game for J. Tatum
1:27.0,,,74-62,1,S. Larkin makes free throw 2 of 2
1:17.0,Shooting foul by D. Theis (drawn by C. Zeller),,74-62,,
1:17.0,C. Zeller makes free throw 1 of 2,1,75-62,,
1:17.0,,,75-62,,G. Yabusele enters the game for S. Ojeleye
1:17.0,C. Zeller makes free throw 2 of 2,1,76-62,,
1:05.0,,,76-62,,T. Rozier misses 2-pt shot from 3 ft
1:01.0,Defensive rebound by D. Bacon,,76-62,,
0:57.0,D. Bacon misses 2-pt shot from 10 ft,,76-62,,
0:55.0,,,76-62,,Defensive rebound by J. Brown
0:46.0,,,76-62,,Turnover by S. Larkin (out of bounds lost ball)
0:38.0,K. Walker misses 2-pt shot from 20 ft,,76-62,,
0:34.0,,,76-62,,Defensive rebound by G. Yabusele
0:15.0,,,76-62,,Shooting foul by M. Monk (drawn by T. Rozier)
0:15.0,,,76-63,1,T. Rozier makes free throw 1 of 3
0:15.0,,,76-64,1,T. Rozier makes free throw 2 of 3
0:15.0,,,76-64,,S. Ojeleye enters the game for D. Theis
0:15.0,,,76-64,,T. Rozier misses free throw 3 of 3
0:12.0,Defensive rebound by D. Bacon,,76-64,,
0:01.0,C. Zeller misses 2-pt shot from 1 ft,,76-64,,
0:01.0,Offensive rebound by Team,,76-64,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:52.0,,,76-64,,S. Larkin misses 2-pt shot from 2 ft (block by C. Zeller)
11:49.0,Defensive rebound by M. Monk,,76-64,,
11:45.0,F. Kaminsky misses 3-pt shot from 25 ft,,76-64,,
11:40.0,Offensive rebound by C. Zeller,,76-64,,
11:33.0,D. Bacon misses 2-pt shot from 21 ft,,76-64,,
11:30.0,,,76-64,,Defensive rebound by T. Rozier
11:28.0,,,76-64,,Shooting foul by M. Carter-Williams (drawn by J. Brown)
11:28.0,,,76-65,1,J. Brown makes free throw 1 of 2
11:28.0,,,76-66,1,J. Brown makes free throw 2 of 2
11:15.0,,,76-66,,Violation by D. Theis (kicked ball)
11:07.0,F. Kaminsky misses 2-pt shot from 1 ft,,76-66,,
11:04.0,,,76-66,,Defensive rebound by G. Yabusele
10:51.0,,,76-66,,J. Brown misses 2-pt shot from 2 ft
10:49.0,Defensive rebound by F. Kaminsky,,76-66,,
10:45.0,Turnover by F. Kaminsky (lost ball; steal by J. Brown),,76-66,,
10:40.0,,,76-68,2,T. Rozier makes 2-pt shot from 2 ft
10:19.0,F. Kaminsky misses 2-pt shot from 3 ft (block by D. Theis),,76-68,,
10:15.0,,,76-68,,Defensive rebound by D. Theis
10:11.0,,,76-68,,J. Brown misses 3-pt shot from 27 ft
10:09.0,,,76-68,,Offensive rebound by G. Yabusele
10:00.0,,,76-68,,G. Yabusele misses 3-pt shot from 27 ft
9:56.0,Defensive rebound by M. Monk,,76-68,,
9:50.0,M. Monk misses 3-pt shot from 26 ft,,76-68,,
9:47.0,,,76-68,,Defensive rebound by T. Rozier
9:29.0,,,76-68,,T. Rozier misses 3-pt shot from 27 ft
9:24.0,Defensive rebound by D. Bacon,,76-68,,
9:04.0,Shooting foul by G. Yabusele (drawn by M. Monk),,76-68,,
9:04.0,M. Monk misses free throw 1 of 2,,76-68,,
9:04.0,Offensive rebound by Team,,76-68,,
9:04.0,M. Monk makes free throw 2 of 2,1,77-68,,
8:48.0,,,77-71,3,D. Theis makes 3-pt shot from 23 ft (assist by G. Yabusele)
8:28.0,M. Monk misses 2-pt shot from 18 ft,,77-71,,
8:25.0,,,77-71,,Defensive rebound by T. Rozier
8:20.0,Personal foul by C. Zeller (drawn by T. Rozier),,77-71,,
8:20.0,D. Howard enters the game for M. Monk,,77-71,,
8:20.0,K. Walker enters the game for C. Zeller,,77-71,,
8:15.0,,,77-71,,T. Rozier misses 2-pt shot from 9 ft
8:13.0,Defensive rebound by Team,,77-71,,
8:13.0,,,77-71,,Loose ball foul by G. Yabusele (drawn by D. Howard)
8:13.0,,,77-71,,A. Baynes enters the game for D. Theis
7:59.0,Turnover by D. Bacon (bad pass; steal by T. Rozier),,77-71,,
7:55.0,,,77-74,3,J. Brown makes 3-pt shot from 28 ft (assist by T. Rozier)
7:53.0,Charlotte full timeout,,77-74,,
7:53.0,J. Lamb enters the game for M. Carter-Williams,,77-74,,
7:36.0,Turnover by D. Howard (lost ball; steal by T. Rozier),,77-74,,
7:25.0,,,77-74,,Turnover by A. Baynes (bad pass; steal by D. Howard)
7:17.0,K. Walker makes 2-pt shot from 8 ft,2,79-74,,
