time,Houston,pts.away,score,pts.home,Sacramento
4:38.0,,,40-38,,Defensive rebound by W. Cauley-Stein
4:33.0,,,40-40,2,D. Fox makes 2-pt shot from 4 ft
4:14.0,J. Harden misses 3-pt shot from 25 ft,,40-40,,
4:10.0,,,40-40,,Defensive rebound by D. Fox
3:59.0,,,40-40,,B. Hield misses 3-pt shot from 25 ft
3:54.0,Defensive rebound by T. Ariza,,40-40,,
3:48.0,Shooting foul by G. Temple (drawn by C. Capela),,40-40,,
3:48.0,C. Capela makes free throw 1 of 2,1,41-40,,
3:48.0,,,41-40,,G. Hill enters the game for G. Temple
3:48.0,C. Capela makes free throw 2 of 2,1,42-40,,
3:31.0,,,42-40,,D. Fox misses 2-pt shot from 19 ft
3:29.0,Defensive rebound by C. Capela,,42-40,,
3:21.0,C. Capela makes 2-pt shot from 5 ft,2,44-40,,
3:00.0,,,44-40,,S. Labissiere misses 2-pt shot from 16 ft
2:55.0,Defensive rebound by C. Capela,,44-40,,
2:45.0,J. Harden makes 2-pt shot from 3 ft,2,46-40,,
2:25.0,,,46-40,,S. Labissiere misses 2-pt shot from 9 ft
2:21.0,Defensive rebound by C. Capela,,46-40,,
2:15.0,P. Tucker misses 3-pt shot from 23 ft,,46-40,,
2:13.0,Offensive rebound by R. Anderson,,46-40,,
2:13.0,Shooting foul by D. Fox (drawn by R. Anderson),,46-40,,
2:13.0,R. Anderson makes free throw 1 of 2,1,47-40,,
2:13.0,R. Anderson makes free throw 2 of 2,1,48-40,,
1:53.0,,,48-40,,D. Fox misses 2-pt shot from 3 ft
1:50.0,,,48-40,,Offensive rebound by D. Fox
1:47.0,,,48-42,2,S. Labissiere makes 2-pt shot from 5 ft
1:31.0,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden),2,50-42,,
1:06.0,,,50-44,2,G. Hill makes 2-pt shot from 13 ft (assist by D. Fox)
0:51.0,J. Harden misses 3-pt shot from 27 ft,,50-44,,
0:49.0,,,50-44,,Defensive rebound by D. Fox
0:45.0,,,50-46,2,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by B. Hield)
0:30.0,Shooting foul by B. Hield (drawn by J. Harden),,50-46,,
0:30.0,J. Harden makes free throw 1 of 2,1,51-46,,
0:30.0,J. Harden makes free throw 2 of 2,1,52-46,,
0:08.0,,,52-48,2,D. Fox makes 2-pt shot from 1 ft
0:00.0,J. Harden misses 3-pt shot from 25 ft,,52-48,,
0:00.0,Offensive rebound by Team,,52-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden),2,54-48,,
11:29.0,,,54-48,,G. Hill misses 2-pt shot from 20 ft
11:26.0,,,54-48,,Offensive rebound by G. Hill
11:05.0,,,54-50,2,J. Jackson makes 2-pt shot from 14 ft
10:55.0,T. Ariza misses 3-pt shot from 25 ft,,54-50,,
10:52.0,,,54-50,,Defensive rebound by S. Labissiere
10:40.0,,,54-50,,Turnover by S. Labissiere (traveling)
10:29.0,E. Gordon misses 2-pt shot from 2 ft (block by W. Cauley-Stein),,54-50,,
10:24.0,Offensive rebound by C. Capela,,54-50,,
10:22.0,C. Capela makes 2-pt shot from 1 ft,2,56-50,,
10:08.0,,,56-50,,J. Jackson misses 2-pt shot from 6 ft
10:05.0,Defensive rebound by C. Capela,,56-50,,
9:59.0,R. Anderson makes 3-pt shot from 26 ft (assist by J. Harden),3,59-50,,
9:35.0,,,59-52,2,G. Hill makes 2-pt shot from 1 ft
9:22.0,C. Capela misses 2-pt shot from 8 ft (block by W. Cauley-Stein),,59-52,,
9:20.0,,,59-52,,Defensive rebound by W. Cauley-Stein
9:09.0,,,59-52,,Turnover by B. Hield (lost ball; steal by C. Capela)
9:02.0,E. Gordon makes 3-pt shot from 22 ft (assist by T. Ariza),3,62-52,,
