time,New York,pts.away,score,pts.home,Denver
1:35.0,,,114-125,,W. Barton misses 3-pt shot from 25 ft
1:31.0,Defensive rebound by M. Beasley,,114-125,,
1:23.0,M. Beasley misses 2-pt shot from 12 ft,,114-125,,
1:18.0,,,114-125,,Defensive rebound by J. Murray
1:00.0,,,114-127,2,G. Harris makes 2-pt shot from 19 ft
1:00.0,New York full timeout,,114-127,,
1:00.0,,,114-127,,T. Lyles enters the game for W. Barton
1:00.0,,,114-127,,M. Beasley enters the game for G. Harris
1:00.0,,,114-127,,T. Craig enters the game for N. Jokic
1:00.0,,,114-127,,D. Arthur enters the game for W. Chandler
1:00.0,,,114-127,,E. Mudiay enters the game for J. Murray
1:00.0,D. McDermott enters the game for C. Lee,,114-127,,
1:00.0,W. Hernangomez enters the game for M. Beasley,,114-127,,
1:00.0,D. Dotson enters the game for T. Burke,,114-127,,
1:00.0,R. Baker enters the game for J. Jack,,114-127,,
1:00.0,F. Ntilikina enters the game for E. Kanter,,114-127,,
0:51.0,Shooting foul by M. Beasley (drawn by D. Dotson),,114-127,,
0:51.0,D. Dotson misses free throw 1 of 2,,114-127,,
0:51.0,Offensive rebound by Team,,114-127,,
0:51.0,D. Dotson makes free throw 2 of 2,1,115-127,,
0:30.0,,,115-130,3,T. Craig makes 3-pt shot from 24 ft (assist by E. Mudiay)
0:20.0,D. Dotson makes 3-pt shot from 25 ft (assist by F. Ntilikina),3,118-130,,
