time,Memphis,pts.away,score,pts.home,Toronto
4:34.0,,,82-93,,F. VanVleet misses 2-pt shot from 1 ft (block by J. Green)
4:32.0,Defensive rebound by M. Gasol,,82-93,,
4:32.0,Turnover by M. Gasol (bad pass),,82-93,,
4:32.0,,,82-93,,Toronto full timeout
4:32.0,J. Martin enters the game for J. Ennis,,82-93,,
4:13.0,,,82-93,,P. Siakam misses 3-pt shot from 24 ft
4:09.0,Defensive rebound by J. Martin,,82-93,,
3:53.0,Turnover by W. Selden (bad pass; steal by D. Wright),,82-93,,
3:35.0,,,82-93,,F. VanVleet misses 3-pt shot from 25 ft
3:33.0,Defensive rebound by J. Martin,,82-93,,
3:14.0,J. Martin misses 2-pt shot from 21 ft,,82-93,,
3:11.0,,,82-93,,Defensive rebound by D. Wright
2:51.0,Shooting block foul by A. Harrison (drawn by F. VanVleet),,82-93,,
2:51.0,,,82-94,1,F. VanVleet makes free throw 1 of 2
2:51.0,M. Chalmers enters the game for W. Selden,,82-94,,
2:51.0,D. Brooks enters the game for A. Harrison,,82-94,,
2:51.0,,,82-95,1,F. VanVleet makes free throw 2 of 2
2:41.0,D. Brooks misses 2-pt shot from 2 ft (block by J. Poeltl),,82-95,,
2:38.0,,,82-95,,Defensive rebound by C. Miles
2:34.0,,,82-97,2,P. Siakam makes 2-pt shot from 1 ft (assist by F. VanVleet)
2:22.0,,,82-97,,Personal foul by J. Poeltl (drawn by M. Gasol)
2:22.0,D. Davis enters the game for J. Green,,82-97,,
2:20.0,,,82-97,,Personal foul by C. Miles (drawn by J. Martin)
2:20.0,J. Martin makes free throw 1 of 2,1,83-97,,
2:20.0,J. Martin makes free throw 2 of 2,1,84-97,,
2:03.0,,,84-97,,D. Wright misses 3-pt shot from 26 ft
1:59.0,Defensive rebound by M. Chalmers,,84-97,,
1:54.0,Turnover by M. Chalmers (lost ball; steal by D. Wright),,84-97,,
1:35.0,,,84-99,2,P. Siakam makes 2-pt shot from 1 ft (assist by F. VanVleet)
1:21.0,,,84-99,,Personal foul by J. Poeltl (drawn by M. Gasol)
1:21.0,M. Gasol makes free throw 1 of 2,1,85-99,,
1:21.0,M. Gasol makes free throw 2 of 2,1,86-99,,
1:00.0,,,86-99,,P. Siakam misses 3-pt shot from 26 ft
0:56.0,Defensive rebound by M. Gasol,,86-99,,
0:45.0,D. Brooks misses 3-pt shot from 26 ft,,86-99,,
0:42.0,,,86-99,,Defensive rebound by C. Miles
0:39.0,,,86-101,2,D. Wright makes 2-pt shot at rim (assist by C. Miles)
0:24.0,J. Martin misses 3-pt shot from 22 ft,,86-101,,
0:21.0,,,86-101,,Defensive rebound by F. VanVleet
