time,Orlando,pts.away,score,pts.home,Detroit
0:47.0,Offensive rebound by Team,,100-107,,
0:47.0,Orlando full timeout,,100-107,,
0:47.0,,,100-107,,S. Johnson enters the game for L. Galloway
0:45.0,Offensive foul by N. Vucevic (drawn by A. Drummond),,100-107,,
0:45.0,Turnover by N. Vucevic (offensive foul),,100-107,,
0:45.0,,,100-107,,L. Galloway enters the game for S. Johnson
0:40.0,Personal foul by E. Payton (drawn by L. Galloway),,100-107,,
0:33.0,Personal foul by D. Augustin (drawn by L. Galloway),,100-107,,
0:33.0,,,100-108,1,L. Galloway makes free throw 1 of 2
0:33.0,,,100-108,,A. Tolliver enters the game for A. Drummond
0:33.0,,,100-109,1,L. Galloway makes free throw 2 of 2
0:23.0,M. Hezonja makes 3-pt shot from 25 ft (assist by E. Payton),3,103-109,,
0:20.0,Personal foul by M. Hezonja (drawn by L. Galloway),,103-109,,
0:20.0,,,103-109,,L. Galloway misses free throw 1 of 2
0:20.0,,,103-109,,Offensive rebound by Team
0:20.0,,,103-109,,S. Johnson enters the game for T. Harris
0:20.0,,,103-110,1,L. Galloway makes free throw 2 of 2
0:20.0,Orlando full timeout,,103-110,,
0:14.0,Shooting foul by I. Smith (drawn by D. Augustin),,103-110,,
0:14.0,D. Augustin makes free throw 1 of 3,1,104-110,,
0:14.0,D. Augustin makes free throw 2 of 3,1,105-110,,
0:14.0,,,105-110,,T. Harris enters the game for S. Johnson
0:14.0,D. Augustin misses free throw 3 of 3,,105-110,,
0:14.0,,,105-110,,Defensive rebound by A. Tolliver
0:14.0,Personal foul by N. Vucevic (drawn by A. Tolliver),,105-110,,
0:14.0,,,105-111,1,A. Tolliver makes free throw 1 of 2
0:14.0,,,105-111,,S. Johnson enters the game for T. Harris
0:14.0,,,105-112,1,A. Tolliver makes free throw 2 of 2
0:05.0,E. Payton makes 2-pt shot at rim,2,107-112,,
0:04.0,Personal foul by D. Augustin (drawn by L. Galloway),,107-112,,
0:04.0,,,107-113,1,L. Galloway makes free throw 1 of 2
0:04.0,,,107-114,1,L. Galloway makes free throw 2 of 2
0:00.0,M. Hezonja makes 3-pt shot from 26 ft,3,110-114,,
