time,Utah,pts.away,score,pts.home,Orlando
4:38.0,Offensive rebound by Team,,118-74,,
4:38.0,T. Bradley enters the game for D. Mitchell,,118-74,,
4:38.0,A. Burks enters the game for E. Udoh,,118-74,,
4:31.0,R. Neto misses 2-pt shot from 15 ft,,118-74,,
4:28.0,,,118-74,,Defensive rebound by A. Afflalo
4:25.0,Personal foul by J. Jerebko (drawn by B. Biyombo),,118-74,,
4:08.0,,,118-74,,M. Speights misses 2-pt shot from 5 ft
4:05.0,Defensive rebound by R. Neto,,118-74,,
4:00.0,R. O'Neale misses 3-pt shot from 26 ft,,118-74,,
4:00.0,Offensive rebound by T. Bradley,,118-74,,
3:47.0,A. Burks misses 3-pt shot from 24 ft,,118-74,,
3:47.0,,,118-74,,Defensive rebound by M. Speights
3:39.0,,,118-74,,Turnover by M. Hezonja (bad pass; steal by R. Neto)
3:36.0,,,118-74,,Technical foul by M. Speights (drawn by J. Jerebko)
3:36.0,A. Burks makes flagrant free throw 2 of 2,1,119-74,,
3:36.0,A. Burks makes flagrant free throw 1 of 2,1,120-74,,
3:36.0,N. Wolters enters the game for R. Neto,,120-74,,
3:30.0,N. Wolters misses 2-pt shot from 6 ft,,120-74,,
3:28.0,,,120-74,,Defensive rebound by A. Afflalo
3:21.0,,,120-74,,M. Speights misses 3-pt shot from 26 ft
3:17.0,,,120-74,,Offensive rebound by S. Mack
3:06.0,,,120-76,2,A. Afflalo makes 2-pt shot from 17 ft
2:54.0,T. Bradley misses 3-pt shot from 26 ft,,120-76,,
2:54.0,,,120-76,,Defensive rebound by A. Afflalo
2:40.0,,,120-76,,A. Afflalo misses 3-pt shot from 22 ft
2:40.0,Defensive rebound by A. Burks,,120-76,,
2:34.0,R. O'Neale misses 2-pt shot from 3 ft,,120-76,,
2:34.0,,,120-76,,Defensive rebound by M. Hezonja
2:34.0,Personal foul by T. Bradley (drawn by M. Hezonja),,120-76,,
2:20.0,,,120-79,3,M. Speights makes 3-pt shot from 26 ft (assist by A. Afflalo)
2:07.0,T. Bradley misses 2-pt shot from 9 ft,,120-79,,
2:04.0,,,120-79,,Defensive rebound by M. Speights
1:58.0,,,120-79,,M. Speights misses 3-pt shot from 26 ft
1:57.0,Defensive rebound by Team,,120-79,,
1:49.0,J. Jerebko makes 2-pt shot from 7 ft,2,122-79,,
1:27.0,,,122-79,,Shooting foul by J. Jerebko (drawn by M. Speights)
1:27.0,,,122-79,,M. Speights misses free throw 1 of 2
1:27.0,,,122-79,,Offensive rebound by Team
1:27.0,,,122-79,,M. Speights misses free throw 2 of 2
1:27.0,Defensive rebound by N. Wolters,,122-79,,
1:11.0,T. Bradley misses 2-pt shot from 3 ft (block by B. Biyombo),,122-79,,
1:05.0,,,122-79,,Defensive rebound by B. Biyombo
0:58.0,,,122-79,,M. Hezonja misses 3-pt shot from 26 ft
0:53.0,,,122-79,,Offensive rebound by A. Afflalo
0:52.0,,,122-82,3,M. Speights makes 3-pt shot from 26 ft (assist by A. Afflalo)
0:40.0,J. Jerebko makes 3-pt shot from 25 ft (assist by N. Wolters),3,125-82,,
0:29.0,,,125-85,3,M. Speights makes 3-pt shot from 28 ft (assist by S. Mack)
0:07.0,T. Bradley misses 2-pt shot from 19 ft,,125-85,,
0:04.0,Offensive rebound by A. Burks,,125-85,,
