time,Charlotte,pts.away,score,pts.home,Detroit
2:12.0,Defensive rebound by D. Howard,,110-97,,
1:54.0,N. Batum misses 3-pt shot from 27 ft,,110-97,,
1:50.0,,,110-97,,Defensive rebound by A. Drummond
1:48.0,Personal foul by K. Walker (drawn by I. Smith),,110-97,,
1:48.0,,,110-98,1,I. Smith makes free throw 1 of 2
1:48.0,,,110-98,,R. Bullock enters the game for L. Kennard
1:48.0,,,110-99,1,I. Smith makes free throw 2 of 2
1:44.0,Turnover by N. Batum (bad pass; steal by A. Bradley),,110-99,,
1:44.0,,,110-101,2,A. Bradley makes 2-pt shot from 2 ft
1:39.0,Jump ball: R. Bullock vs. M. Kidd-Gilchrist (A. Drummond gains possession),,,,Jump ball: R. Bullock vs. M. Kidd-Gilchrist (A. Drummond gains possession)
1:39.0,Turnover by M. Kidd-Gilchrist (turnover; steal by R. Bullock),,110-101,,
1:30.0,,,110-101,,R. Bullock misses 3-pt shot from 27 ft
1:25.0,Defensive rebound by M. Williams,,110-101,,
1:19.0,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by K. Walker),2,112-101,,
1:14.0,,,112-104,3,I. Smith makes 3-pt shot from 26 ft
0:57.0,,,112-104,,Personal foul by R. Bullock (drawn by N. Batum)
0:57.0,N. Batum misses free throw 1 of 2,,112-104,,
0:57.0,Offensive rebound by Team,,112-104,,
0:57.0,N. Batum makes free throw 2 of 2,1,113-104,,
0:52.0,,,113-104,,A. Bradley misses 3-pt shot from 25 ft
0:49.0,Defensive rebound by M. Williams,,113-104,,
0:45.0,,,113-104,,Personal foul by R. Bullock (drawn by M. Kidd-Gilchrist)
0:45.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,114-104,,
0:45.0,M. Kidd-Gilchrist misses free throw 2 of 2,,114-104,,
0:44.0,,,114-104,,Defensive rebound by A. Drummond
0:39.0,,,114-107,3,R. Bullock makes 3-pt shot from 26 ft (assist by I. Smith)
0:38.0,,,114-107,,Personal foul by A. Drummond (drawn by N. Batum)
0:38.0,N. Batum makes free throw 1 of 2,1,115-107,,
0:38.0,N. Batum makes free throw 2 of 2,1,116-107,,
0:29.0,,,116-107,,T. Harris misses 3-pt shot from 25 ft
0:23.0,Defensive rebound by D. Howard,,116-107,,
0:23.0,,,116-107,,Personal foul by I. Smith (drawn by D. Howard)
0:23.0,D. Howard makes free throw 1 of 2,1,117-107,,
0:23.0,D. Howard makes free throw 2 of 2,1,118-107,,
0:13.0,,,118-107,,I. Smith misses 3-pt shot from 28 ft
0:09.0,Defensive rebound by N. Batum,,118-107,,
