time,Houston,pts.away,score,pts.home,Memphis
3:29.0,Turnover by J. Harden (bad pass; steal by D. Brooks),,78-66,,
3:20.0,,,78-66,,B. McLemore misses 2-pt shot at rim
3:16.0,Defensive rebound by N. Hilario,,78-66,,
3:10.0,N. Hilario misses 2-pt shot from 17 ft,,78-66,,
3:07.0,Offensive rebound by E. Gordon,,78-66,,
2:50.0,Turnover by E. Gordon (bad pass; steal by D. Brooks),,78-66,,
2:47.0,,,78-66,,Shooting foul by L. Mbah a Moute (drawn by T. Evans)
2:47.0,Houston full timeout,,78-66,,
2:47.0,,,78-66,,T. Evans misses free throw 1 of 2
2:47.0,,,78-66,,Offensive rebound by Team
2:47.0,,,78-67,1,T. Evans makes free throw 2 of 2
2:37.0,,,78-67,,Personal foul by B. McLemore (drawn by E. Gordon)
2:31.0,Shooting foul by D. Brooks (drawn by N. Hilario),,78-67,,
2:31.0,N. Hilario makes free throw 1 of 2,1,79-67,,
2:31.0,N. Hilario misses free throw 2 of 2,,79-67,,
2:29.0,,,79-67,,Defensive rebound by M. Gasol
2:13.0,,,79-67,,Turnover by D. Brooks (traveling)
2:05.0,,,79-67,,Violation by M. Gasol (kicked ball)
1:54.0,,,79-67,,Personal foul by B. McLemore (drawn by P. Tucker)
1:54.0,C. Paul enters the game for J. Harden,,79-67,,
1:47.0,Offensive foul by N. Hilario (drawn by D. Brooks),,79-67,,
1:47.0,Turnover by N. Hilario (offensive foul),,79-67,,
1:29.0,,,79-67,,M. Gasol misses 2-pt shot from 8 ft
1:24.0,,,79-67,,Offensive rebound by D. Brooks
1:23.0,,,79-67,,D. Brooks misses 2-pt shot from 3 ft
1:21.0,Defensive rebound by N. Hilario,,79-67,,
1:13.0,Shooting foul by M. Gasol (drawn by N. Hilario),,79-67,,
1:13.0,N. Hilario makes free throw 1 of 2,1,80-67,,
1:13.0,N. Hilario misses free throw 2 of 2,,80-67,,
1:11.0,,,80-67,,Defensive rebound by T. Evans
0:55.0,,,80-67,,B. McLemore misses 3-pt shot from 27 ft
0:53.0,Defensive rebound by Team,,80-67,,
0:41.0,E. Gordon misses 3-pt shot from 27 ft,,80-67,,
0:38.0,Offensive rebound by P. Tucker,,80-67,,
0:31.0,C. Paul misses 3-pt shot from 25 ft,,80-67,,
0:27.0,,,80-67,,Defensive rebound by T. Evans
0:22.0,,,80-67,,T. Evans misses 2-pt shot from 1 ft (block by C. Paul)
0:20.0,Defensive rebound by Team,,80-67,,
0:02.0,P. Tucker makes 2-pt shot from 6 ft,2,82-67,,
0:00.0,,,82-67,,D. Brooks misses 3-pt shot from 39 ft
0:00.0,,,82-67,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,82-67,,B. McLemore misses 3-pt shot from 25 ft
11:42.0,,,82-67,,Offensive rebound by J. Ennis
11:40.0,,,82-67,,Turnover by J. Ennis (bad pass; steal by T. Ariza)
11:35.0,R. Anderson misses 3-pt shot from 26 ft,,82-67,,
11:30.0,,,82-67,,Defensive rebound by T. Evans
11:13.0,,,82-67,,D. Davis misses 2-pt shot from 1 ft
11:09.0,,,82-67,,Offensive rebound by D. Davis
11:09.0,,,82-69,2,D. Davis makes 2-pt shot at rim
10:51.0,E. Gordon misses 3-pt shot from 27 ft,,82-69,,
10:49.0,,,82-69,,Defensive rebound by J. Ennis
10:45.0,,,82-69,,B. McLemore misses 3-pt shot from 24 ft
10:39.0,,,82-69,,Offensive rebound by J. Ennis
10:39.0,,,82-71,2,J. Ennis makes 2-pt shot at rim
10:24.0,T. Ariza misses 3-pt shot from 25 ft (block by T. Evans),,82-71,,
10:23.0,,,82-71,,Defensive rebound by J. Ennis
10:16.0,,,82-73,2,T. Evans makes 2-pt shot from 1 ft
10:15.0,Houston full timeout,,82-73,,
10:02.0,R. Anderson makes 3-pt shot from 23 ft (assist by C. Paul),3,85-73,,
