time,Miami,pts.away,score,pts.home,Brooklyn
5:37.0,H. Whiteside makes free throw 1 of 2,1,84-81,,
5:37.0,H. Whiteside misses free throw 2 of 2,,84-81,,
5:35.0,,,84-81,,Defensive rebound by S. Dinwiddie
5:17.0,,,84-81,,Shooting foul by G. Dragic (drawn by D. Carroll)
5:17.0,,,84-82,1,D. Carroll makes free throw 1 of 3
5:17.0,,,84-83,1,D. Carroll makes free throw 2 of 3
5:17.0,,,84-83,,C. LeVert enters the game for R. Hollis-Jefferson
5:17.0,,,84-84,1,D. Carroll makes free throw 3 of 3
5:00.0,K. Olynyk makes 2-pt shot from 7 ft (assist by J. Richardson),2,86-84,,
4:47.0,,,86-86,2,D. Carroll makes 2-pt shot from 2 ft (assist by A. Crabbe)
4:34.0,H. Whiteside misses 2-pt shot from 14 ft,,86-86,,
4:31.0,,,86-86,,Defensive rebound by A. Crabbe
4:19.0,,,86-89,3,D. Carroll makes 3-pt shot from 24 ft (assist by S. Dinwiddie)
4:17.0,Miami full timeout,,86-89,,
4:17.0,,,86-89,,J. Harris enters the game for A. Crabbe
4:17.0,W. Ellington enters the game for K. Olynyk,,86-89,,
4:17.0,J. Johnson enters the game for J. Winslow,,86-89,,
3:57.0,Turnover by W. Ellington (lost ball; steal by C. LeVert),,86-89,,
3:45.0,,,86-89,,J. Harris misses 3-pt shot from 22 ft
3:43.0,Defensive rebound by J. Johnson,,86-89,,
3:35.0,Shooting foul by Q. Acy (drawn by J. Johnson),,86-89,,
3:35.0,J. Johnson makes free throw 1 of 2,1,87-89,,
3:35.0,J. Johnson misses free throw 2 of 2,,87-89,,
3:32.0,,,87-89,,Defensive rebound by D. Carroll
3:13.0,,,87-91,2,S. Dinwiddie makes 2-pt shot from 1 ft
2:58.0,Jump ball: Q. Acy vs.,,,,Jump ball: Q. Acy vs.
2:50.0,G. Dragic makes 2-pt shot from 6 ft,2,89-91,,
2:26.0,,,89-91,,C. LeVert misses 3-pt shot from 24 ft
2:23.0,Defensive rebound by W. Ellington,,89-91,,
2:03.0,J. Johnson makes 2-pt shot from 5 ft,2,91-91,,
1:38.0,,,91-93,2,S. Dinwiddie makes 2-pt shot from 1 ft
1:18.0,W. Ellington misses 2-pt shot from 14 ft,,91-93,,
1:16.0,,,91-93,,Defensive rebound by C. LeVert
0:57.0,,,91-95,2,C. LeVert makes 2-pt shot from 2 ft
0:57.0,Miami full timeout,,91-95,,
0:57.0,K. Olynyk enters the game for H. Whiteside,,91-95,,
0:56.0,W. Ellington misses 2-pt shot from 3 ft,,91-95,,
0:54.0,,,91-95,,Defensive rebound by S. Dinwiddie
0:34.0,,,91-97,2,C. LeVert makes 2-pt shot from 14 ft
0:28.0,Turnover by J. Johnson (bad pass),,91-97,,
0:22.0,,,91-97,,Turnover by C. LeVert (turnover)
0:22.0,Miami full timeout,,91-97,,
0:18.0,G. Dragic makes 2-pt shot from 1 ft,2,93-97,,
0:17.0,Personal take foul by W. Ellington (drawn by S. Dinwiddie),,93-97,,
0:17.0,,,93-98,1,S. Dinwiddie makes free throw 1 of 2
0:17.0,,,93-99,1,S. Dinwiddie makes free throw 2 of 2
0:11.0,J. Johnson makes 2-pt shot from 1 ft,2,95-99,,
0:11.0,,,95-99,,Brooklyn full timeout
0:11.0,D. Jones enters the game for K. Olynyk,,95-99,,
0:11.0,,,95-99,,A. Crabbe enters the game for C. LeVert
0:04.0,,,95-101,2,S. Dinwiddie makes 2-pt shot from 1 ft (assist by A. Crabbe)
0:01.0,J. Johnson misses 3-pt shot from 25 ft,,95-101,,
0:00.0,,,95-101,,Defensive rebound by Q. Acy
