time,Toronto,pts.away,score,pts.home,Portland
1:03.0,,,97-85,,Offensive rebound by Team
0:58.0,,,97-85,,E. Davis misses 2-pt shot from 6 ft
0:55.0,Defensive rebound by K. Lowry,,97-85,,
0:34.0,,,97-85,,Personal foul by E. Turner (drawn by D. Wright)
0:34.0,,,97-85,,S. Napier enters the game for D. Lillard
0:34.0,,,97-85,,P. Connaughton enters the game for C. McCollum
0:34.0,,,97-85,,C. Swanigan enters the game for A. Aminu
0:34.0,F. VanVleet enters the game for K. Lowry,,97-85,,
0:34.0,A. McKinnie enters the game for D. DeRozan,,97-85,,
0:34.0,B. Caboclo enters the game for D. Wright,,97-85,,
0:23.0,F. VanVleet misses 2-pt shot from 1 ft,,97-85,,
0:20.0,Offensive rebound by L. Nogueira,,97-85,,
0:20.0,L. Nogueira makes 2-pt shot at rim,2,99-85,,
0:06.0,,,99-85,,Turnover by P. Connaughton (bad pass; steal by L. Nogueira)
