time,Golden State,pts.away,score,pts.home,Philadelphia
4:25.0,,,115-103,2,T. Luwawu-Cabarrot makes 2-pt shot from 2 ft (assist by B. Simmons)
4:25.0,Golden State full timeout,,115-103,,
4:25.0,S. Curry enters the game for D. West,,115-103,,
4:25.0,Z. Pachulia enters the game for A. Iguodala,,115-103,,
4:25.0,D. Green enters the game for S. Livingston,,115-103,,
4:12.0,K. Thompson makes 2-pt shot from 2 ft (assist by D. Green),2,117-103,,
4:00.0,,,117-105,2,B. Simmons makes 2-pt shot from 2 ft
3:44.0,,,117-105,,Personal foul by B. Simmons (drawn by Z. Pachulia)
3:37.0,K. Thompson misses 3-pt shot from 23 ft,,117-105,,
3:35.0,Offensive rebound by Z. Pachulia,,117-105,,
3:19.0,S. Curry misses 3-pt shot from 26 ft,,117-105,,
3:19.0,,,117-105,,Defensive rebound by R. Covington
3:11.0,,,117-105,,J. Embiid misses 3-pt shot from 25 ft
3:08.0,Defensive rebound by Z. Pachulia,,117-105,,
2:53.0,K. Durant makes 2-pt shot from 2 ft (assist by D. Green),2,119-105,,
2:53.0,Shooting foul by J. Embiid (drawn by K. Durant),,119-105,,
2:53.0,K. Durant makes free throw 1 of 1,1,120-105,,
2:37.0,,,120-108,3,T. Luwawu-Cabarrot makes 3-pt shot from 25 ft (assist by D. Saric)
2:15.0,K. Durant misses 2-pt shot from 15 ft,,120-108,,
2:07.0,,,120-108,,Defensive rebound by B. Simmons
2:03.0,Personal foul by D. Green (drawn by B. Simmons),,120-108,,
1:58.0,,,120-110,2,T. Luwawu-Cabarrot makes 2-pt shot from 1 ft (assist by B. Simmons)
1:38.0,K. Durant misses 3-pt shot from 26 ft,,120-110,,
1:34.0,,,120-110,,Defensive rebound by B. Simmons
1:28.0,,,120-110,,Shooting foul by D. Green (drawn by R. Covington)
1:28.0,,,120-111,1,R. Covington makes free throw 1 of 3
1:28.0,,,120-112,1,R. Covington makes free throw 2 of 3
1:28.0,,,120-112,,J. Redick enters the game for D. Saric
1:28.0,,,120-113,1,R. Covington makes free throw 3 of 3
1:09.0,Z. Pachulia makes 2-pt shot from 3 ft (assist by D. Green),2,122-113,,
1:09.0,,,122-113,,Philadelphia full timeout
1:09.0,,,122-113,,D. Saric enters the game for T. Luwawu-Cabarrot
0:54.0,,,122-113,,R. Covington misses 3-pt shot from 22 ft (block by S. Curry)
0:54.0,Defensive rebound by Team,,122-113,,
0:54.0,,,122-113,,T. McConnell enters the game for J. Embiid
0:54.0,,,122-113,,R. Holmes enters the game for B. Simmons
0:54.0,,,122-113,,T. Luwawu-Cabarrot enters the game for R. Covington
0:34.0,Turnover by K. Durant (bad pass; steal by D. Saric),,122-113,,
0:27.0,,,122-116,3,J. Redick makes 3-pt shot from 22 ft (assist by T. McConnell)
0:16.0,,,122-116,,Personal foul by T. Luwawu-Cabarrot (drawn by S. Curry)
0:15.0,,,122-116,,Personal foul by J. Redick (drawn by K. Thompson)
0:15.0,K. Thompson makes free throw 1 of 2,1,123-116,,
0:15.0,P. McCaw enters the game for Z. Pachulia,,123-116,,
0:15.0,K. Thompson makes free throw 2 of 2,1,124-116,,
0:04.0,,,124-116,,T. McConnell misses 2-pt shot from 12 ft
0:01.0,Defensive rebound by K. Durant,,124-116,,
