time,Charlotte,pts.away,score,pts.home,New Orleans
3:28.0,D. Howard makes 2-pt shot from 6 ft (assist by N. Batum),2,108-107,,
3:19.0,,,108-107,,New Orleans full timeout
3:19.0,M. Kidd-Gilchrist enters the game for J. Lamb,,108-107,,
3:11.0,Away from play foul by N. Batum (drawn by N. Mirotic),,108-107,,
3:03.0,,,108-107,,R. Rondo misses 2-pt shot from 1 ft
2:59.0,Defensive rebound by M. Kidd-Gilchrist,,108-107,,
2:50.0,D. Howard misses 2-pt shot from 2 ft (block by A. Davis),,108-107,,
2:44.0,,,108-107,,Defensive rebound by A. Davis
2:39.0,,,108-110,3,J. Holiday makes 3-pt shot from 26 ft (assist by A. Davis)
2:23.0,K. Walker misses 3-pt shot from 26 ft,,108-110,,
2:20.0,,,108-110,,Defensive rebound by A. Davis
2:03.0,,,108-110,,Turnover by J. Holiday (bad pass; steal by N. Batum)
1:57.0,Turnover by K. Walker (bad pass; steal by A. Davis),,108-110,,
1:53.0,,,108-110,,A. Davis misses 2-pt shot from 1 ft
1:52.0,,,108-110,,Offensive rebound by J. Holiday
1:52.0,,,108-112,2,J. Holiday makes 2-pt shot at rim
1:39.0,,,108-112,,Personal foul by E. Moore (drawn by N. Batum)
1:33.0,,,108-112,,Personal foul by N. Mirotic (drawn by N. Batum)
1:33.0,N. Batum makes free throw 1 of 2,1,109-112,,
1:33.0,N. Batum makes free throw 2 of 2,1,110-112,,
1:19.0,,,110-115,3,J. Holiday makes 3-pt shot from 25 ft
1:19.0,Charlotte full timeout,,110-115,,
1:08.0,K. Walker misses 2-pt shot from 16 ft,,110-115,,
1:03.0,,,110-115,,Defensive rebound by A. Davis
0:49.0,,,110-115,,J. Holiday misses 3-pt shot from 25 ft
0:47.0,,,110-115,,Offensive rebound by J. Holiday
0:30.0,,,110-117,2,J. Holiday makes 2-pt shot from 2 ft
0:18.0,F. Kaminsky makes 2-pt shot from 1 ft,2,112-117,,
0:13.0,,,112-117,,Turnover by A. Davis (bad pass; steal by N. Batum)
0:09.0,M. Kidd-Gilchrist misses 2-pt shot from 1 ft (block by A. Davis),,112-117,,
0:07.0,Offensive rebound by Team,,112-117,,
0:07.0,Charlotte full timeout,,112-117,,
0:07.0,M. Monk enters the game for M. Kidd-Gilchrist,,112-117,,
0:05.0,F. Kaminsky makes 3-pt shot from 26 ft (assist by N. Batum),3,115-117,,
0:04.0,,,115-117,,New Orleans full timeout
0:04.0,M. Kidd-Gilchrist enters the game for F. Kaminsky,,115-117,,
0:04.0,T. Graham enters the game for M. Monk,,115-117,,
0:04.0,Personal foul by M. Kidd-Gilchrist (drawn by A. Davis),,115-117,,
0:02.0,Personal foul by M. Kidd-Gilchrist (drawn by A. Davis),,115-117,,
0:02.0,,,115-118,1,A. Davis makes free throw 1 of 2
0:02.0,F. Kaminsky enters the game for M. Kidd-Gilchrist,,115-118,,
0:02.0,M. Monk enters the game for T. Graham,,115-118,,
0:02.0,,,115-119,1,A. Davis makes free throw 2 of 2
0:00.0,N. Batum misses 3-pt shot from 28 ft,,115-119,,
0:00.0,Offensive rebound by Team,,115-119,,
