time,Sacramento,pts.away,score,pts.home,Brooklyn
1:38.0,,,99-95,,Shooting foul by G. Temple (drawn by S. Dinwiddie)
1:38.0,,,99-95,,S. Dinwiddie misses free throw 1 of 2
1:38.0,,,99-95,,Offensive rebound by Team
1:38.0,,,99-96,1,S. Dinwiddie makes free throw 2 of 2
1:24.0,,,99-96,,Personal foul by Q. Acy (drawn by Z. Randolph)
1:17.0,Shooting foul by R. Hollis-Jefferson (drawn by Z. Randolph),,99-96,,
1:17.0,Z. Randolph makes free throw 1 of 2,1,100-96,,
1:17.0,Z. Randolph makes free throw 2 of 2,1,101-96,,
1:10.0,,,101-98,2,S. Dinwiddie makes 2-pt shot at rim
1:10.0,,,101-98,,Shooting foul by G. Temple (drawn by S. Dinwiddie)
1:10.0,,,101-99,1,S. Dinwiddie makes free throw 1 of 1
1:01.0,Offensive foul by G. Temple (drawn by S. Dinwiddie),,101-99,,
1:01.0,Turnover by G. Temple (offensive foul),,101-99,,
0:53.0,,,101-99,,A. Crabbe misses 2-pt shot from 18 ft
0:48.0,Defensive rebound by G. Hill,,101-99,,
0:30.0,G. Temple misses 3-pt shot from 24 ft,,101-99,,
0:27.0,Offensive rebound by W. Cauley-Stein,,101-99,,
0:25.0,W. Cauley-Stein misses 2-pt shot from 2 ft,,101-99,,
0:23.0,,,101-99,,Defensive rebound by R. Hollis-Jefferson
0:19.0,,,101-99,,S. Dinwiddie misses 3-pt shot from 26 ft
0:16.0,,,101-99,,Offensive rebound by D. Carroll
0:14.0,,,101-99,,D. Carroll misses 2-pt shot from 3 ft
0:14.0,,,101-99,,Offensive rebound by R. Hollis-Jefferson
0:11.0,,,101-99,,Turnover by Q. Acy (out of bounds lost ball)
0:11.0,,,101-99,,C. LeVert enters the game for Q. Acy
0:11.0,F. Mason enters the game for W. Cauley-Stein,,101-99,,
0:10.0,,,101-99,,Personal foul by A. Crabbe (drawn by B. Bogdanovic)
0:10.0,B. Bogdanovic misses free throw 1 of 2,,101-99,,
0:10.0,Offensive rebound by Team,,101-99,,
0:10.0,,,101-99,,J. Allen enters the game for D. Carroll
0:10.0,W. Cauley-Stein enters the game for Z. Randolph,,101-99,,
0:10.0,J. Jackson enters the game for F. Mason,,101-99,,
0:10.0,B. Bogdanovic makes free throw 2 of 2,1,102-99,,
0:10.0,,,102-99,,Brooklyn full timeout
0:10.0,,,102-99,,D. Carroll enters the game for C. LeVert
0:10.0,,,102-99,,J. Harris enters the game for R. Hollis-Jefferson
0:10.0,,,102-99,,Q. Acy enters the game for J. Allen
0:05.0,,,102-99,,S. Dinwiddie misses 3-pt shot from 25 ft
0:04.0,,,102-99,,Offensive rebound by Team
0:04.0,,,102-99,,Brooklyn full timeout
0:03.0,,,102-99,,Turnover by J. Harris (bad pass)
0:03.0,,,102-99,,R. Hollis-Jefferson enters the game for A. Crabbe
0:03.0,,,102-99,,C. LeVert enters the game for J. Harris
0:03.0,Z. Randolph enters the game for W. Cauley-Stein,,102-99,,
0:02.0,,,102-99,,Personal foul by S. Dinwiddie (drawn by G. Hill)
0:02.0,G. Hill makes free throw 1 of 2,1,103-99,,
0:02.0,,,103-99,,A. Crabbe enters the game for C. LeVert
0:02.0,G. Hill makes free throw 2 of 2,1,104-99,,
