time,Denver,pts.away,score,pts.home,San Antonio
1:41.0,D. Arthur misses 2-pt shot from 19 ft,,74-112,,
1:41.0,,,74-112,,Defensive rebound by D. Murray
1:22.0,,,74-112,,B. Forbes misses 2-pt shot from 6 ft
1:22.0,Defensive rebound by J. Hernangomez,,74-112,,
1:10.0,E. Mudiay makes 2-pt shot from 17 ft,2,76-112,,
0:46.0,,,76-112,,K. Anderson misses 2-pt shot from 21 ft
0:46.0,Defensive rebound by R. Jefferson,,76-112,,
0:40.0,Shooting foul by B. Forbes (drawn by J. Hernangomez),,76-112,,
0:40.0,J. Hernangomez makes free throw 1 of 2,1,77-112,,
0:40.0,J. Hernangomez makes free throw 2 of 2,1,78-112,,
0:30.0,,,78-112,,Turnover by D. Murray (lost ball; steal by E. Mudiay)
0:25.0,Turnover by J. Hernangomez (bad pass; steal by D. Murray),,78-112,,
0:24.0,,,78-112,,Turnover by D. Murray (bad pass)
0:20.0,R. Jefferson makes 2-pt shot from 6 ft,2,80-112,,
