time,Oklahoma City,pts.away,score,pts.home,Cleveland
6:37.0,,,128-102,1,D. Rose makes free throw 1 of 2
6:37.0,,,128-102,,T. Thompson enters the game for D. Wade
6:37.0,,,128-102,,J. Crowder enters the game for L. James
6:37.0,,,128-103,1,D. Rose makes free throw 2 of 2
6:18.0,R. Felton makes 3-pt shot from 24 ft (assist by A. Roberson),3,131-103,,
6:08.0,,,131-105,2,J. Green makes 2-pt shot at rim (assist by D. Rose)
5:49.0,R. Westbrook makes 2-pt shot from 1 ft (assist by R. Felton),2,133-105,,
5:33.0,,,133-108,3,J. Crowder makes 3-pt shot from 25 ft (assist by D. Rose)
5:12.0,R. Felton misses 3-pt shot from 23 ft,,133-108,,
5:09.0,Offensive rebound by S. Adams,,133-108,,
5:09.0,Shooting foul by T. Thompson (drawn by S. Adams),,133-108,,
5:09.0,S. Adams misses free throw 1 of 2,,133-108,,
5:09.0,Offensive rebound by Team,,133-108,,
5:09.0,S. Adams misses free throw 2 of 2,,133-108,,
5:08.0,,,133-108,,Defensive rebound by J. Green
5:07.0,Technical foul by P. Patterson,,133-108,,
5:07.0,,,133-109,1,K. Korver makes technical free throw
4:57.0,,,133-111,2,T. Thompson makes 2-pt shot at rim (assist by K. Korver)
4:39.0,A. Roberson makes 2-pt shot from 1 ft (assist by R. Felton),2,135-111,,
4:27.0,,,135-111,,Turnover by T. Thompson (lost ball; steal by R. Westbrook)
4:21.0,R. Westbrook misses 2-pt shot from 1 ft (block by K. Korver),,135-111,,
4:20.0,Offensive rebound by A. Roberson,,135-111,,
4:18.0,A. Roberson misses 2-pt shot from 3 ft,,135-111,,
4:17.0,R. Westbrook misses 2-pt shot at rim,,135-111,,
4:17.0,Offensive rebound by S. Adams,,135-111,,
4:17.0,Offensive rebound by R. Westbrook,,135-111,,
4:16.0,S. Adams makes 2-pt shot at rim,2,137-111,,
4:15.0,,,137-111,,Cleveland full timeout
4:15.0,,,137-111,,C. Frye enters the game for K. Korver
4:15.0,,,137-111,,C. Osman enters the game for J. Green
4:15.0,,,137-111,,J. Calderon enters the game for J. Crowder
4:01.0,,,137-111,,D. Rose misses 2-pt shot from 1 ft
4:01.0,Defensive rebound by R. Felton,,137-111,,
3:46.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook),2,139-111,,
3:31.0,,,139-113,2,J. Calderon makes 2-pt shot from 21 ft
3:31.0,Oklahoma City full timeout,,139-113,,
3:31.0,J. Grant enters the game for R. Westbrook,,139-113,,
3:31.0,T. Ferguson enters the game for S. Adams,,139-113,,
3:20.0,T. Ferguson makes 3-pt shot from 25 ft (assist by P. Patterson),3,142-113,,
2:53.0,,,142-115,2,C. Osman makes 2-pt shot from 6 ft (assist by J. Calderon)
2:31.0,J. Grant misses 2-pt shot from 2 ft,,142-115,,
2:31.0,,,142-115,,Defensive rebound by T. Thompson
2:26.0,,,142-115,,C. Frye misses 3-pt shot from 26 ft
2:26.0,Defensive rebound by R. Felton,,142-115,,
2:14.0,J. Grant makes 2-pt shot from 1 ft (assist by R. Felton),2,144-115,,
1:58.0,,,144-117,2,D. Rose makes 2-pt shot from 13 ft (assist by C. Frye)
1:42.0,T. Ferguson makes 2-pt shot from 2 ft (assist by R. Felton),2,146-117,,
1:40.0,Personal foul by R. Felton (drawn by D. Rose),,146-117,,
1:40.0,A. Abrines enters the game for A. Roberson,,146-117,,
1:40.0,D. Johnson enters the game for P. Patterson,,146-117,,
1:34.0,,,146-117,,Turnover by D. Rose (lost ball; steal by T. Ferguson)
1:34.0,T. Ferguson makes 2-pt shot from 2 ft,2,148-117,,
1:22.0,Personal foul by T. Ferguson (drawn by T. Thompson),,148-117,,
1:22.0,,,148-118,1,T. Thompson makes free throw 1 of 2
1:22.0,J. Huestis enters the game for R. Felton,,148-118,,
1:22.0,,,148-119,1,T. Thompson makes free throw 2 of 2
1:11.0,Turnover by T. Ferguson (step out of bounds),,148-119,,
0:55.0,,,148-121,2,C. Frye makes 2-pt shot from 15 ft
0:38.0,Turnover by J. Grant (lost ball; steal by J. Calderon),,148-121,,
0:24.0,,,148-124,3,C. Frye makes 3-pt shot from 26 ft (assist by D. Rose)
0:00.0,Turnover by Team (shot clock),,148-124,,
