time,Chicago,pts.away,score,pts.home,Phoenix
9:45.0,,,88-91,2,M. James makes 2-pt shot from 2 ft
9:36.0,K. Dunn makes 2-pt shot from 14 ft,2,90-91,,
9:23.0,,,90-91,,D. Bender misses 3-pt shot from 24 ft
9:20.0,Defensive rebound by D. Valentine,,90-91,,
9:04.0,B. Portis misses 2-pt shot from 1 ft (block by A. Len),,90-91,,
9:00.0,,,90-91,,Defensive rebound by J. Jackson
8:50.0,,,90-94,3,T. Daniels makes 3-pt shot from 22 ft (assist by D. Bender)
8:36.0,Shooting foul by M. James (drawn by A. Blakeney),,90-94,,
8:36.0,A. Blakeney misses free throw 1 of 2,,90-94,,
8:36.0,Offensive rebound by Team,,90-94,,
8:36.0,J. Grant enters the game for C. Felicio,,90-94,,
8:36.0,L. Markkanen enters the game for K. Dunn,,90-94,,
8:36.0,A. Blakeney makes free throw 2 of 2,1,91-94,,
8:14.0,,,91-96,2,J. Jackson makes 2-pt shot at rim (assist by T. Daniels)
8:03.0,L. Markkanen misses 3-pt shot from 25 ft,,91-96,,
8:01.0,Offensive rebound by B. Portis,,91-96,,
7:59.0,A. Blakeney makes 2-pt shot from 22 ft (assist by B. Portis),2,93-96,,
7:44.0,,,93-96,,D. Bender misses 3-pt shot from 25 ft
7:41.0,Defensive rebound by J. Grant,,93-96,,
7:33.0,L. Markkanen misses 2-pt shot from 2 ft,,93-96,,
7:32.0,,,93-96,,Defensive rebound by J. Jackson
7:24.0,,,93-98,2,M. James makes 2-pt shot at rim
7:24.0,Chicago full timeout,,93-98,,
7:24.0,,,93-98,,T. Warren enters the game for D. Bender
7:24.0,R. Lopez enters the game for B. Portis,,93-98,,
7:24.0,J. Holiday enters the game for A. Blakeney,,93-98,,
7:10.0,R. Lopez misses 2-pt shot from 19 ft,,93-98,,
7:07.0,,,93-98,,Defensive rebound by T. Daniels
6:54.0,,,93-98,,Shooting foul by J. Grant (drawn by A. Len)
6:54.0,,,93-99,1,A. Len makes free throw 1 of 2
6:54.0,,,93-100,1,A. Len makes free throw 2 of 2
6:42.0,J. Grant misses 2-pt shot from 9 ft,,93-100,,
6:40.0,Offensive rebound by L. Markkanen,,93-100,,
6:39.0,L. Markkanen misses 2-pt shot from 12 ft,,93-100,,
6:38.0,Offensive rebound by R. Lopez,,93-100,,
6:38.0,R. Lopez makes 2-pt shot at rim,2,95-100,,
6:21.0,,,95-102,2,M. James makes 2-pt shot at rim
6:06.0,J. Holiday misses 2-pt shot from 20 ft,,95-102,,
6:03.0,,,95-102,,Defensive rebound by M. James
5:58.0,,,95-104,2,T. Warren makes 2-pt shot from 9 ft (assist by J. Jackson)
5:57.0,Chicago full timeout,,95-104,,
5:57.0,,,95-104,,D. Booker enters the game for T. Daniels
5:57.0,K. Dunn enters the game for J. Grant,,95-104,,
5:43.0,,,95-104,,Personal foul by T. Warren (drawn by L. Markkanen)
5:36.0,L. Markkanen misses 2-pt shot from 14 ft,,95-104,,
5:32.0,,,95-104,,Defensive rebound by M. James
5:17.0,,,95-104,,A. Len misses 2-pt shot at rim
5:14.0,Defensive rebound by D. Valentine,,95-104,,
