time,Chicago,pts.away,score,pts.home,Utah
1:21.0,,,78-106,1,A. Burks makes free throw 2 of 2
1:01.0,P. Zipser misses 2-pt shot from 11 ft,,78-106,,
0:58.0,,,78-106,,Defensive rebound by T. Sefolosha
0:46.0,,,78-108,2,T. Bradley makes 2-pt shot from 12 ft (assist by R. O'Neale)
0:37.0,Turnover by K. Felder (bad pass; steal by T. Sefolosha),,78-108,,
0:33.0,Violation by P. Zipser (def goaltending),,78-108,,
0:33.0,,,78-110,2,T. Sefolosha makes 2-pt shot from 1 ft
0:28.0,Offensive foul by C. Felicio (drawn by R. Neto),,78-110,,
0:28.0,Turnover by C. Felicio (offensive foul),,78-110,,
0:11.0,,,78-110,,T. Sefolosha misses 3-pt shot from 26 ft
0:08.0,Defensive rebound by Q. Pondexter,,78-110,,
0:08.0,P. Zipser makes 2-pt shot from 1 ft (assist by Q. Pondexter),2,80-110,,
