time,Chicago,pts.away,score,pts.home,Portland
2:20.0,R. Arcidiacono makes 2-pt shot at rim (assist by C. Felicio),2,97-121,,
2:09.0,,,97-121,,Offensive foul by Z. Collins (drawn by P. Zipser)
2:09.0,,,97-121,,Turnover by Z. Collins (offensive foul)
2:00.0,C. Felicio makes 2-pt shot from 19 ft,2,99-121,,
1:51.0,,,99-121,,N. Vonleh misses 3-pt shot from 24 ft
1:50.0,Defensive rebound by Team,,99-121,,
1:42.0,A. Blakeney makes 2-pt shot from 4 ft (assist by C. Felicio),2,101-121,,
1:23.0,,,101-124,3,P. Connaughton makes 3-pt shot from 26 ft
1:15.0,A. Blakeney misses 3-pt shot from 24 ft,,101-124,,
1:12.0,,,101-124,,Defensive rebound by M. Harkless
1:03.0,,,101-124,,Turnover by M. Harkless (lost ball; steal by Q. Pondexter)
0:54.0,C. Felicio misses 2-pt shot from 13 ft,,101-124,,
0:52.0,Offensive rebound by C. Felicio,,101-124,,
0:51.0,C. Felicio makes 2-pt shot from 1 ft,2,103-124,,
0:36.0,,,103-124,,Z. Collins misses 3-pt shot from 22 ft
0:33.0,Defensive rebound by R. Arcidiacono,,103-124,,
0:29.0,Shooting foul by M. Harkless (drawn by A. Blakeney),,103-124,,
0:29.0,A. Blakeney makes free throw 1 of 2,1,104-124,,
0:29.0,A. Blakeney makes free throw 2 of 2,1,105-124,,
0:09.0,,,105-124,,N. Vonleh misses 3-pt shot from 24 ft
0:07.0,Defensive rebound by P. Zipser,,105-124,,
0:02.0,A. Blakeney makes 3-pt shot from 24 ft,3,108-124,,
