time,Brooklyn,pts.away,score,pts.home,Indiana
3:13.0,,,96-103,,Personal foul by L. Stephenson (drawn by D. Carroll)
3:13.0,D. Carroll makes free throw 1 of 2,1,97-103,,
3:13.0,D. Carroll makes free throw 2 of 2,1,98-103,,
2:58.0,,,98-103,,L. Stephenson misses 3-pt shot from 24 ft
2:54.0,Defensive rebound by A. Crabbe,,98-103,,
2:47.0,D. Carroll misses 2-pt shot from 1 ft (block by M. Turner),,98-103,,
2:44.0,,,98-103,,Defensive rebound by L. Stephenson
2:29.0,,,98-105,2,V. Oladipo makes 2-pt shot from 7 ft
2:14.0,,,98-105,,Personal foul by M. Turner (drawn by A. Crabbe)
2:14.0,A. Crabbe misses free throw 1 of 2,,98-105,,
2:14.0,Offensive rebound by Team,,98-105,,
2:14.0,A. Crabbe makes free throw 2 of 2,1,99-105,,
1:53.0,,,99-105,,L. Stephenson misses 2-pt shot from 1 ft
1:50.0,Defensive rebound by C. LeVert,,99-105,,
1:46.0,D. Carroll misses 3-pt shot from 26 ft,,99-105,,
1:44.0,,,99-105,,Defensive rebound by V. Oladipo
1:27.0,,,99-105,,Shooting foul by R. Hollis-Jefferson (drawn by V. Oladipo)
1:27.0,,,99-106,1,V. Oladipo makes free throw 1 of 2
1:27.0,,,99-106,,C. Joseph enters the game for L. Stephenson
1:27.0,,,99-107,1,V. Oladipo makes free throw 2 of 2
1:23.0,A. Crabbe makes 3-pt shot from 26 ft (assist by S. Dinwiddie),3,102-107,,
1:23.0,Shooting foul by V. Oladipo (drawn by A. Crabbe),,102-107,,
1:23.0,A. Crabbe makes free throw 1 of 1,1,103-107,,
1:09.0,,,103-107,,Shooting foul by C. LeVert (drawn by B. Bogdanovic)
1:09.0,,,103-108,1,B. Bogdanovic makes free throw 1 of 2
1:09.0,,,103-108,,B. Bogdanovic misses free throw 2 of 2
1:07.0,Defensive rebound by D. Carroll,,103-108,,
0:54.0,D. Carroll makes 3-pt shot from 23 ft (assist by S. Dinwiddie),3,106-108,,
0:31.0,,,106-110,2,D. Collison makes 2-pt shot at rim
0:31.0,Brooklyn full timeout,,106-110,,
0:25.0,C. LeVert misses 2-pt shot from 3 ft,,106-110,,
0:22.0,Offensive rebound by R. Hollis-Jefferson,,106-110,,
0:22.0,R. Hollis-Jefferson makes 2-pt shot from 6 ft,2,108-110,,
0:22.0,,,108-110,,Indiana full timeout
0:21.0,Personal foul by D. Carroll (drawn by M. Turner),,108-110,,
0:21.0,,,108-110,,M. Turner misses free throw 1 of 2
0:21.0,,,108-110,,Offensive rebound by Team
0:21.0,,,108-110,,T. Young enters the game for B. Bogdanovic
0:21.0,Q. Acy enters the game for C. LeVert,,108-110,,
0:21.0,J. Allen enters the game for A. Crabbe,,108-110,,
0:21.0,,,108-111,1,M. Turner makes free throw 2 of 2
0:21.0,Brooklyn full timeout,,108-111,,
0:21.0,A. Crabbe enters the game for Q. Acy,,108-111,,
0:21.0,T. Zeller enters the game for J. Allen,,108-111,,
0:19.0,Shooting foul by C. Joseph (drawn by S. Dinwiddie),,108-111,,
0:19.0,S. Dinwiddie makes free throw 1 of 3,1,109-111,,
0:19.0,S. Dinwiddie makes free throw 2 of 3,1,110-111,,
0:19.0,,,110-111,,L. Stephenson enters the game for D. Collison
0:19.0,C. LeVert enters the game for T. Zeller,,110-111,,
0:19.0,S. Dinwiddie makes free throw 3 of 3,1,111-111,,
0:19.0,,,111-111,,Indiana full timeout
0:19.0,,,111-111,,D. Collison enters the game for T. Young
0:19.0,,,111-111,,B. Bogdanovic enters the game for L. Stephenson
0:03.0,,,111-111,,V. Oladipo misses 3-pt shot from 27 ft
0:03.0,,,111-111,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: M. Turner vs. J. Allen (V. Oladipo gains possession),,,,Jump ball: M. Turner vs. J. Allen (V. Oladipo gains possession)
4:48.0,,,111-113,2,D. Collison makes 2-pt shot from 18 ft
4:26.0,D. Carroll misses 2-pt shot from 14 ft,,111-113,,
4:24.0,Offensive rebound by J. Allen,,111-113,,
4:24.0,J. Allen misses 2-pt shot from 2 ft (block by M. Turner),,111-113,,
4:23.0,,,111-113,,Defensive rebound by B. Bogdanovic
4:04.0,,,111-113,,Shooting foul by D. Carroll (drawn by D. Collison)
4:04.0,,,111-113,,D. Collison misses free throw 1 of 2
4:04.0,,,111-113,,Offensive rebound by Team
4:04.0,R. Hollis-Jefferson enters the game for J. Allen,,111-113,,
4:04.0,,,111-114,1,D. Collison makes free throw 2 of 2
3:49.0,S. Dinwiddie makes 3-pt shot from 27 ft,3,114-114,,
3:38.0,,,114-117,3,B. Bogdanovic makes 3-pt shot from 28 ft (assist by D. Collison)
3:26.0,S. Dinwiddie misses 3-pt shot from 25 ft,,114-117,,
3:23.0,,,114-117,,Defensive rebound by T. Young
3:10.0,,,114-117,,V. Oladipo misses 3-pt shot from 25 ft
3:06.0,Defensive rebound by R. Hollis-Jefferson,,114-117,,
2:52.0,S. Dinwiddie makes 2-pt shot from 2 ft,2,116-117,,
2:28.0,,,116-117,,T. Young misses 2-pt shot from 5 ft
2:26.0,,,116-117,,Offensive rebound by M. Turner
2:26.0,,,116-117,,Turnover by Team (shot clock)
2:05.0,D. Carroll misses 3-pt shot from 26 ft,,116-117,,
2:01.0,Offensive rebound by R. Hollis-Jefferson,,116-117,,
1:57.0,,,116-117,,Violation by V. Oladipo (kicked ball)
1:43.0,S. Dinwiddie misses 2-pt shot from 1 ft,,116-117,,
1:40.0,,,116-117,,Defensive rebound by T. Young
1:37.0,,,116-117,,Shooting foul by C. LeVert (drawn by V. Oladipo)
1:37.0,,,116-118,1,V. Oladipo makes free throw 1 of 2
1:37.0,,,116-119,1,V. Oladipo makes free throw 2 of 2
1:37.0,Brooklyn full timeout,,116-119,,
1:30.0,S. Dinwiddie misses 2-pt shot from 2 ft (block by M. Turner),,116-119,,
1:30.0,Offensive rebound by Team,,116-119,,
1:17.0,Turnover by C. LeVert (bad pass),,116-119,,
1:01.0,,,116-119,,D. Collison misses 2-pt shot at rim
1:00.0,Defensive rebound by D. Carroll,,116-119,,
0:46.0,D. Carroll makes 3-pt shot from 27 ft (assist by S. Dinwiddie),3,119-119,,
0:29.0,,,119-119,,Shooting foul by R. Hollis-Jefferson (drawn by V. Oladipo)
0:29.0,,,119-120,1,V. Oladipo makes free throw 1 of 2
0:29.0,,,119-120,,C. Joseph enters the game for M. Turner
0:29.0,J. Harris enters the game for R. Hollis-Jefferson,,119-120,,
0:29.0,,,119-121,1,V. Oladipo makes free throw 2 of 2
0:12.0,,,119-121,,Personal foul by B. Bogdanovic (drawn by S. Dinwiddie)
0:04.0,S. Dinwiddie misses 3-pt shot from 27 ft,,119-121,,
0:00.0,,,119-121,,Defensive rebound by V. Oladipo
0:00.0,Personal take foul by S. Dinwiddie (drawn by V. Oladipo),,119-121,,
0:00.0,,,119-122,1,V. Oladipo makes free throw 1 of 2
0:00.0,,,119-123,1,V. Oladipo makes free throw 2 of 2
0:00.0,Brooklyn full timeout,,119-123,,
0:00.0,,,119-123,,M. Turner enters the game for B. Bogdanovic
0:00.0,R. Hollis-Jefferson enters the game for T. Zeller,,119-123,,
0:00.0,J. Harris enters the game for J. Allen,,119-123,,
0:00.0,,,119-123,,M. Turner enters the game for B. Bogdanovic
0:00.0,R. Hollis-Jefferson enters the game for T. Zeller,,119-123,,
0:00.0,J. Harris enters the game for J. Allen,,119-123,,
0:00.0,T. Zeller enters the game for C. LeVert,,119-123,,
0:00.0,J. Allen enters the game for J. Harris,,119-123,,
0:00.0,D. Carroll misses 3-pt shot from 27 ft,,119-123,,
0:00.0,Offensive rebound by Team,,119-123,,
